,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600585.SH,X600019.SH,X600011.SH,X002460.SZ,X002466.SZ,X000792.SZ,X600547.SH,X601898.SH,X601600.SH,X600111.SH,X002271.SZ,X000708.SZ,X600660.SH,X000301.SZ,X600010.SH,X600886.SH,X000877.SZ,X600426.SH,X600362.SH,X600795.SH,X600803.SH,X601699.SH,X600176.SH,X000983.SZ,X600489.SH,X600027.SH,X601991.SH,X000786.SZ,X600160.SH,X000807.SZ,X600995.SH,X000629.SZ,X002080.SZ,X600219.SH,X600378.SH,X300037.SZ,X000723.SZ,X000933.SZ,X000932.SZ,X600096.SH,X000408.SZ,X600688.SH,X000831.SZ,X600157.SH,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.187618176702953,0,0,0,0,0,-0.0725024134799126,0,0,0,0,0,0.0905149969401713,0,0.0627779843748255,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.0668489683559588,0.0439733027914094,0,0,0,0,0.0826920053467912,0,0,0,0,0,0,0,0,0,0,0,-0.000172751621038445,0,0,0,0,0,0,0.0467577387788789,-0.0509052916931832,0,0,0,0,0,0
X600028.SH,0.377956748997523,0,0.231808843419308,0.00487959534108219,-0.082447120635143,0,0,0,0,0,0,0.0451997051147909,0.128555036941579,0.107361666231216,0,0,0,0,0,0,0,0,0.127518814664028,0,0,0,0,0,0,0,0,0,-0.0319177114534253,-0.0889865203386936,0,0,-0.0518567051854626,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0.00913979756090187,0,0,0,0,-0.0220556605428404,0,0,0,0.113627970299654,0,0
X601088.SH,0,0.125874652493714,0,0,0,0,0,0.0553258395597908,0,0,0,0,0,0.102825489872505,0,0.0496505693273021,0,-0.0724979570453017,0,0,0,0,0,0,0,0,0.130582387196282,0,0,0,0,0.0631188494051978,0,0,-4.33680868994202e-19,0,0,0,0,0.00626719965267695,0,0,0.0710503488599896,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0.0578170835672733,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0.0391017585198171,0.125859598302384,0,0,0.294069406541816,0,0,0,0,0,0,-0.022612369949831,0,0.114458396811613,0,0,-0.0147736548126212,0,0.00714433730695342,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.176409050132469,-0.0111790113625922,0,0,0,0,0,0,0
X600188.SH,0,0,0.64506415881369,-0.0659338338204553,0,0,0,0,0,0,-0.142772888367478,0,0,0,0,0.0671964838836807,0,-0.320440554744376,0,0,0,0,0,0,0,0,0.0759600156649833,0,0.199208925593128,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15687898849372,-0.112442396609377,0,0,0,0,0,0,0,-0.0230983219375893,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103002147629927,0,0,0.103283836206802,0,0,0.442066172416669,0,0,0,0,0,0,0,0,0.0122864391971088,0,0,0,0,0,0,0,0,0,0.00165475525962066,0,0.0843186510446606,0,0.0509204091843294,0,0,0,0,0,0,0,0.00264377054700204,0,0,0,0,0,0
X600019.SH,0,0.212750744505748,0,0,0.0358153909483648,0,0,0,0,0,0,0,0.131361334285704,0.091970366956585,0,0.00526568069396865,0.0495725845691851,0,0.142853167983791,0,0,0.235300453018533,0,0,0,0,0,0.110192155198638,0,0,0,0,0,0,0,0,0,-0.101649933136172,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00927334378971814,0,0,0,0,0,-0.0977937258426223,0,-0.120448080583503,0,0,0,0,3.46944695195361e-18,0,0.43971913573504,0,0,0,0,0,-0.146350958276613,0,0,0.0694264663575775,0,0,-0.0412347511780574,0,0,0,0,0,0,0,0,0,0.00651868079871965,0,0,0,0,0,0
X002460.SZ,-0.0695019324037651,0,0,0,0.00671138013082565,0,0,0,0,0.686638740478516,0,-0.0648540610285346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,-0.0730811972966388,-0.0346981248101701,0.137386789237232,0,0,0.0137074996206089,0,0.00884469056377605,0.023536755624606,0,0,-0.0698828850355048,0,0.0845246758520186,0,0,0,0,0,-0.0014510235295266,-0.000234064051176285,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0.514002699212201,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0209757851378901,0.0757542167725542,0,0,0,0,0,0,0,0,0,0,0,0,0.104090186055234,0.0242483294572496,0,0.0556700663701282,0.0217817075271296,0,0,0,0,0,0,0,0,0,-0.0683594705797811,-0.0078464213060623,0,0,0,0,0,0,0
X000792.SZ,0,-0.047351740876449,0,0,0,0,0,0.0302961698337284,0.0140274210165097,0,0,0,0,0,0.311041176044413,0.0423299626420165,0,0,0,0,0,0,0,0,0,0,0.0286942040840874,0,0,-0.107113828446619,0,0,0,0.0811397311295556,0,0,0,0,0,0,0,0,-0.0702011643706628,0,0,0,0,0,0,0,0,0,0.0434611367382676,0,0,0,0,0,0
