,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X600010.SH,X601898.SH,X600886.SH,X601600.SH,X600660.SH,X600188.SH,X000708.SZ,X601991.SH,X600362.SH,X600352.SH,X600795.SH,X600688.SH,X000723.SZ,X600801.SH,X600111.SH,X600027.SH,X601992.SH,X600516.SH,X600489.SH,X002271.SZ,X000786.SZ,X002466.SZ,X000898.SZ,X002460.SZ,X600299.SH,X600176.SH,X600426.SH,X600612.SH,X601158.SH,X000709.SZ,X000883.SZ,X002353.SZ,X000629.SZ,X600219.SH,X600583.SH,X000027.SZ,X000630.SZ,X000553.SZ,X000825.SZ,X601699.SH,X600315.SH,X600985.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.00128258484065,0,0,0,0,0,0,0,0,0,0,0.0317364011035696,0,0,0.0393611754022373,0,0,0,0,0.0178543246527881,0,0,0,0.0273344764327688,0,0,0.0738877956689116,0,0.0580070025849615,0,0,0,0,0.0498107170557639,0,0,0.0750933147417974,0,0,0,0,0,0,0,0,-0.0166310201236522,0.0210304849986405,0,0,0,-5.42101086242752e-20,0,0
X600028.SH,0,0,0,0,0.0332976542102316,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0854688866838712,0,-1.73472347597681e-18,0,0,0,0,0,0.0212208229887787,0,0,0,0.0216176356952729,0,0.0305769926665841,0,0,0,0,0.0481132093235928,0,0,0,0,0,0,0,0,-0.00388372371946485,0,0,-0.00103253032325757,0,0,0.235939395024949,0,0,0,0
X601088.SH,0,0,0,0.392201236335148,0,0,0,0,0,0,0,0,0,0.0570072201497679,0.0233031725328453,0,0,0.0346646278768863,0,0,0.0238965184766306,0.0168858743760989,0,0,0,0.0293467275239377,-0.0312441405685584,0.0376241458710267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00326776361486936,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127551460713291,0,0,-0.0607789766018511,0.514339352860119,-0.0621034274147485,0,0,0,0,0.0333371295420117,0,0,0,-0.00805724975059404,0.154932088953767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0942941229343699,0.0171074773281912,0,0,0,0,0,0.0685487299429045,0.0714587287680866,0,0,0,0.178931394819564,-0.0716280036732065,0,0,0,0,0,0,0,0.0377541940351183,0,0,0,0,0,0,0,0,0,0,0.086800304860006,0,0,0,0,0,0.0107913383380605,-0.0188341269945214,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,-0.03951806388628,0,0,0,0,0.157916833797608,0,0,0,0,0.13254111590016,0,0.0779177405606236,0,0,0,0,0,0,0,0,0,0,0.0638119216227696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00627599551689868,0,0
X600547.SH,0,0,0,0,-0.0414791319549928,0,0,0,0,0,0,0,-0.267937655313993,0,0,0,0,0,0,0,0,-0.121476443112433,0.0478073489446632,0,0,0,0.589778217241521,0,0.1393305261414,-0.0138274216015754,0,0,-0.0595397240619846,0,0,0.203356829154599,0,0,0,0,0,0,0,0,0,0,0,0,-0.308738375580358,0,0,0,-0.0483279090749683,0,0,0,0.0380641939481442,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0194635840685849,0,0,0,0.150025887754174,0,0.332440592188497,0,0.0151302437997832,0,0,0,0,0,0,0,0,0,-0.12063540915054,0,0,0,0.17435873049484,0,0,0,0,0,0,0,0.0363992716048498,0,-0.0445998752473227,0,0,-0.00340656489482654,0,0,0,-0.0252280573735135,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00965528993337851,0,0,0,0,0,0.038431656830259,0.124885482099766,0,0,0,0,0.0648911692045369,0,0,0,0,0,0.031978589230152,0.00935863560717792,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0477343529707529,0,0,0.205909665567404,0,0.000975449437399063,0.00314532745371905,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.177130210289928,0,0,0,0,0,0,0.0697158317457651,0,0,0,0,0.00712112521990021,0,0,0,0,0,0.000722209673265802,0.0167168056306993,0.0910452243095162,0,0,0,0,0,0,0,0,0,0,0,0,0.272449130933088,0,0,0.0675094774260923,0,0.021264046919264,0,0,0,0,0.00884260594712957,0,0
