,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X600547.SH,X601898.SH,X600660.SH,X601991.SH,X600688.SH,X600886.SH,X601600.SH,X600795.SH,X600027.SH,X600362.SH,X600188.SH,X601992.SH,X000898.SZ,X002466.SZ,X600176.SH,X600111.SH,X600352.SH,X600516.SH,X000709.SZ,X600299.SH,X002460.SZ,X600489.SH,X601158.SH,X000629.SZ,X600808.SH,X600801.SH,X600219.SH,X000786.SZ,X300072.SZ,X000825.SZ,X000883.SZ,X000539.SZ,X600612.SH,X000553.SZ,X000301.SZ,X000408.SZ,X600583.SH,X000027.SZ,X002110.SZ,X600339.SH,X002271.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.221280500666065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182176474439904,0,0,0,0,0,0,0,0.0486397614374254,0.128423724050507,0,0,0,0,0.242570775816459,0,0,0,-0.0270465224339549,0.0347893745758117,0,0,0,0,0,0
X600028.SH,0.579723416061643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0711456974095052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0335663141827133,0,0,0,0,0,0,0.0556508240298701,0.224990786136556,0,0,-0.0186043628665127,0.0503705164676538,0,0,0,0,0,0
X601088.SH,0.17038650745822,0,0,0,0,-0.160815345279486,0,0,0,0.292241257823681,0,0,0,0,0,0,0,0,0.00452835946764629,0,0,0.0894726260228485,0,0,0,0,0,0,0,0,0,0.0869190822071436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13083013033062,0,-0.0505441483171628,0,0,0.00600412636882357,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.180264879728077,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0685037805184416,0,0,0,0,0.164119193731635,0,0,0,0,0,0,0.0506816210455689,0,0.453376061346187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00461877028463898,-0.00290009465837137,0,0,0,0,0,0
X600019.SH,0,0.0995781065786181,0.00894172614062967,0,0,0,0.0319019097080751,0,0,0,0,0,0,0,0,0,0,0,0.149071796844754,0,0.395873629148753,0,0,0,0,0.0860631070224639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0310961188418299,0,0,0,0,0,0.0715786664242765,0,0.0599273924659836,0,0,0,0.0264288947975862,0,0,0,0.0442409984184962,0,0
X600011.SH,0,0,0,0.0612469251976233,0,0,0.093958943603904,0,0,0,0,0,0,0,0,0,0.562548767107646,0,0,0,0,0,0,0,0.138244721918714,0,0,0,0,-0.183582406284161,0,0.106401003111486,0,0,0,0.0338086525443852,0,0,0,0,0,0,0,0,0,0,0,-0.104304264611252,0,0,0,-0.012220534553349,0.0386612145890539,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0.478508143799664,0,0,0,0,0,0,0,0,0,0,0,0,0.271377536488479,0,0,0,0,0,0,-0.0448768883452929,0,0,0,-0.11370008280633,0,-0.151677960678511,-0.253904107171131,0,0,0,0,0,0,0,0,0,0,0,0,0,0.418706788447564,0,0,0,-0.460552944266291,-0.0394881860444395,0.00199249704123936,0,0.160914293298115,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0.053195902656981,0,0,0,0,0,0,0,0,0,0.210968067229344,0,0,0,-1.73472347597681e-18,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0558450682075652,0,0,0,-0.0232170648648349,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505527799986369,0,0,0,0.00808224276638703,0,0,0.074470976725097,0.559579676997552,0,0,0,0,0,0,0.0110970046924831,0,0,0,0.0386588477602047,0,0,0,0,0,0.046755586793626,0,0,0,0,0.00339014132352411,0,0,0,0,0,0,0
X601898.SH,0.197974250666884,0,0,0,0,0,0,0,0,0,0,0.156444585138427,0,0,0,0,0,0,0.164230447161878,0,0,0.0377496828717745,0,-0.130150000440408,0,0,0,0,0,0,0,0,0,0.10412948214845,0,0,0,0,0,0,0,0,0.0982804830372173,0,0,0,0.18314124632247,0.126605650613909,0,0,0,0,0,0,0,0,-0.0210793026858767,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,-0.209623310078958,0,-0.0577764435754989,0.375755580760651,0,0,0,0,0,0.173790444469358,0,0,0,0,0,0.0459311856401618,0,0,-0.181535960546615,0,0,0,0.0338869514184171,0,0,0,0.0571955000344555,-0.0319123065801869,0,0,0,0.232277302276488,0,0,0,0,0,0.0373432193705467,0,0.295480536730944,0,0,-0.00721408275505871,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0.138178952729963,0,0,0,0,0,0,0,0,0,0,0,0.157612129281442,0,0,0,0,0,0,0,0,0,0,0,0.164607822430799,0,0,0,0,0,0,0,0,0.00238246267831944,0,0,0,0,0,0,0,0.0177982657620789,-0.020077941141173,0.0164384539812509,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0.396641899210951,0,0,0,0,0,0,0,0,0,0,0,0.000679415421684766,0,0,0,0,0,0,0,0,0,0.398706323556351,0,0,0,0,0,0,0,0,-0.0316650737568844,0,0,0,0,0,0,0,0,0.0760681358552414,-0.0151980331683766,0.03091461246146,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190119455940962,0.0324470838364539,0,0,0.186421188143315,0,0,0,0,0,0,0.00417860661161727,0,0,0,0,0,0,0,0,0,0,0,0,0.0344807039668372,0,0,0,0,0,0,-0.000156310651647764,0.0205542245209385,0,0,0,0.0352506532548004,0,0
X601600.SH,0,0,0,0.113018463820553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00807942763442231,0,0.0769615307726705,0,0,0,0.0840492255095165,0,0,0.086584692056436,0,0,0.00993459923154228,0,0,0,0,0.0194062068788054,0.0555125961332632,0,0,0,0,0,0.050070410612748,0,0,0,0.130385395615124,0,0,0,-0.0068138990678608,-0.035059284359817,0,0,0,0,0,0
