,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X600585.SH,X002460.SZ,X002466.SZ,X600019.SH,X000792.SZ,X600011.SH,X601898.SH,X600111.SH,X000301.SZ,X600660.SH,X002271.SZ,X000708.SZ,X600547.SH,X600010.SH,X601600.SH,X600886.SH,X000877.SZ,X600795.SH,X600426.SH,X600362.SH,X600027.SH,X600176.SH,X600803.SH,X601991.SH,X601699.SH,X600995.SH,X000786.SZ,X000983.SZ,X600160.SH,X000629.SZ,X000408.SZ,X600489.SH,X000807.SZ,X000723.SZ,X600219.SH,X002080.SZ,X600096.SH,X600378.SH,X300037.SZ,X600348.SH,X000933.SZ,X000831.SZ,X600157.SH,X000630.SZ,X600688.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.24038995677291,0,0,0,0,0,0,0,0,0,0,0,0,0.0556165509987107,0,0,0,0,0,0,0,0.0421926361942289,0,-0.00622781920243151,0,0,0.172688852558294,0,0,0.020822986345444,0.0794821024362049,0,0,0,0,0,0,0,0,0,0,0,0.0113031834682911,0.0646873721522377,0,0,0,0,0,-0.00808902505880674,0.0155580501491004,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.509210617065238,0,0,0,0,0,0.0551417180391195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061499844168143,0,0,0,0,0,0,0,-0.0258678846189501,0,0,0,0,0,0,0,-0.0269190142548684,0,0,0,0,0,0,0,-0.050918164911599,0.000926438163011268,0.0070861658204705,0,0,0,0,0,0
X600028.SH,0.496657835423338,0,0,0,0,0,0,0,0,0,0,0,0,0.00863781868900463,0,0.0381490860699893,0,0,0,0,0,0,0,0,0,0,0,0,0.0823718497641908,0,0,0,0.0198916742564134,0,0,0,0,0,0,0,0,-0.0142086493325332,0,0,0,0,0,0,0.0279090545646793,0,0,-0.00479231526651776,0.0103965329415287,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28070978346625,0,0,0,0,0,0,0,0,0,0.00562822208258185,0,0.0359427231159663,0.181637477853085,0,0,0,0,0.313953308367206,-0.0754433089123782,-0.195036357320082,-0.126480586601395,0,0,0,0,0,0,0.102112442242563,0,0,-0.119742740083863,0,0.0483080465222958,0,0,0,0,0,-0.0123098649421308,0,0,0,0,0,0
X600188.SH,0,0.54530035036992,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0957610463636701,0,0,0,0,0,0,0.0219901304271552,0,0,0,0,0.135796919152236,0,0,0,0,0.0573648536532052,0,0,0,0,0,0,0,0,0,0,0,0.0477431700358685,0.324177751571691,0,0,0,0,0,0.00727110865046208,0.0265322787125797,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137705406757176,0,0,0,0,0.411293031525616,0,0,0,0,0,0,0.0413180062959876,-0.0118304035604115,0,0.206815429019285,0,0,0,0,0,0.00880399721542509,0,0,0.0564995122967397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.603086494653988,0,3.46944695195361e-18,0,0,0,0,0,4.33680868994202e-19,0,0,-0.00297460366667816,0,0,0,0.0346129906036095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0160017061610899,0.0650221916624719,0,0.107622215774863,0.0452309828123336,0,0,0,0,0,0,0.0093813076229085,-0.0191540348621137,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0.652023906257419,0,-0.177652730386668,0.0616931967661203,0,0,0,0,0,0.0929585505149483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077639301282935,0,0,0,0,0,0,0.196379800957402,0,0,0,0,0,0,-0.0282055321719027,-1.73472347597681e-18,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.0243453626056833,0.206976375559914,0,-0.0366174631773682,0,0,0.0998136708171403,0.187438234399856,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0507395982382763,0,0,0,0,-0.0888060457344529,0.072861204268687,0,0,0,0,0,0,0,0,0,0,0,-0.0826526099485316,0,0,0,0,0.140902125926927,0,0,0.0115733079065993,0.0019459856078939,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.0356015834328073,0.299920856984476,0.100300091941837,0,0,0,0,0.0984209488408829,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000357456264129092,0,0,-0.0331666109096429,0,0.0592125432622121,0,0,0,0,0,0,0,0,0,0,0,0.117637402632304,0.0179325419869215,0,0,0,0,0,0.0392432239252236,-0.00150718571479218,0,0,0,0,0,0,0
