,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600585.SH,X600019.SH,X601898.SH,X601991.SH,X600795.SH,X601600.SH,X600886.SH,X600188.SH,X600010.SH,X600111.SH,X600362.SH,X600027.SH,X600309.SH,X600688.SH,X600583.SH,X601992.SH,X000898.SZ,X601158.SH,X000709.SZ,X600352.SH,X000792.SZ,X000883.SZ,X600489.SH,X000539.SZ,X002353.SZ,X600547.SH,X000629.SZ,X000027.SZ,X000825.SZ,X000831.SZ,X000630.SZ,X600808.SH,X600578.SH,X600660.SH,X600549.SH,X601699.SH,X000983.SZ,X600008.SH,X600315.SH,X600863.SH,X600307.SH,X600098.SH,X002470.SZ,X000937.SZ,X600348.SH,X000959.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.560533606230465,0,0,0,0,0,0,0,0,0,0.0780853899483696,0,0,0,0,0,0,0,0.102156875239604,0,0,0,-0.0469862357178115,0,0,0,0,0,0,0,0,0,0.0320550459048374,0.0358996800793946,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.050520398000082,-0.0169190215545845,0,0,0,0,0,0
X600028.SH,0.481884268026634,0,0,0,0,0,0,0,0,0,0,0.0110016605517248,0,0,0,0,0,0.316544023766722,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136414581100406,0,0,0,0,0,0,0.0734070606931147,0,0,0,0,0,0,0,0,0,0,0,0,-0.0416137054926599,0,0,0,0,0,0,0
X601088.SH,0.0288859073714458,0.0353403752378386,0,0,0,0.0391433718366158,0.0672032736696606,0,0,0,0.00206225288143492,0.164583803516035,0,0,0,0,0,0,0,0.0655768764883236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0291581882486673,0,0,0,0.046847618182046,0.281943928789781,0,0,0,0,0,0,0,0,0,0,0,-0.00417478849950267,0,0,0,0,0,0
X600011.SH,0.00591177342545682,0.0761168174621282,0,0,0,0.164157466957044,0,0.0287914066141729,0,0,0.312047326177506,0.104955143818939,0,0,0,0.0596400014932417,0,0,0,0,0,0,0,0,0,-0.139166267379409,0.0510886777285803,0,0,0,0,0,0,0,0,0,0,-0.0218166917635445,0,0,0,0,0,0,0,0.0586149758786303,0,0,0,0,0,0,-0.00639685640900269,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0.0360158726893624,0,0,0,0,0.0815106718775902,0,0,0.0384084697569193,0,0,0,0.0219397188100916,0,-0.0255699789873405,0,0.233997445420836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0366543962736464,0,0.00514205240152758,-0.0679749306629605,0,0,0,0.0296754480213959,0,0.0605888201652738,0,-0.0266062426097913,0,-0.0536717494364451,-0.00957087727595126,0,0,0,0,0,0
X600019.SH,0.0156557824579053,0,0,0.0189264303853941,0,0,0,0,0,0,0.0592904534416734,0,0.073072497238696,0,0,0.0803746965338117,0,0,0,0,0.423116165176531,0,0.154906221112821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017336467847906,0,-0.0463239997964329,-0.0122413796209802,-0.0283338914389788,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0.126942626097369,0,0.0773494472782064,0,0.049302421149654,0,0,0.00595820498896247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176206077260106,0,0,0.0521193026980329,0,0,0,0,0,0,0.446465373253805,0,0,0,0,0,0,0,0,0,0,0,-0.00464501732154655,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0.069408196160364,0.093272544386822,0,0,0,0,0,0,0,0.0816388027854207,0,0.0196432787747327,0,0,0,-0.0174575418819099,0,0,0,0,0,0,0.104101783902648,0,0,0,0,0,0.124576421421025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0190551868527605,0,0,0,0,0,0
X600795.SH,0,0.112107970330323,0,0,0,0,0,0,0,0.00468953618353662,0.301625111013558,0,0,0,0,0.0969647177909285,0,0,0,0,0,0,0.108846567722396,0,0,0,0.114371001341826,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0191371181749853,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0.145546545460876,0.427341834046365,0,0,0,0,0,0,0.0520472451899954,0,0,0,0,0,0.199012369235081,0,0,0,0,0,0.0532118956892185,0,0,0,0,0,0,0,0,0.0731863598765967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0187719555820898,0,0,0,0,0,0
X600886.SH,0,0,0.00422190491708722,0.445698453810112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070360018391453,0,0.0408569264806912,0,0,0,0,-0.104801024855865,0,0,0,0.067348693138714,0.0536061962143289,0.0664963025494336,0,0.0453119457818657,0,0,0,0,0,0.126811866752723,0,0,0,0,0,0,0,-0.0309053338122248,-0.00248033019652008,0,0,0,0,0,0
X600188.SH,0.399243432783756,0,0,0,0,0.0426646586883011,0,0,0,0,0,0,0,0.109957212167356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194204914205103,0,0,0,0,0.11195369241583,0.0220403580041912,0.168307297831829,0,0,0,0,0,-2.77555756156289e-17,0,0,0,-0.0579527630622705,-0.0129027592620182,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371595730516403,0,0.136463420296239,0,-1.73472347597681e-18,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0.0678120346246502,0,0,0,0.101775280368045,0,0,-8.67361737988404e-19,0,0,0,0,0,0.0135499355684361,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0,0.0316352754638354,6.93889390390723e-18,0,0,0,0,0,0,0.0716586471208681,0,0,0,0,0,0,0,0,0.0348010354215774,0.0255282211609928,0.0730442813919588,0,0,0.313740093628254,0,0,0,0.0881936050339499,0.0664655157082876,0,0,0,0.151665079063197,0,0,0,0,0,0,0,0,2.16840434497101e-19,-0.0222628744006172,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0,0.201069974180273,0,0,0,0,0,0,0,0,0,0.0057953931514142,0,-0.0678259890730265,0,0,0,0,0,0,0,0,0,-0.0113150485410018,0,0,0.154898747744076,0.0810330637249795,0,0,0,0.174746399707123,0,0,0,0,0,0.0843052206258566,0,0,0,0,0,0,-0.0029615776255573,0,0,0,0,0,0
X600027.SH,0,0,0,0.252114139433654,0,0,0.0333856073870518,0,0.187735365906096,0.182113029479729,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.126174594259957,0,0,0,0,0,0,0,0,0.0193805418252564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0298154671894642,-0.0376899942789652,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0.0229587131894922,0.20535529763755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202951087185857,0.013704914286852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0682689666081856,0,0,0,-0.0086249065321431,-0.0257134232129944,0,0,0,0,0
