,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600011.SH,X600019.SH,X601898.SH,X601991.SH,X600111.SH,X601600.SH,X600362.SH,X600886.SH,X600795.SH,X600010.SH,X600188.SH,X600688.SH,X600309.SH,X600027.SH,X600583.SH,X002353.SZ,X601992.SH,X000792.SZ,X601158.SH,X000898.SZ,X000883.SZ,X600315.SH,X600490.SH,X600489.SH,X000629.SZ,X000709.SZ,X600547.SH,X000831.SZ,X600352.SH,X000825.SZ,X000539.SZ,X600660.SH,X601699.SH,X000630.SZ,X000983.SZ,X600549.SH,X600307.SH,X000937.SZ,X002470.SZ,X000027.SZ,X600578.SH,X000960.SZ,X600863.SH,X000959.SZ,X000761.SZ,X600516.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00991243060211596,0.00840381996733613,0,0,0,0,0,0,0,0.0244362091931004,0,0,0,0,0,0,0,0,0,0,0.125680350001059,0,0,0,0,0,-0.0117471976874108,0.00053955679622702,0.0106358160144741,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0.0933725252557165,0,0,0,0,0,0,0.0700568700433222,0,0,0,0,0,0,0,0,0.0690268253781287,0,0.102795450604189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00168736543338292,0,0,0,0,0.0760072962232872,0.00571935520770299,0,0,0,0.0478639281663513,0,-0.00712534708998651,0.00734114783745638,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0.0573662984167935,0,-0.0225508860144962,0,0,0,-0.00355870251723774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00594202193184689,0,0.311214089675636,0,0,0.0704368985823051,0,0,0.0687315795474356,-0.027361050817526,0,0,0,0,0,-1.50201909202901e-05,0,0,0,0,0,0,0
X600585.SH,0,0.114053853988838,0.247065434794681,0,0,0,0.0625424082161534,0,0,0.00962128487398889,0,0,0,0,0,0,0,0.0476059541265563,0,-0.0444292401405476,0,0.241624973115097,0,0,0,0,0,0.0944260443523641,0,0.0304353459594586,0,0,0,0,0,0,0,0,0,0,0,0.00105261056553873,0,0,0,0,0,0,0,0,0,0,-0.00620615642124113,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0.0558164826793041,0,0,0,0,0,0,0,0.0807369855367188,0,-0.0883645463688823,0.0736169111425281,0,0,0,0,0.101593748483659,-0.0671740693392413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0922001937430139,0,0,0.103033603290207,0,0.00163965582914133,0,1.0842021724855e-19,0.0349945713109338,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.0457331799010241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241159554364178,0,0,0.0569837390290143,0,0,0.00889566569557923,0,0,0,0,0.143636057306364,0,0,0,0.107412130351688,0.00345836643344121,-0.140318782671562,0,0,0,0.270511458483259,0.127863874175481,0,0,0,-0.0259199958934884,0.0340527303708992,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.0316458306562181,0.117686853118363,0,0,0,0,0,0,0,0.0135320736451895,0,0,0,0,0,0,0.0729527631829728,0,0,0,0,0,0,0.122454256664827,0.0450836877301197,0,0,0.151324263997719,0,0,0,0,0,0,0,0,0,0.120583014688621,0,0,0,0,0.0177860030503295,0.0432012046687245,0,0,0,0.000828065302633652,-0.000581805499872824,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,-0.0367953140537526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0337010385015272,0,0.151756322491203,0,0,0,0,0.0257162155796352,0,0,0,0,0,0,-0.0241206059369673,0,0,0,0.205061716386339,0.0126695657840975,0,0,-0.000738830109211329,0,0,-0.000619566652404446,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0.0270542391073622,0,0,0,0,0.0561865614328548,0,0,0,0,0,0.049254131617785,0,0,0,0,0,0,0,0.0130720578116609,0,0,0,0,0.0385582800669809,0,0,0.0768661556171384,0,0,0.2400822331216,0.0735266181769703,0,0,0,0,0.0633676290552254,0.0070220267956388,0.0037845448563788,0,0,0,-0.00565656931601739,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0522982639619734,0,0,0.161996388289027,0,0,0,0,0,0.112493809421864,0,0,0,0,0,0.253395212340674,0,0,0,0,0,0,0,0,0,0,0.236985272106322,0.119570606505521,0,0,0.144992969853378,0,-0.184619211330018,0,0.11501097317246,0,0,0,-0.0453858402217364,0.027363153771671,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0.104639206753521,0.131140825534286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0202449523895113,0.00932108176262867,0,0,0,0,0,0,0,0.235718209479588,0.0326607535927048,0,0.107400200049239,0,0,0,0.0474383572625048,0.00204677873536067,0,0.0165877597738841,0,0.0285503205948112,0,0,-0.0118858198710659,0,0,0,0,0,0
