,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X600019.SH,X000792.SZ,X600111.SH,X600011.SH,X002271.SZ,X600660.SH,X000877.SZ,X002466.SZ,X600188.SH,X000708.SZ,X600010.SH,X601600.SH,X601898.SH,X600547.SH,X000301.SZ,X600362.SH,X600886.SH,X600176.SH,X600426.SH,X000786.SZ,X000723.SZ,X600219.SH,X600803.SH,X601991.SH,X600795.SH,X002080.SZ,X600027.SH,X000408.SZ,X600688.SH,X000825.SZ,X002353.SZ,X000807.SZ,X600801.SH,X600352.SH,X300073.SZ,X600489.SH,X000959.SZ,X000932.SZ,X601699.SH,X600486.SH,X000630.SZ,X300037.SZ,X600157.SH,X000960.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077268070355301,0,0.0315101793187681,0,0.014916762204982,0,-0.0548904406456174,0,0,0,0,0,0,0,0,0,0.104395026096427,0,0.204861079986905,0,0,0,0,0,0,0,0,0,0,0,0.169786295936643,0,0,0,0,-0.0674938430606442,0,0,0,0,-0.0578884997375837,0,0
X600028.SH,0.21460595504152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00256990755143095,0,0.0873376825790931,0,0,0,0.0448097486207296,0,-0.0548936785216016,0,0,0,0.070055658214046,0,0,0,0,0.0150728213658572,0,-0.0261424827066457,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0.0330643056907986,0,0,0,0,0.220572021463279,0,0,0,0,0,-0.155181900120127,0,0,0,0,1.0842021724855e-19,0.0516893188621521,0,0,0,0,0,0,4.33680868994202e-19,0.219037309337509,0,0.0318402043068209,0.0362144161323916,0,0,0,0,0.0762876219169696,0,0,0,0,0,0,0,0,0,0.016685760474633,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0.0151017260357876,0.0639926194368658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0290744635126167,0,0,0,0,0,0,0,0,0,0,0.0370755741724673,0,0,0,0.161832031222881,0,0,0,0,-0.0454277208434688,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0172195127928497,0.0145067051917897,0,0,0,0,0,0,0,0,0,0.28017156695732,0,0.00613576325609116,0,0,0,0,0,-0.123996517352327,0,0,0,0,-0.161406161535548,0,0.362912736592915,0,0,0,0,0,0.0294340966126121,0,0,0,0,0,0,-0.0477624761308972,0.03265297910332,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,-0.0579515683617923,0,0,0,0.162890877774812,0,0.644114085436623,-0.130950923334764,0,0,0,0,0,0.0227943691742896,0,0,0,0,0,-0.00507624907924263,0,0,0,0,0.175481582585058,0,0,-0.0555076184291151,0,0,0,0,0,0.0648930474274774,0,0,0,0,0,0,0.239114371143404,0,0,0,0,0.00925945101280902,0,0,0,-0.0953524966816319,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0.0669953209800968,0,0,0,0,0.0748348206151813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166399382132367,0,0,0,0,0,0.210604926634736,0.137032941465613,0,0,0,0,0,0,0,0.00223397034024912,0,0,0,3.46944695195361e-18,0,0
X000792.SZ,0,0,0,0,0,0,-0.12880353492133,0,0.431774510365942,-0.0458338290357301,-0.244475310409636,0,-0.0450422971704927,0.0442941134356435,0,0,0,0,0,0,0.254974492129492,0,0,0,0,0,0.105347048005446,0,0,0,0,0,0,0.0507283247312335,0.0960834278134735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609303282828981,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0.0313371591262886,0.0831991260150842,0,0,0.514265483680372,0,0,0.240604096951648,0,0,0,0.234000029027153,0,0,0,0,0,0,0,-0.153878853958747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201616049413164,0,0,0,-0.0114687022032059,0,0
X600011.SH,0,0,0.0322363495505042,0,0,0,0,0,0.0434796998825247,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137029887125717,0,0,0,0,0,0,0,0,0.128082287898375,0.414020985913054,0,0,0,0,0,-0.00611995976926919,0,0,0,0.00104008917246903,0,0,0,0,0,0.174823794365338,0,0,0.0308087678599481,-2.16840434497101e-19,0,0,0,0,0,0
