,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X600547.SH,X601898.SH,X601991.SH,X600660.SH,X600688.SH,X601600.SH,X600886.SH,X600795.SH,X600362.SH,X600027.SH,X600188.SH,X000898.SZ,X601992.SH,X002466.SZ,X600176.SH,X600111.SH,X000709.SZ,X600516.SH,X600299.SH,X600352.SH,X002460.SZ,X600489.SH,X601158.SH,X600808.SH,X000629.SZ,X600219.SH,X600801.SH,X000825.SZ,X000883.SZ,X000786.SZ,X000539.SZ,X000553.SZ,X600612.SH,X600583.SH,X002470.SZ,X000408.SZ,X300072.SZ,X600021.SH,X002110.SZ,X000301.SZ,X000630.SZ,X600339.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.00660824499353232,0,0,0,0,0,0,0.174180743439415,0,0,0,0,0,0,0,0.0612961160250813,0,0,0,0,0,0,0,0,-0.0433588534838554,0,0,0,0,0,0,0,0.0715381715321116,0,0,0,0.0149704974587355,0.150878731470553,0,0,0,0,0,0,0,0.147277379390163,0,0.197730605794344,0,-0.0265630007043105,0.0237464951954979,0,0,0,-0.020940355074414,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0.354975867970314,0,-0.0470308113943359,0,0,0,0.0253600381215317,0,0,0,0,0,0,0,0,0,0,0.0535842384281963,0,0,0,0.074801110970571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0674881911139855,0,0.461103701625693,0,0,0.123448599758395,0,0,0,-0.0547238071754478,0,0
X601088.SH,0,0,0,0,0,-0.0348375735742481,0,0,0,0.381023125481498,0,0,0,0,0,0,0,0,0,0,0,0.0343773837226134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0315197579821345,0,0,0,-0.0279689300184017,0,0.125028890453679,0,0,0,0,-0.00571873798283257,0.011508720081909,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.230052340076616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00472959160528356,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.130306926575293,0.0249410904206391,0,0.240470906052257,0,0,0,-0.143321310210206,0,0,0,0,0.0468490379725922,0,0,0,0,0,0,0,-0.0284849911036943,0.0331602168401894,0,0,0,0.0212200957214565,0,0
X600019.SH,0,0,0,0.0367293784903759,0,0,0.148080823276539,0,0,0,0,0,0,0,0,0,0,0,0.0143132745682608,0.255488475355957,0.082082943117929,0,0,0,0,0,0,0,0,-0.0671578588294213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00670357521312046,0.165027397233449,0,0,0,0,0.000687777460358889,0.0168261995428067,0,0,0,0,0,0
X600011.SH,0,0,0,0.141892457451504,0,0,0.134348679166955,0,0,0,0,0,0,0,0,0,0,0.596863562017259,0,0,0,0,0,0,0,0,0,0,0.0252387379337459,-0.209373891924816,0,0,0.0356692268606599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0759886871103256,0,-0.00626396125279382,0,0,0,0,-0.0640562709799153,0,0
X600309.SH,0,0,0,0,0,0.364534975060781,0,0,0,0,0,0,0,0,0,0,0,0,0.262012167762942,0,0,0,0,0.0841649942711416,0,0,0,0,0,-0.0255519086397403,0,0,-0.476779173344942,0,-0.294322586267745,0,0,0.530995420688214,0.325680059201731,0,0,0,0.00530915613921955,0,0,0,0.11868003506002,0,0,0,-0.677436635798692,-0.0164464427029982,0,0,0,0,0,0,0
X600010.SH,0,0.177170429716189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21421544730947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00920893515211902,0,0.0872985473178657,0,-0.0150447702444078,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0321367709502316,0,0,0,0.641655953337519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0752534650107165,0.0949373257075424,0.0181094453598603,-8.67361737988404e-19,0,0,0,0.0120512489225942,-0.0339726059004312,0,0,0,0,0,0
X601898.SH,0.144882352530419,0,0.120245973591176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00777508358635386,0.132663109840725,0,0,0,0,0,0,0,0,0,0,0,0.113935131969221,0,0,0,0,0,0,0,0,0,0,0,0,0.172256911701697,0,0.091685943285897,0,-0.02998835348836,0.0508210050631997,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0.115646745399346,0,0,0,0,0,0,0,0,0,0,0,0.161238261415818,0,0,0,0,0,0,0,0,0,0,0,0,0.10857377713427,0,0,0.0248863928806732,0,0,0,0,0,0,0,0,0,0.0743647490780743,0,0,0,-0.0136539860386686,0.00847495004759497,0,0,0,0,0,0
X600660.SH,0,0.0177729647040124,0,0,0,0,0,0,0,-0.0935609666737229,-0.288465270656163,0,0.0510392811162108,0,0,0,0,0,0.24643895645229,0,0,0,0,0,0,0,0,0.53092308442576,0,0.130169292374496,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00137528138771741,-0.0193686094226872,0.0663256694787807,-0.0460441134651571,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,-0.0311341224821246,0,0,0,0,0.340543817606673,0,0,0,0,0,0.100478155250822,0,0,0,0.109321662065706,0,0,0,-0.0913264186171902,0,0,0,0,0,0.195302007839732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125157456454153,-0.0112939665284517,0.0327515624566405,0,0,0,0,0,0
X601600.SH,0,0,0,0.0872605437535691,0,0,0.0114192842030838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0626935064048246,0,0,0,0.0892066518023784,0,0,0.101871900348042,0,0,0,0,0,0,0.0691385449904297,0,0,0,0,0,1.73472347597681e-18,0,0.0517499365443142,0.0152896063386437,0,0,0,0,0.121147770417448,0,-0.00876236212947514,-0.031737325743655,0,0,0,0,0,0
X600886.SH,0,0,0,0.0236309948732083,0,0.177835758988167,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0803376510968398,0.065928332453155,0,0,0,0,0,-0.0176810597188729,0.0576624276585115,0,0,0,0,0,0,0,0,0,0,0,0,0.124016035584705,0.0091082493424166,0,0,0,0,0,0,0,0.0519514345041458,0,0.0177394217224061,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0501136254448692,0,0,0,0,0,0,0.116384640617786,0.0698506709368723,0,0,0,0.0404094737249796,0,0,0.039273483585686,0,0,0,0,0,0,0,0,0,0,0,0,0.144716438411397,0.0290950631655334,0,0,0,0,0,0,0,0,0,-0.00956845011108256,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143871881216526,0,0,0,0,0,0,0.0724759743376786,0,0,0,0,0.166288952575284,0,0.0557221704407002,0.0526406495196197,0,0,0,0,0,0,0,0.0875811122924471,0,0,0,0,0.0170352897203087,0,0,0,0,0,0.0382672066721595,0,0,0,-0.00468539450619748,-0.0107996419809143,0,0,0,0,0,0
