,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600688.SH,X600188.SH,X600547.SH,X601600.SH,X600795.SH,X601991.SH,X600362.SH,X600111.SH,X600157.SH,X600027.SH,X600489.SH,X600886.SH,X601992.SH,X600623.SH,X002466.SZ,X600299.SH,X000792.SZ,X600660.SH,X600309.SH,X300072.SZ,X002075.SZ,X601158.SH,X000408.SZ,X600583.SH,X000723.SZ,X600549.SH,X600352.SH,X000709.SZ,X000883.SZ,X000898.SZ,X000983.SZ,X600176.SH,X000539.SZ,X002470.SZ,X000027.SZ,X000060.SZ,X002460.SZ,X000630.SZ,X000012.SZ,X600021.SH,X002407.SZ,X600219.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600623.SH,0,0,0,0,0,0,0,0,0.118813283462205,0.109762507717909,-0.0570592158605066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138622013848403,0,0.522332509274526,0,0,0,0,0,0,0,0.0431367870967827,0,0,0,0,0,0.11141768869991,0,0,0,0.00171831684409122,0,0,-0.10871838647509,0.0742445378889512,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0.0247796662720678,0,0,0,0,0,0,0,0,0,0,0,0,0.0514665786771803,0,0,0.0979285359002683,0,0,0,0,0,0,0,0,-0.146614710585616,0,0,0,0,0,0,0,0,0,0,0.675253032244443,0,-0.0673139497490886,0,0.360992686964263,0,0,0,0,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0,0,0,0,0.104407514175048,-0.0279410262011783,0,0,0,0,0.00364544465904814,0.0533237358568056,0,0,0,0,0,0,0,0,0,0.13231397734149,0,0,0,0.0705345644257363,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.020326375503627,0,0.0624464402951791,0,0,0.232763575366373,0,0,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0.00146095793945622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100039282353757,0,0.072577265839104,0,0,-6.93889390390723e-18,0,0,0,0,0.132200277213461,0,0,0,0.317245046080732,0,0.205039052171983,0,0.0640176619300549,0,0.151087160376971,0,0,0,-0.00715828442225363,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0.0168928741845626,0,0,0,0,0,0.00419376824876315,0,0,-0.0557140729573863,0,0,0,0,0,0,0,0,0.0313673133224677,0,0,0,0,0,0.059150493292259,0,0,0,0,0,0,0,0.0099649722299587,0,0,0,0,0.143461129625525,0,0,0,0,0.00690418314095508,0.0289141017215741,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0.00213460098367023,-0.0167066890691205,0,0,0,0,0,0,0,-0.0198037557415302,0,0,0,0.0666383468826579,0,0,0,0,0,0.0612220524643102,0,0,0,0.0815310418228806,0,0.141727984509049,0,0,0,0.04740750678235,0,0,0,0,0,0.025492771364966,0,0,0,0,0,0,0,0.020181165825497,0,0,0,0,0,0
X300072.SZ,0,0,0,0,0,0,0,0,0,0,-0.0739619916559829,0,0,0,0,0,0.068477636416679,0,0,0,0,0,0,0,0.0365119618702478,0,0,0,0,0,0,0,0,0,0.282401001191534,0,0,0,0.0400204125183966,0.0553130542767643,0,0,0,0,0,0,0,0,0,0,0,0,0.172172865705479,0,0,0,0,0,0
X002075.SZ,0,0,0,0,0,0,0,0,0.0678378206685507,0,0,0,0,0,-0.0348261283046033,0,0,0,0,0,0.070183738165891,0,0.105412283595936,0,0.176581285983482,0,0,-0.415603362559274,0,0.126172446738782,0,0.34264826110418,0,0.26379321515239,0,0,0,0,0,0,0,-0.272300219812778,0,0,0,0,0.290651209814069,0,0,0.379058745825389,0,0.0346300813040312,0,0,0,0,0,0,0
X601158.SH,0,0,0,0,0,0,0,0,0,0.0639050302770679,0,0,0,0,0,0,0,0,0,0,0,0.0840376530323765,0,0,0.0146431960814538,0,0,0.0677272249148395,0,0,0.0227516809412068,0,0,0.115682448716867,0.069930162574468,0,0,0.127622738186612,0,0,0,0,0,0.0752798688246931,0,0,0,0,0,0,0,-0.00663899839873209,0,0,0,0,0,0,0
X000408.SZ,0,0,0,0,0,0,0.130618996774805,0,0,-0.16110023187104,-0.00540539300774137,0.306570278344098,0,0,0,0,0,0,0,0,0,0.111035970576205,0,0,0,0,0,0,0,0,0,-0.252187100496434,0,0.0179544063919987,0.395779785402132,0,-0.113177399903264,0,0,0.0796382089382836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0842138424436884,0,0
