,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X601898.SH,X600011.SH,X600019.SH,X600547.SH,X601600.SH,X600585.SH,X600660.SH,X600886.SH,X000792.SZ,X600795.SH,X600362.SH,X002466.SZ,X002460.SZ,X000708.SZ,X600010.SH,X600111.SH,X600027.SH,X000301.SZ,X600489.SH,X601699.SH,X000877.SZ,X600160.SH,X000983.SZ,X600803.SH,X600426.SH,X601991.SH,X000408.SZ,X000807.SZ,X000630.SZ,X000933.SZ,X000786.SZ,X601168.SH,X600985.SH,X600612.SH,X600176.SH,X600219.SH,X002271.SZ,X002128.SZ,X000932.SZ,X000883.SZ,X600096.SH,X600348.SH,X000027.SZ,X002353.SZ,X600295.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.00234966043987088,0.296853308791251,0,0.10843810304872,0.0221290332406152,0.0341262028317077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02908436754197,0,0,0.0324633698300379,0,0,0,0.0164077449257488,0,0,0,0,0,0.0927288637422062,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0290236587580506,-0.00185301083767022,0.0694918350429041,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.0368922386855885,0,0,0.0306661180708139,0,0,0,0,0,0,0,-0.0909792967991909,0,0,0,0,0,0,0,0.0339713462870603,0,0,0,0,0,0.167793538311683,0,0,0,0,0,0.102229752699647,0.0176356671930202,0,0,0,-0.0640715594969947,0,0.135972158546787,0,0,0,0,0,0,0,0.00628599954140062,0,0,0,0,0,0,0
X601088.SH,0.0142705878267824,0,0,0,0.166821250693475,0,0.269975475392142,0,0,0,0,0,0,0,0,0,0,-0.0113238779423008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0163952834692678,0,0,0,0,0.15512671152501,0,-0.0988537847087038,0,0,0,0,0,0,0.030798967136029,0,0.0836277635226465,0.0889007545006927,0,0,-0.0225133574904941,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297762511101739,0,0,0.160938981432049,0,0,0.0588851066131895,0,0,0.0840533729954006,0,0,-0.152982455058227,0.0333779623288268,0,0,0,0,0,0,0,0,0.102307357100584,0,0,0,-0.0258249240935079,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0.162493796638846,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0741144318675544,0.347807132372463,0,0,0.117487301644648,0,0,0,0,0.00598021909322396,0.00120610890045851,0,0,0,0,0,0,0,0,0.175906668374476,0.0176565851114505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.0726502279383971,0,0.668271572344974,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,-0.14709729603012,0,0.134213478045673,0,0,0,0,0,0,-0.0147745181493333,0,0,0,-0.0981082317057779,0,0,0,0,0,0,0.389847459002689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0150922673693491,0.119706439042959,0,0,0,0,0
X600011.SH,0.0293077282933704,0,0,0,0,0.124654267944087,0,0,0,0,0,0,0,0,0.0772010703933219,0,0,-0.000864654714516376,0,0,0,0.266219334212692,0,0,0,0,0.0336291656314165,0,0,0,0.14591601047537,0,0,0,0,0,0.0169492605272329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0140654323234188,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.101108254089897,0,0,0,0,0,0,0,0,0,0.00116173224138897,0,0,0,0,0,0,0.0371404421409043,0,0.0336745005893051,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.0564909753552683,0,0,0,0,0,0,0.142678585196387,0,0,0,0,-0.0191738033346314,0,0,1.0842021724855e-19,-0.0225350327726233,0,0,0,0,0,0
X600547.SH,0,0,0,0,-0.29971142913641,-0.0166743111529218,0,0,0,0,0,0,0,0,0,0,-0.00827190755269844,-0.0486383552584376,0,0,0,0,0,0.85036682685203,0,0,0,0,0,0,0,0,0,0,0.131451982314157,0,0,0,0,0,0,-0.0315296756820422,0,0,0,0,0,0,0,0,0,0,0,-0.0713077614320527,0,0,0,0,0
X601600.SH,0.200671878499913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0195338194580398,0,0,0.131820809272923,0,0.113005625480447,0,0,0.094529597062489,0,0.273614839324566,0,0,0,0.0747199303887487,0.169782308124276,0,0,0.0234060630784975,0,0,0,0,0,0,0,0,0,0,0,0,0.0323782966047253,0,0,0.00498692590349632,0.021233592592115,0,0,0,0,0
