,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X600011.SH,X601600.SH,X600547.SH,X601898.SH,X600660.SH,X000792.SZ,X002460.SZ,X002466.SZ,X600886.SH,X600111.SH,X600010.SH,X000301.SZ,X000708.SZ,X002271.SZ,X600426.SH,X600362.SH,X000877.SZ,X600795.SH,X600176.SH,X601699.SH,X000983.SZ,X000807.SZ,X600489.SH,X600803.SH,X600027.SH,X000786.SZ,X601991.SH,X600160.SH,X000630.SZ,X000932.SZ,X000933.SZ,X000408.SZ,X600219.SH,X002080.SZ,X300037.SZ,X000629.SZ,X600688.SH,X000539.SZ,X600612.SH,X600096.SH,X002409.SZ,X600157.SH,X000723.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,1.05657418169463,0,0,1.73472347597681e-18,0,0,0,-0.0542554736319641,0,0,0,0,0,0,0,0,0,0,0,0,0.0970874883635268,0,0,0,0,0.00393714891725768,0,0,0.172081266864822,0,0,-0.0814153634615414,0,0.101562316987016,0,0,0,0,0,0,0,0.00858772577220067,0,0,0,0,-0.0912959930800388,0,0.0352403095237685,0,0,-0.0288512419022489,0,0,0,0,0,0
X600028.SH,0.617707811726628,0,0,0,0,0.0822571191998735,0.185587552665472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0301456140205123,0,0,0,0.0202287373328306,0,-0.163253429346898,0,0,0,0,0,0,0,0,0,0.016414690563263,0,0,0,-0.108739829512107,-0.0132966163485043,0,0,0,-0.00864743301382269,0.07272193430202,0,0,0,0,0,0
X601088.SH,0,0.0192108851407408,0,0,0.252489302031445,0,0,0,0,0,0,0,0,0,0,0,0.091493359257399,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.0185270704893186,0,0,0,-0.0462972127398523,0.217664496692187,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0165575597538851,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.00626477389778746,0,0,0,0,0.0896035017298274,0,0,0,0,0.0817324471079978,0,0.149269988926159,0,0,0,0,0,0,0,0.0237736898448576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0611702275112997,0,0,0,-0.00228883837228924,0,0,0,0,0,0,0
X600188.SH,0,0,0.729226897842251,0,0,0,0,0,0.112227835969774,-0.32989660143947,0,0,0,0,0,0,0,0,0,0,-0.0549665956574597,0,0,0,0,0,0.191173899491212,0.148547932307775,0.0457451922796844,0,0,0,0,0,0,0,-0.158269224503518,0,0,0,0,0,0,0,0.0561045020486673,-0.0984195470687511,0,-0.0294544055088254,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0.143488133079024,0,0,0,0,0.125322658922976,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.110411632509927,0.0857151303836494,0,0.0142424506903614,0,0,0.142962707590748,0,0,0,0,0,0,0,-0.0146105794523521,0,0.128800485413668,0,0,0.179079160203959,0,-0.100018950874045,0,0,0,0,0,-0.102314158220933,0,0,0,-0.00923054468672683,0.0389841882843541,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.289170807806463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189484201636129,0,0,0,0,0,0,0,-0.201804086109165,0,0,0,0,0,0.145754090347661,0,0,0,0,0.0526496318748599,0,0.101022594232369,0,0,-0.0789853535134787,0,0,0,-0.0436403850001324,0,0.0796815437993102,-0.302956990079733,0,0,0,0
X600011.SH,0,0.211162912691486,-0.450420126923141,0,0,0,0.0795100890720362,0,0,0,0,0,0,0,0,0.48383831474026,0,0,0,0,-0.000656483102377366,0,0,0,0,0,0,0,0,0,0,0.369194569892181,-0.0441402055363945,0,0,0,0,0,0,0,-0.366827166822349,0.0568741031594443,0,0,0.18637163254035,0,0,-0.0704983768784174,0,0,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0.0441010247316085,0,0,0,0,-0.00648845463086065,0,0,0,0,0,0,0.324747467214353,0,0,0,0.0687188049069211,0,0,0,0,0,0,0,0.393916366200097,0,-0.0571252785782718,0,0.0711174777018315,0,-0.117937167363053,0,0,0,0,0,0,0,0,0,-0.0292934201809054,-0.0363493723850283,0,0,0,0.0557414963576148,0,-2.16840434497101e-19,1.73472347597681e-18,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,-0.133173522460686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0310117100206108,0.0662088806225343,0.0190097040633626,0,0,0.817985414259749,0.130729057827623,0,0,0,-0.150780877977333,0,0.0702604038550672,0,0,0,0,0,0,0,0,0,0,0.0431581292773096,-0.251466932797697,-0.0157718074512512,0,0,0,0,0,0,0,0,0
X601898.SH,0.0614444665318732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0298918683913545,0,0,0,0,0.333288044465288,0.0347033970828775,0,0,0.136699095196685,0.00910222282858722,0,0,-0.0909947068511192,0.136186011689193,0,0,0,0,0.0649356541999599,-0.127145636986568,0.080143708210053,0,0,0,0,0,0,0.0643030128286655,0,-0.00171733678842062,0,0,0,0,0,0,0
X600660.SH,0,0,0.0294541307300825,0.0170905888521086,0,0,0,-0.0208308105090286,0,0,0,0,0,0,0,0,0,0,0.0852212336732368,0,0,0,0,0,0,0,0,0,0.0521842305004341,-0.0364783985307397,0,0.0459262251977036,0,0,-0.0204271284419533,0,0.049470370257279,0,0,0,0,0,0,0,0,0.121286195609069,0,0,0,-0.040111942294056,0,-0.0632313094584831,0.0397854603134191,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0.275986181690954,0.0220777956287762,0,0.00479746983702378,0,0.0755725649672684,0,0,0,0,0,0,0,0.0669166937549752,0,0,0,-1.73472347597681e-18,0.0190207115215654,0,0,0,0,0,0,0,0,0.192294409598284,0,0,0,0,0.0192442761960511,0,0,0,0,-0.0904414777124411,0,-4.33680868994202e-19,0,0,0,0,0,0
