,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X002460.SZ,X002466.SZ,X600188.SH,X600585.SH,X000792.SZ,X601898.SH,X600019.SH,X600111.SH,X600011.SH,X002271.SZ,X600010.SH,X000877.SZ,X600660.SH,X000708.SZ,X000301.SZ,X601600.SH,X600547.SH,X600886.SH,X600795.SH,X600176.SH,X600096.SH,X600426.SH,X600362.SH,X000408.SZ,X000786.SZ,X000983.SZ,X000723.SZ,X600803.SH,X300073.SZ,X600141.SH,X601991.SH,X002080.SZ,X601699.SH,X002192.SZ,X600027.SH,X000629.SZ,X600219.SH,X002407.SZ,X600486.SH,X600801.SH,X300037.SZ,X000683.SZ,X002497.SZ,X600157.SH,X000959.SZ,X002353.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0937355601143658,0,0,0,0,0.0433793471405048,0,0,0.0230430304284337,0,0,0,0,0,0,0,0,0,0.0770896164030156,0,0,0,0,0.180248328389378,0,0,0,-0.0937039044683571,0.175403570341721,0,0,0,0,0,0,0,0,0,0.0351080419933881,0,0,0.0290716927999835,0,0,0,0,0,0,0,0,-0.0016550229551561,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.0194355606509309,0,0,0.175017081047715,0,0,0.0846310519027864,0,0,0,0,0,0,-0.135946792918054,0,-0.0176892936981972,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0125139283061629,0,0,0,0.175858058770932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0109767595499927,0,0,0,0,0,0,0
X600028.SH,0,0.0424923073191704,0,0.0235645841503693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14176685961095,0,0,0.0491081587672567,0,0,0.0111970115307456,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130651248018176,0,0,0,0,0,0.00918559700980891,0,0.0737125282872377,0,0.0278447293941399,0,-0.0136270588915636,0,0,0,0,-0.0147528359246449,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0.0838922961135776,0,0,0,0,0,0.200764158540279,0,0.0474068615365335,-0.0159673528742842,0,0,0,0,0,0.00174625026719975,0,0,0,0,0,0,0,0,0,0,0,0.0445925790581612,0.0777518312643551,0,0.0122547150905754,0,0,0,0,0,0,0,0,0,0.0574553812822293,0,0,0,0,0,0,-0.0343448743614963,0,0
X002460.SZ,0,0,0,0,0,0.218031689105177,0.0746096152429685,0,0,0,0,0.130048130432616,0,0,0.128728328659498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0637416764041338,0,0,0,0,0,0,0,0,0,0.292028447576364,0,0,-0.0835751176299798,0.030168293193739,0.00426103094887486,-0.0791637480422389,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.711650883603157,0,0,0,0,0,0,0,0.0515313182574215,0,0.143837220823166,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,-0.0104276286612343,0,0,0,0,0,0,0,0,0.080260615335563,0,0,0,0,0,0,0,0,0.0303326655531801,0,0,0,0,0,0,0,0,0,0,0,0
X600188.SH,0,0.408358709922231,0,0,0,0,0,0,0,0,0,0,-0.245071964116602,0,0,0,0,0,0,0,0,0,0,0,0.0406386288617438,0,0,0,0,0,0,0,-0.0132124091655261,0,0,0,0.391668497377909,0,0,0,0,0,0,0,0,0,0,0.000582482697895861,0,0,0,0.0499603199339153,-0.0384176711315053,0,0,0,-0.0477279076577752,0,0
X600585.SH,0,0,0,0.0468671502620416,0,0,0,0,-0.0486680744604341,0,0,0,0,0.150864440533797,0,0,0,0,0,0,0.0992496795255906,0,0,0,0,0,0,0,0.0106060976921513,0,0,0.0109686099818428,0,0,0.0357686553482002,0,-0.0106574666216726,0,0,0,0,0,0,0.397906421177183,0,0,-0.00547121501453897,0,0,0,0,-0.00318876719583072,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0.136072786010061,0,0.149683975357614,0,0,0,0,0,0,0,0,0,-0.0164400129281837,0,0,0,0,0,0,0,0,0,0,0.415003501478444,0.0610594927047864,-0.0319241937241933,0,0,0,0.0588022931163949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.011886937564078,0,0
X601898.SH,0,0.383848973293057,0,0.0651887018083783,0,0.0742528259979841,0.0446307942682294,0,0,0,0,0,-0.112483438558614,0,0,0,0,0,0,0,0,0,0,0,0.021346149998782,0,0,0,0,0.277323280139684,0,0.0543881928140781,0,0.0630782063423821,0,0,0,0,0,0.0526836537233429,0,0,0,0,0,0,0,0,0,0,0,0,-0.0219910848294932,0,0,0,0.00772931950804582,0,0
