,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X600011.SH,X002460.SZ,X002466.SZ,X600547.SH,X000792.SZ,X601600.SH,X601898.SH,X600111.SH,X000708.SZ,X600660.SH,X600010.SH,X000301.SZ,X600886.SH,X002271.SZ,X000877.SZ,X600362.SH,X600426.SH,X600795.SH,X600803.SH,X600027.SH,X600176.SH,X600489.SH,X601991.SH,X601699.SH,X000983.SZ,X000807.SZ,X600160.SH,X600995.SH,X000786.SZ,X000629.SZ,X000933.SZ,X600219.SH,X002080.SZ,X300037.SZ,X000932.SZ,X000723.SZ,X600378.SH,X600688.SH,X000408.SZ,X600096.SH,X000831.SZ,X000630.SZ,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.148829950821242,0,0,0,0,0,-0.082421331073123,0,0,0,0,0.10059017765105,0,0,0,0,0,0,0,0.0394954498768635,0,0,0.0186700994334138,0,0,0,0,0,0,0.0742735199153802,0,0,0,0,0.0563024807132201,0,0.00739903146560622,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0516619182255822,-0.0497528687624027,0,0,0,0,0,0
X600028.SH,0.364425720278351,0,0.162511837773197,0,-0.0305041058691975,0,0,0,0,0,0,0,0.0885556712982117,0.123066992849105,0,-0.0130639216252958,0,0,0,0,0,0,0,0.0881551668685931,0,0,0,0,0,0,0,0,0,-0.0661373676643943,0,0,0,0,0,0,0,0.109416003523239,0,0.10212934931167,0,0,0,0,0,0,0,0.0326254617296785,-0.0523359775205907,0,0,0,0,0,0
X601088.SH,0,0.0910900109173324,0,0,0,0,0,0.0134679811013478,0,0,0,0,0.0798483936845158,0,0,0,-0.0492810057327659,0,0,0,0,0,0,0,0,0,0,0,0,0.0711327244095727,0.120674328862863,0,0,0,0,0.102191924896913,0,0.00567517434113076,0,0,0,0,0,0.00522431232765141,0,0,0,0,0.0942821198855512,0,0,0.0025501388977729,0,0,0,0,0,0,0
X600309.SH,0.0602309236813034,0,0,0,0.0735767897867666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272872500075177,0,0,0,0,-0.037067878330608,0.220496223919586,0,0.0814713568716402,-0.0312181347050623,0,0,0,0.111702343806928,0,0,0,0,0,0,0,0.0395209894392031,-0.0518045166359998,0,0,0,0,-0.0535622029591724,-0.035994258365204,0.0442361597196957,0,0,0,0,0,0
X600188.SH,0,0,0.440444550050697,0,0,0,0,0,0,0,0,-0.0518828782735896,0,0,0,0,-0.364925937782713,0,0,0,0.0845059091060783,0,0,0,0,0,0,0,0,-0.0618858962055234,0.150031802516766,0,3.46944695195361e-18,0,0,0,0,0.278586587404972,0,-0.00128769878620242,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,-0.0465369367855913,0.0415765671752138,0,0,0,0,0,0
X600019.SH,0.211800246510853,0.141007368814468,0,0,0.0880261620642532,0,0,0,0,0,0,0,0.0785862371590308,0.0970968280765702,0,0.0509320512245519,0,0,0.0637504903526729,0,0,0.341480181407153,0,-0.0169337114722189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0726265148909856,0,0,0,0,0,0,0,0,0,0,0,-0.0168878765685151,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105735554956343,0,0.088836761007825,0.468847110146876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0657339582019618,0,0,0,0.00121343160565778,0,0,0,0,0,0,0,0,0,0.00376873483381585,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0318661796985947,-0.0579730577852551,0,-0.0618206843723222,0,0,0.376841413806823,0,0,0,0,0,0,0,-0.0634536803692092,0,-0.0972953973624891,0,0,0,0,0,0,0.0821010695925585,0,0,0,0,0,0,0,-0.00160756963929032,0,0,0,0,0,0,0
X002460.SZ,-0.014511717309653,-0.0582310309060063,0,0,0,0,0,0,0,0.727686400467967,-0.0227487708678623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0956648544974998,0,0,-0.129786881187398,0,0,0,0,0,0,0,0,0,0.0239198793974083,0,0,0.0253897315166374,0,0.00178146940227232,-0.00665038765514064,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0.540600566216412,0,0,0,0.0643265622230589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0447090870948785,0,0,0.0403267020710094,0,0,0,0.0372842037695639,0,0,0,0,0,0,0,-0.0199644474961685,0.0117120713384603,0,0,0,0,0,0
