,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X002460.SZ,X002271.SZ,X600660.SH,X000708.SZ,X601898.SH,X600362.SH,X600547.SH,X601600.SH,X000301.SZ,X600010.SH,X002466.SZ,X600111.SH,X000786.SZ,X600188.SH,X600886.SH,X600011.SH,X600426.SH,X600176.SH,X601991.SH,X000932.SZ,X600801.SH,X600803.SH,X600795.SH,X600219.SH,X000027.SZ,X600352.SH,X600489.SH,X000807.SZ,X000898.SZ,X600688.SH,X000825.SZ,X600157.SH,X600315.SH,X002353.SZ,X600516.SH,X600027.SH,X600808.SH,X600486.SH,X601168.SH,X600299.SH,X000723.SZ,X002080.SZ,X000959.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.344838577603958,0,0,0,0,0,0,0,0,0,0.0128348596011897,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.043691014138604,0,0,0,0,0,0,0,0.0507037085122157,0,0,0,0,0,0,0,0,0,0.030471125354599,0,0,0,0,0,0,-0.000274155777241488,0,0
X600028.SH,0.517654114562369,0,0,0,0,0,0,0,0,0.063021796194267,0,0,0,0.0121280216381207,0,-1.0842021724855e-19,0,0,0,0,0,0,0.146328671822381,0,-0.00450924793441469,0,0,0,0,0,0,0,0,0.114025067323542,0.0442785782818901,0,0.0329686718300936,0,0,0,0,0,0,0,0,0,0,-0.0403440927465687,0,0,0,0,0,0,0,0,0.00680404656212346,0,0
X601088.SH,0,0,0,0,0,0,0.0016010412117911,0,0,0.0260010036813642,0,0,0,0,0.0832714084637598,0,0,0,0,0.127714088695516,0,0,0,0,0,0,0,0,0,0.0759071803959272,0,0,0,0.0109941506231105,0,0,0,0,-0.0143751307144877,0,0.0261826272707379,0,0,0,0,0,0,0,0.104573283879144,0,0,0,-0.0217227925531286,0,0,0,0.00888164995827797,0,0
X600309.SH,0,0,0,0,0,0,0.106753755909478,0,0,0,0,0.0815778228701228,0,0,0,0,0,0.182290710635002,0.193744706425652,0,0,0,0.132542373232612,0.0577142444468225,0,0,0,0,0,0,0,0,0,0,-0.176423996532154,0,0.125907513635026,0,0,0,0,0,0,0.00837302488731434,0,0,0,0,0,0,0,0,-0.0935058294824175,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0.0061983480162762,0,0,0.0390320618375194,0,0,0,0,0,0,0,0,0,0.0565356193629351,0,0,0.0169062084849275,0,0,0.0539931519952072,0.168222742465241,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0656870813089877,0,0,0.0289008468453172,0,0,0,0,0,0,0,0,-0.0310478278182649,0,0,0,-0.0188531321294364,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041966711051494,0,0,0,0,0,0,0,0,0.394883454018994,0,0,0,0,0,0,0,0.0958429473181365,0.0160092972154338,0,0.232411992146875,0,0,0,0,0,0,0,0.000100231717179948,0,0,0,0,0,0,0,-0.0665208484715165,0,0,0,0,0,0
X002460.SZ,0,0,0,0.0568711823608526,0,0,0,0,0.222976130063304,0,0,0.0484354229257483,0,0,0.131117338222579,0.00999623187995671,0.503079508262788,0.130661405846467,0.0571325369333167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625685662274102,0.00488717466687315,0,0.080765653086666,0,0,0,0,0.0139685374224146,0,0,0,0,-0.0117656360027474,0,0
X002271.SZ,0,0,0,0,0,-0.053919827092516,0,0,0,0,0,0,0,0,-0.0197342996607408,0,0,0,0.0412262736200449,0,0,0,0,0,0,-0.06118219323669,0,0,0,0.134424357670273,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310110578755646,0,0,0,0,-0.0648432179041074,-0.0599980249988987,0,0,-0.0367126446391302,0,0,0,-0.0272989856854342,0,0
X600660.SH,0,0,0,0,0,0,0.182800591116295,0,0,0.0133901412457126,-0.152028163010144,0,0,0,0,0,0.0305557500501716,0,0.116756190985205,0,0,0,0,0,0,0,0,0,0,0,-0.0168027860049055,0,0,0,0,0,0,0,0,-0.12623866105379,0.0105275459102494,0,0,0.300944981314648,0,0,-0.0089269459032461,0.118014452588619,0,0,0,0,-0.0363706283626992,0,0,0,-0.0200672942723434,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.206893681002739,-0.181168361042241,-0.0428369648286571,0,0.190871877455868,0,0.094461807175195,0,0,0,0,0,0,-0.164714003955866,0,0,-0.169553083631942,0,0,0,-0.0431570370565674,0.548103220142167,0,-0.0601424268677404,0,0.0310751666826886,0.140724866888934,0,0,0,0,0.163113869878332,0.149705222403518,0,0,0,0,0,0.0504612209622093,0,0,0,0,-0.096276943844521,0,0
