,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600688.SH,X600027.SH,X600886.SH,X600157.SH,X600362.SH,X600111.SH,X601992.SH,X600188.SH,X600299.SH,X000792.SZ,X600660.SH,X601158.SH,X000709.SZ,X600309.SH,X000898.SZ,X000883.SZ,X000539.SZ,X002466.SZ,X600583.SH,X000027.SZ,X600352.SH,X600623.SH,X000630.SZ,X600578.SH,X600160.SH,X002470.SZ,X000629.SZ,X600489.SH,X600547.SH,X600098.SH,X600176.SH,X600022.SH,X600021.SH,X000959.SZ,X600808.SH,X000060.SZ,X000825.SZ,X300072.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.211430141303193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0218613842734092,0,0,0.103417916575099,0,0,0,0,0,0,0,0,0,0,0,0,0.0768370197452136,0,0.0239689918071497,0,0,0,0,0,0,0,0,0,0.127343809740752,0,0.0603453982700527,0,0,-0.00258529699814701,0,0,0,0,0,0,0
X600028.SH,0.280558969425138,0,0,0,0,0,0.148476856277024,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197645289289983,0,0,0,0,0,0,0,0,0.158792686666588,0,0,0,0,0,0,0,0.0384266431259483,0,0,0,0,0,0,0.0127317682520269,0,0.022383931979942,0,0,0,0,0.00392163717666305,0.0200261982995479,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.0135232184589805,0,0,0,0,0,0,0.214850478704517,0,0,0,0,0,0.0274033645711753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0411647118312142,0,0.0807326817962751,0,0,0,0,0,0,0,0,0.0862893822586638,0.246813106837993,0,0,0,-0.0426570569767502,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.119935819880945,0,0.00447978953578392,0,0,0,0,0,0,0,0,0.0375255613350902,0,0.0783867350283551,0.00909507686013803,0,0,0,0,0,0,0,0.140305414880267,0,0,0,0,0,0,0,0.00563062073903562,0,4.33680868994202e-19,0,0,0.0701370645100176,0,0,0.101666125296527,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0.108293808760117,0,0,0,0,0,0,0.0910626495683122,0.055257326430531,0.286397524719382,0,0.075841619918807,0,0,0,0,0,0,0,0,0,0.0112621594223714,0,0,0,0,0.00976484295584811,0,0,0,0.102430854472045,0,0,0,0,0,0,0.0357020431243282,0,0.11815870987052,0,0,0,0,0.0050399006238594,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0890341857399151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0779026093407128,0.155793590323795,0.0242724192313913,0.386141948990718,0,0,0,-0.0133302711227348,0,0,0,0,0,0
X600585.SH,0,0,0.130106999638562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00784762270322371,0.078308394554656,0,0,0,0,0.0626818997695709,0,0,0,0,0.0271486133144776,0,0,0,0,0.0307490394199573,0,0.0304934831795308,0,0.0602895179095177,0,0,0,0.00398296467763712,0,0,0.0479812461125367,0.0863798332495962,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0.00904175147131609,0,0,0.157075242152348,0,0,0,0.305382581120556,0,0,0,0,0,0,0.0257562931210805,0,0,0,0,0,0,0,0,0,0,0,0.070774653587256,0,0,0.0392934361656364,0,0,0.0235562945697578,0,0,0.0383142079028847,0.213334803510382,0,0,0.015861291554211,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0769656447958595,0.0599589399343566,0,0,0.172817486018159,0,0.000609407489108432,0,0,0,0,0,0,0,0,0,0.0157072353504825,0,0,0,0,0,0,0.0981691689917793,0,0,0,0,0,0,0,0,0.16608942167583,0.0673854690155186,0,0,0,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242521430731807,0,0.0104668651780551,0,0,0,0,0,0,0,0,0,0.0171268873818368,0.0360733710926681,0,0,0,0.0491282963193084,0.0414423573151286,0.0690032634011984,0,0,0.179295330674869,0,0,0,0.0206451617586626,0,0,0,0,0,0,0,0,0,0,0,0,0
