,X601857.SH,X600028.SH,X600585.SH,X601088.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X600011.SH,X002460.SZ,X002271.SZ,X600801.SH,X600660.SH,X600886.SH,X600010.SH,X601898.SH,X601600.SH,X000792.SZ,X600362.SH,X600688.SH,X600188.SH,X000786.SZ,X600352.SH,X601991.SH,X600795.SH,X600027.SH,X601992.SH,X600111.SH,X600299.SH,X600176.SH,X002075.SZ,X600489.SH,X000401.SZ,X600426.SH,X000723.SZ,X002466.SZ,X601158.SH,X000932.SZ,X600486.SH,X600219.SH,X000898.SZ,X600529.SH,X600126.SH,X600315.SH,X002353.SZ,X000553.SZ,X000883.SZ,X600516.SH,X600612.SH,X600583.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.0215621159529035,0,0,0,0,0,0,0,0,0,0,0.00660882598977728,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0.0203598742045558,0,0,0,0,0.0285231336747198,0,0,0,0,0,0,5.42101086242752e-20,0,0.0320179961848579,0.0489450310557234,0,0,0,0.121187112938906,0,0,0.0118640255613231,0,0,0,0,0,0
X600028.SH,0.0661865473909189,0,0,0,-0.112845862588823,0,0,0,0.137700643195086,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,-0.0229876946388735,0.109260453119457,0,0,0.023398009986103,-2.71050543121376e-20,0,0,0,0,0,0,0,0,0.169329275297962,0,0,0.009810358562905,0,0.00657541005725903,0,0.00248401766925764,0.000708639021453862,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0.508158384048362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0356538464145163,0,0,0.0342249968704297,0,0,-3.46944695195361e-18,0,-0.0346565322911166,0,0,0,0,0,0,0,0.00890870976082685,0.0104733372784526,0,0,0,0,0,0
X601088.SH,0,0,0.126464429548493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164584442359968,0,0,0,0,0,0,0,0,0,0,0,-0.1605794940574,0,0,0,0.0266713365561166,0.0114865310644965,0,0,0,0,0,0.0183184911398902,0,0,0.00480270419415704,-0.0233007863356556,0,0,0,0,0,0,0.0377881901294216,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0727216237890098,0.017750492749637,-0.0265816049991765,0,0,0.05569321586314,0.0648688757723711,0.0690820930557467,0,0,0,0,0,0.0566699859427719,0,0,0.150240335307963,0,0,0,0,0,0,0.0202778020774825,0.00748672016716685,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175464584517342,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.0310401445772186,0.465656155383086,0,0,0,0.0344808267742779,0,0,0,0,0,0,0,0,0,0.0814130763088108,0,0,0,0,0.0126351285306881,0.0418474240340609,0.0388147442233379,0,0,0,0,0,0
X600019.SH,0,0,0,0.0440509778139458,0.0698935986485669,0,0,0,0,0,0,0,0.0191638793325603,0,0,0,0,0,0.273118848053365,0.055228103169931,0,0.0513205604130983,0.0849287781517794,0,0,0,0,0,0,0,0,0,0,0.019408135105231,0,0,0,0,0,0,0,0.0317817481421453,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.0075238051014604,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0.26254929036725,0,0,0,0,0,0.167742717255399,0,0,0,0,0,0,0,-0.123970370941137,0,-0.0211199725938527,0,0,0.0222628806715474,0.0995980344498025,0,0,0,0,0,0,0,0,0,0,0.0349898969258642,0,0,-0.0214042662198535,0,0,0,0.171280890207627,-0.21313113584032,0,-0.0424637764884942,0,0,0,0,0,0
X600011.SH,0.0397918501996673,0,0,0.146613662607223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0431282349800746,0,0,0,0,0,0.368596921318121,0,0,0.0832285641906149,0,0.00662940381445441,0,0,0.0244113679470073,0,-0.0904408932063286,0,0,0,0,0,0.036284721856125,-0.0221790045489254,0.0330701886931413,0,0.141612340664337,0,0,0.247008782854932,0,0,-0.00547558595146248,0.0135009872293736,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0495792337640677,0,0,0,0,0.204290922596852,0,0,0,0,0,0.286715067857895,0,0.019394232153575,0.295208140238861,0,0,0,0,0,0,-0.00724691781122306,0,0,0,0,0,0,0
