,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600585.SH,X600019.SH,X600011.SH,X601898.SH,X600547.SH,X601600.SH,X600660.SH,X000792.SZ,X002466.SZ,X002460.SZ,X600886.SH,X600111.SH,X600010.SH,X000301.SZ,X000708.SZ,X600426.SH,X000877.SZ,X002271.SZ,X600362.SH,X600795.SH,X000983.SZ,X601699.SH,X600176.SH,X600803.SH,X600489.SH,X600027.SH,X000807.SZ,X000786.SZ,X601991.SH,X000932.SZ,X600160.SH,X000630.SZ,X000933.SZ,X600219.SH,X000408.SZ,X600985.SH,X002080.SZ,X000629.SZ,X600612.SH,X600688.SH,X300037.SZ,X002353.SZ,X600096.SH,X000539.SZ,X600801.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.878274256403233,0,0,0,0,0,0,0.178959603306405,0,-0.0223466391161759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000712996006353946,0,0,0,0,0,0,0,0,0.0165997756843554,0.0766185297556796,0,0,0,0,0,0,0,0.0656771072141175,0,0,0,0,0,0,0,0,-0.0179716415685686,0,0,0,0,0,0
X600028.SH,0.541608839271146,0,0,0,-0.0249988438039014,0,0,0,0,0,0.0624973144980336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0750046481615118,0.0912583426209762,0,0,0,0.0709258777532892,0,0,0,0,0,0,0,0,0,0,0,0,-0.0636512189984562,-0.142670449653953,0,0,0,-0.011718715328762,0.0277683652358091,0,-0.105637935114484,0,0,0,0
X601088.SH,0,0.15779573625741,0,0,0.24058742463239,0,0,-0.0889529920058948,0,0,0,0,0,0,0,0,0.102357204759497,0,0,0,0,0,0.0877764587814955,0.0550909562581112,0,0,0,0,0,0,0,0,0,0,0,-0.0632455258986499,0.0689602731786711,0,0,0,0,0,0.0189494565932701,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0.0112362994693782,0.0119211475390155,0,0,0,0,0
X600309.SH,0.0990955665710738,0,0,0,0,0,0,0,0,0,0.0368587680030095,0,0.0507489394755048,0,0.0746481632160248,0,0,0,0,0,0,0,0,0,0.0357633148130812,0,0,0,0,0,0,0,0.0856269498457134,0,0.203913759795086,2.39474385346446e-05,0,0.0544380976210508,0,0,0,0.0180126161065399,0,0,0,0,0,0.0815193988562142,0,0,0,0.0499031587045152,-0.0422162173282594,0,0,0,0,0,0
X600188.SH,0,0,0.81356006337289,-0.318180684491111,0,0,0,0,0,-0.147652487358297,0.105944498942302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120415183885795,0.169076266256062,0,0,0,0,0.0860920940155153,0,0,0,0,0,0,0,0,0,0,0,-0.200692076390583,0,0,0,0,0,0,0,0.0561681962833195,-0.0552072672518517,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0.161874143236779,0,0,-0.183394737870187,-0.133939557042201,0,0,0,0,0,0,0,0.165953730166277,0,0,0,0,0,0,0,-0.173372081857965,0,0,0,0,-0.0399323781804181,0,0,0,0,-0.00163017088155536,0.0624400850620462,0,0,0,0,0.0979379463616014,0,0,0.336098779353068,0,-0.00277520085102507,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.00218816160973076,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0.011473210519486,0,0,0,0.227347392323826,0,0,0,0,0,0.0208534745302385,0,0,0.141323772645261,0,-0.0120039379808714,0,0,0,0.300627861635089,0,0,0,0,0,0,0,0,-0.0517142153640916,0,-0.222017632191751,0,0,0,0.130015106128188,-0.0164303981594336,0,0.0287545890945376,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.132595386028325,0,-0.0315049287659825,0,0,0,0,0,0,0,0,0.301713812634998,0,0,0,0,0,0,-0.198130653970614,0,0,0,0,0,0,0,0.401588567963496,-0.0273863402088414,0,0,0,0.0702925552971814,0,0,0,0,0,-0.14168870827697,0,0,0,0.0346920775863042,0,0,0.290329164958829,0,0,0.000340593819623319,0,0,0,0,0,0,0
X601898.SH,0,0,0.0263444456728393,0,0,0,0,0,0,0,0,0,-0.0841058397175161,0,0,0,0,0,0,0,0,0,0,0,0,0.194270895774588,0.137853781380144,0,0.0238192480094811,0,0,0,0,0,0,-0.0137027116265303,0.136659323320968,0,0,0,0.124098359868224,0.0954540549112448,0.143049461811072,0,0,-0.143305785592681,0.0634093650844243,0,0,0,0,-0.0067855847436194,-0.00373904197261291,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,-0.180141163195384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0655674779012495,0,0,0,-0.0354646505778786,-0.0552295189716119,0,0.0407099049936648,0.0374065028994052,0.526403590528107,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.103157950616631,0,0,0.166813942162346,0,0,-0.083212019274146,0.00465505218483414,-0.0315157280615879,0.0250175961087803,0,0,0,0,0,0
