,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X000708.SZ,X601898.SH,X600010.SH,X600886.SH,X601600.SH,X600660.SH,X600362.SH,X600188.SH,X600801.SH,X600795.SH,X601991.SH,X600352.SH,X600688.SH,X002460.SZ,X000786.SZ,X600111.SH,X600027.SH,X002271.SZ,X000723.SZ,X600176.SH,X601992.SH,X002353.SZ,X002466.SZ,X600516.SH,X000898.SZ,X600583.SH,X600426.SH,X600299.SH,X600489.SH,X000883.SZ,X000709.SZ,X601158.SH,X600219.SH,X000629.SZ,X600612.SH,X000027.SZ,X000553.SZ,X000630.SZ,X000825.SZ,X600808.SH,X000792.SZ,X002110.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.00216688252399606,0,0,0.129041540510631,0,0,0,0,0,0,0,0,0,0.195422035142339,0,0,0,0,0,0,0.0235988993346028,0,0.0657407930672994,0,0,0.0541061542603613,0,-5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00268596771810307,0,0,0,-0.0258412880605792,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0.135374112138646,0,0,0,0,0,0,0,0,0,0,0,0.0181906515990366,0,0,0,0.091420054257125,0,0,0,0.053531196583704,0,0,0,0,0.0337958273513792,0,0,0,0,0,0,0,0,0,0,0,0,0.0774100670152253,0,0,0,0.0140579814482523,0.0282645922122442,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.642899670957394,-0.0322025051460359,0,0.00541711091797375,0.0180980230768946,0,0.0963353574182566,0,0,0,0,0.0343111832861604,0,0,0,0,0,0,-0.0355266294006369,0,0,0,0,0,-0.0718835854316667,0.0137598239276135,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0820242591929684,0,0,0,0,0,0,-0.0214739774751611,-0.00619255744415411,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0927447583581028,0,0,0,0,-0.119767166968173,0,0.0234722886086373,0,0,0,0,0.340483240273567,0,0,0,0,0,0.09466341883033,0,0,0.0332077952923447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00310186406805072,0,0,0,0,0,0,0.0257848820767252,0,0,-0.0250109239624121,0,0,0,0,0,0
X600309.SH,0,0,0,0.220663290849457,0,0,0.0550068448479233,0,-0.00819193412669893,0,-0.188468974401369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133980252948178,0,0.0568327763748404,0,0,0.00709874024271474,0.0126535580771188,0,0,0,0.133743418251468,0,0,0,0,0,0,0,-0.153390841210555,0,0,0,0,-0.129119946597667,0,0,-0.0249622518540041,0.0248479389550741,0,0,0,0,0,0
X600019.SH,0,0,0.265255451363748,0,0,0,0,0,0,0,0.0183824642347806,0,0,-0.0167336426170326,0,0,0,0,0,0,0,0,0,0,0,0,-0.000327532163966496,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.308598481920287,0,0,0,0,0,0,0,0,0,0,0,0,0.0106652445360064,0,0.011038280101975,0,0,0,0,0
X600547.SH,0,0,0,-0.0202775990018489,0,0,0,0,0,0,0,0,0,0,0,0,-0.0105913478567929,0,0,0,0,0.0536160494147007,0,0,0,0,0,0,0,0,-0.0417814030874647,0,0,0,0,0,1.15282466356792,0,0,0,0,0,0,-0.0722275252438909,-0.0332713866405349,0,0,0,0.230559176297498,0,0,-0.0447713605065312,0.0213719159893426,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,-0.0398143889981584,0,-0.173547185145002,0,0,0,0,0,0,0,0.107526036358514,0,0,0,0,0.036629137108428,0.06235291282771,-0.106819359269768,0.160748235400838,0.157142455691005,0,0.0227455751511328,0,0,0,0,0,0.0309767428073379,0.078004134733106,0,0,0,0,0,0,0,0,0,0.0468659296477617,0,0,0,0.0619831040725574,0,-0.111388670340602,0,0.00940611089250141,0,0,0,-0.0104996167402533,0,0
X000708.SZ,0,0,0,0,0.184104888202072,0,0,0,0,0,0.555739617569547,0,0,0,0,0,0,0,0,0.343104499283047,0,-0.194731508020841,-3.46944695195361e-18,0,0,0,0,0,0,0.171936993329515,0,0,0,0,0,0.195141781030948,0.424673974257822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.123644487016495,-0.0489601942531818,-0.0362947009137324,0,0,0,0,0
X601898.SH,0.38533762449556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291387617924812,0,0,0,0,0,0,0,-0.153849930733317,0,0,0,0,0,0,0.188836217432415,0,0,-0.0775365081755287,-0.162372177982271,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0446794797010456,0,0,0,0.0821470725212183,0,0,0,0.022600107982267,0,0
