,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X600011.SH,X601898.SH,X601600.SH,X600547.SH,X600660.SH,X600886.SH,X000792.SZ,X002466.SZ,X002460.SZ,X600111.SH,X000708.SZ,X600010.SH,X000301.SZ,X600795.SH,X600426.SH,X600362.SH,X000877.SZ,X002271.SZ,X601699.SH,X600803.SH,X600489.SH,X600027.SH,X000983.SZ,X601991.SH,X000807.SZ,X600176.SH,X000786.SZ,X600160.SH,X000932.SZ,X000630.SZ,X000933.SZ,X600219.SH,X600985.SH,X000408.SZ,X600688.SH,X300037.SZ,X000629.SZ,X600612.SH,X600801.SH,X600096.SH,X002128.SZ,X600157.SH,X601168.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.97561156359097,0.0500191812232904,0,0,-0.00906362298616263,0,-0.0368728213740894,0,0,0,0,0,0,0,0,0,0.023213132867446,0,0,0,0,0,0,-0.206819883116177,0,-0.0387483168370881,0,0,0,0,0,0,0,0,0,0,-0.0353362953169258,0,0,0,0,0,0,0.103401553073013,-0.1265947525968,0,0,0.234861679798488,0,0.0255784879589487,0,0.0132009091171329,0,0,0,0,0,0
X600028.SH,0.521627383943709,0,0,0,0,0.107754692006187,0,0,0.00741685490398894,0,0,0,0.0284233667008562,0,-0.0135114200869225,0,0,0.0894994454444877,0,0,0,0,0,0.0555943793818764,0.00530537621508584,0,0,0.127433295236897,0,0,0.0379972207423092,0,0,0,0.0100244650824989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0182472477077323,-0.0115867893293322,0,0,0,0,0,0
X601088.SH,0.0866655230675192,0.0496045780815133,0,0,0.12619462159801,0,0,0,0.164382359663143,0,0,0,0.0625260153827395,0,0,-0.0354022716519793,0,0,0,0,0.0602339840634383,0,0,0,0,0,0.00826373600373692,0.0106784683713998,0.0124859825584336,0,0,0,0.197425418851593,0,-0.0721623771522352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00178924963129358,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0.0519496534028503,0,0,0,0,0.245860579932606,0,0,0,0,0.0822384264622555,0,0,0,0,0,0,0,0,0,0.105865259328105,0,-3.46944695195361e-18,0.0286507112719693,0.00383396315038375,0,0,0,0,0,0,0,0,0,0,0,-0.0818349075483236,0,0,0,0,0,0.0254392719853786,0,0,0,0,0.0261540988540806,0,0,0,0,-0.159253642578039,0,0
X600188.SH,0,0,0,0,0,0.155390297511089,0,0,0.243971909042974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0499846095461317,0,0.0906046766860032,0,0,0.422135840594242,0,0,-0.259502791448156,0,0,0,0,0.0982298251092671,0,0,0,0,-0.00255666228607649,0,-0.0447653733171319,0,0,0,0,0,0,0.0151869426045281,-0.0297793768345007,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.0151540945455138,0,0,0,0,0,0,0,0.133888598974275,0,0,0,0,0.24079322066627,0,0,0,0,0,0.0743922723734999,0,0,0,0,0,0,0,0,0,0.218984384507506,0,0,0,0,0,0,0.293087274604889,0,-0.2072316342641,0,0,0.143923489837634,0,0,0,0,-0.116261701686798,-2.71050543121376e-20,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0130888363122567,0,0,0,0,0,0,0,0,0,-0.0560947408124763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00550103542645817,0,0,0,0,-0.0466862289891203,0,0,-0.109199120345601,0,0,0.644580645204511,0,0,0,0,0,1.6940658945086e-21,0.00169479603113479,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.112000583853573,0,0,0,0,0,0,0,0.224058827223387,0,0,0,0,0,0,0,0,-0.122342699601431,0,0,0,0,0,0,0.454915189621729,0,0,0,0.0764128237948609,0,0.106194460239507,0,0,0,0,0,0,0,0.169725264766852,-0.0439716986472322,0,0,-0.0894096753274586,0,0,0,0,-0.0163650951794392,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.204391561620909,0,0,0,0,0,0,0,0,0,0.118399885990996,0,0,0,0,0,0,0,0,0,0,0.279195336852875,0.141557345259506,0.00920543697829231,0,0.076034584406723,0,0,0,0,0,0,0,0,0,0.0564344289632391,0.0542894917491005,0,-0.0969299471419718,0,0,0,0,0,0,0,0,-0.00155918334567187,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0.0626724490300553,0,0,0,0,0,0,0,0,0,0.117575348310318,0,0,0,0,0,0,0,0,0,0,0,0.00689637309867363,0,0,0.484935190742824,0.00746046176472686,0,0,0,0,0,0,0,0,0.0587625860287877,0,0,0,0.0824769440613516,0,0.0871619997174272,0,0.00710822080156449,0,5.42101086242752e-20,0,0,0,0,0,0,0
