,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X600660.SH,X601898.SH,X600688.SH,X600188.SH,X601991.SH,X002466.SZ,X600362.SH,X601600.SH,X600795.SH,X600886.SH,X600547.SH,X300072.SZ,X002460.SZ,X600516.SH,X600027.SH,X000898.SZ,X600352.SH,X600111.SH,X000553.SZ,X601992.SH,X600176.SH,X000786.SZ,X000825.SZ,X000709.SZ,X600426.SH,X000792.SZ,X600299.SH,X000408.SZ,X002110.SZ,X600808.SH,X000883.SZ,X000830.SZ,X000932.SZ,X600315.SH,X601158.SH,X601699.SH,X600801.SH,X600219.SH,X600339.SH,X002271.SZ,X600489.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.333389604089887,0,0,0,0,0,0.0148802554154459,0,0,0,0.0455063552711749,0,0,0,0.0996338462705282,0,0,0,0,0,0,0,0,0,0,0,0.00957126861008593,0,0,0,0,0,0.155251604923214,0,0.0177924735263002,0,-4.33680868994202e-19,0,0.0112624723637,0,0,0,0.0416769989885415,0,0,0,0,0,0,0.0193027511290336,-0.0143280610286759,0,0,0,0,0,0
X600028.SH,0.151493867445624,0,0.282708966629249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0187107734459744,0,0,0,0,0,0.0708427392895467,0,-0.166704097338688,0,-0.107451334177917,-0.00685387835606974,0,0,0.0606915900989069,0.0677358478901143,-0.046652761405489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0384652632641214,0,-0.0257397812960776,0,0.0997070042150614,0,0
X601088.SH,0,0,0,0.0956830024993699,0,0,-0.254269427191381,0,0,0,0,0.30839515390787,0,0.0851010261653333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00346822862506161,0.00770319185711122,0,0,0,0,0,0
X600585.SH,0,0,0.258542154642591,0,0,0,0,0,0,0,0,0,0,0.0556330721279761,0,0,0,0,0,0,0,0,0,0,0,0,-0.073881710025164,0,0,0.0610907274101552,0,0,0,-0.0215258015242037,0,0,0,0,0,0.209683260677916,0,0,0,0,0.320393869513901,0,0,0,0,0,-0.0301636776598033,0.0596728602438085,0,0.133289162712992,0,0,0,0
X600019.SH,0,0,0,0,0,0.0639415657836562,0,0,0,0,0,0.405206379438962,0,0,0,0.0378546646871881,0,0,0,0,0,-0.00524087433033029,0,0,0,0,0,0,0.00929538628987832,0,0,0,0,0,0,0,0,0.124462001392352,0,0,0,0.0180628077651002,0,0,0,0,0,0,0,0,-0.0172615936118904,0.0898449391488944,0,0,0,0,0,0
X600309.SH,0,0,0.025705250967088,0,0,0,0,0,0,0,0,0,0,-0.167792453310538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.143233023415754,0,0,0.120474624447914,0,0,0,0,0.0702484268862696,0,0,0,0,0.114844571127494,0,-0.0365079695886473,0,0,0,0.0825604417973652,0.00457251280647185,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0.00948882597523434,0,0,0,0,0,0,0,0,0,0,0.0145990871498886,0.0372401696062073,0.0784818371155544,0.0334078811038189,0.174002634403389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0408039506912051,0,0,0,0,0.0295873115250497,0,0,0,0.0111902159881122,-0.0319715652553942,0,0,0,0,0,0
X600010.SH,0,0,0,0,0.0913782531685457,0,0.247793221691916,0,0,0,0,0,0,0,0,0.00137562290741849,0,0,0,0,0,0,0.155507358840844,0,0,0,0,0,0,0,0,0,0,0,0,0.0396998428492904,0,0.29213397516522,0,0,0,0,0,0,0,0,0.233695687049094,0,0.0287874780834801,0,0.0480490499964258,-3.46944695195361e-18,0,0,0,0,0,0
X600660.SH,0,0,0,0,-0.00385845303583004,0,0,0,0,0,0,0,0,0,0,-0.0119280484154963,0,-0.247232962809117,0,0,0,0,0,0,0.0906155150997884,0,0,0,0,0.193828186767449,0,0,0,0,-0.122216411041229,0,0,0,0,0,0,-0.113771589045071,0,0,0,0,0,0,0,0,-0.0114494685318607,0.0340670113209415,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0.159647452393336,0,0,0,0,0,0,0,0,0,0.0366045695225017,0,0,0,0,0,0.175517786755084,0.0693903338312434,0,0,0.088739494903864,-4.33680868994202e-19,0,0.00686265917226848,0,0,0,0,0.0519516129831105,0,0,0,0.0963956198582408,0,0,0,0,0,0.011341499834075,-0.0124393587458202,0,0,0,0,0,0,0
