,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X600547.SH,X601600.SH,X601898.SH,X600352.SH,X000723.SZ,X601991.SH,X600660.SH,X600688.SH,X600188.SH,X600886.SH,X600795.SH,X600362.SH,X601992.SH,X600027.SH,X600801.SH,X000898.SZ,X600111.SH,X600176.SH,X600516.SH,X002466.SZ,X000709.SZ,X002460.SZ,X000786.SZ,X600299.SH,X002271.SZ,X000629.SZ,X600489.SH,X002110.SZ,X601158.SH,X600219.SH,X000990.SZ,X600808.SH,X000553.SZ,X000883.SZ,X600985.SH,X000630.SZ,X000027.SZ,X600157.SH,X000825.SZ,X600583.SH,X600426.SH,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0543249635810432,0,0,0.00855342972763349,0,0.0589637484163237,0,0,0,0,0,0,0,0,0,0,0,0,0.168483146633977,0,0,0.0213141964688838,0,0,0,0,0,-0.00140076145917166,0,0,0,0,0,0,0
X600028.SH,0,0,0.130970725088139,0,0,0.0827550752350598,0,0,0,0.0781218438074586,0,0,0,0,0,0,0,0,0,0.0251659346685015,0,0,0.00210117142643221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028150339883876,0,0,0,0,0,0,0,0,0,0.0841255783795542,0,0,0,-0.0243062251240896,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,-0.106622819715204,0,0,0,0,0.220029253739126,0,0,0,0,0,0.15857261521617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0337759907691676,0,0,0.0868933960641511,0,0,0.00809352325305671,-0.0440738981438781,0,0,0,-0.0126344475076042,0,0
X600585.SH,0,0,0,0,0,0.151093658017599,0,0,0,0,0,-0.00766541711014083,0,0,0,0,0,0,0,0,0,0,0.491760844591476,0,0,0,0,0,0,0,0,-0.00873853627262129,0,0,0,0,0,0,-0.024279590325305,0,0,0,0,0,0,0,0,0,0,0,0.0227117818905359,-0.0165741656895988,0.000658584624729593,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0358068404723678,0,0,0,0.0774854075709958,0,0,0.0880282563743407,0,0,0.138171104767295,0,0,0,0,0,0,0,0.0533865975517239,0.0330498046869688,0,0,0,0,0,0,0,0,0,0,0.0699384406225878,0,0,0.0913050043559002,0,0,0.00272179163483997,0,0,0.00860045143301925,0,0,0,0,0,0,0
X600309.SH,0,0,0,0.013714394198123,0,0,0,0,0,0,0,0.0773041818980016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0368614452134196,0,0,0.0863806672336675,0,0,0,0,0.250452768106849,0,0,0,0.0213740189323665,0,0,0,0,0,-0.0637805615186713,0,0,0.263111179540579,0,0,-0.002811509273138,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0223583376920293,0,0,0,0,0,0.385556555845373,0,0,0.412445825610481,0,0,0,0,0,0,0,0,0.0714943095527986,0,0,0,0,0,0,0,-0.042205743212994,0,0,0,0,0,0,0,0,0,0,0,0,0.0289711117419137,0,0,0,0,0.0537049543088177,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0.0723386087999381,0,0,0,0,0.111344082165042,0,0,0,0,0.0752405830538585,0,0,0,0.0651585125590574,0,0,0,0.262973001325952,4.33680868994202e-19,0,0,0,0,0,0.0789195103701397,0.143169466735783,0,0,0,0,0,0,-0.0427295988216185,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0.0152687977194875,-0.0266716091536093,0,0,0,0,0,0,0,0,0,0,0,-0.00660628611662962,0,0,0,0,0,0,0.130027424188815,0,0,0.443117498188907,0,0,0,0.0183201668205444,0,0.0138053437825053,0,0,0,-0.055592770062021,0.101383020328265,0,0,0,0,0,0,0,0,0,0,0.0284793909467454,0,0
X601600.SH,0,0,0,0,0,0,0,0.0752794725808555,0,0,0,0,0,0,0,0,0.0153768687345821,0,0,0.1500729717364,0,0,0.0465662015482462,0,0.182805314950123,0,0,0,0,0.00609406656601359,0,0,0.00465869680968555,0,0,0,0,0.245385417094489,0,0,0,0,0,0,0,0.00936731952524382,0,0,0.0744042609590049,0,0,0,0,0,0,0,0,0,0
