,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X600585.SH,X600547.SH,X600886.SH,X600660.SH,X601600.SH,X002466.SZ,X002460.SZ,X000792.SZ,X600795.SH,X000708.SZ,X601699.SH,X600111.SH,X600010.SH,X600362.SH,X000301.SZ,X000983.SZ,X600027.SH,X600426.SH,X000877.SZ,X600803.SH,X601991.SH,X600489.SH,X002271.SZ,X600985.SH,X600160.SH,X000786.SZ,X000408.SZ,X000630.SZ,X000807.SZ,X000933.SZ,X000932.SZ,X600176.SH,X600348.SH,X601168.SH,X600612.SH,X300037.SZ,X600219.SH,X002128.SZ,X600688.SH,X600157.SH,X000629.SZ,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.288797098161893,0.403066307898929,0,0,0,0,0,0,0,0,0,0,-0.240071834376832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.18269019465425,0,0,0,0,0,0,0,0,0,0,0,0.240214653015114,0,0,0,0,0,0,0,0,0,0.00200060815688377,-0.228880902076453,0,0,0.11262271201414,0,0
X601088.SH,0.00484846920687962,0,0.106510191806044,0,0.121081217423104,0,0,0,0,0,0,0,0,0,-0.0422200464113172,0,0,0,0.0629402188530526,0,0,0,0,0,0,0,0,0,0,0,0,0.0940550128668802,0,0,0,0,0,0.0696305438897843,0,0,0,0,0,-0.068073015812891,0,0,0,0,0,0,0,0.016927513660683,0.00535787295449027,0,0,0,0.100431787548081,0,0
X600028.SH,0.44701897988315,0,0,0,0,0,0,0,0,0,0,0,0,0.0055654080342306,0,0,0.185472993293791,0,-0.0206878621720793,0,0.0337022368044143,0,0,0,0,0,0,0,0,0.14914303213445,0.0743404148957307,0,-0.244302828414975,0,0,0,0,0,0.0110830665332742,0,-0.0586168509591685,0.0510265861208963,0,0.0362288621194034,0,0,0,0,0,0,0,-0.00901355586657935,0.0140546861992083,0,0,0,0,0,0
X600309.SH,0,-0.0510131179392963,0,0,0.330358148166869,0,0,0,0,0.151334153346576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161648779046605,0,0.0773044902546741,0,0,0,0,0.386076302024337,0,0,0,0,0,0,-0.0209396294621393,0,0,0,0.163396622353227,0,0.0389236799569904,0,0,0,0,0,-0.0568842432092137,0.0519745427888923,0,0,0,-0.21876221611713,0,0
X600188.SH,0,0,0,0,0,0,0.149736296824763,0,0,0.199079463498142,0,0,0,0,0,0,0,0,0.149878750180189,0,0,0,0,0.0417274369610886,0,0,0,0,0,0,0,0.127299534535364,0,0,0,0,0,0.0699489311970374,0.0504757131220507,0,0.0521406689499789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0.0638263755647789,0,0,0,0.398344958250066,0,0,0,0,0,0.139115405475432,0,0,0,0,0,0,0,0.00998296551603456,0,0,0,0,0.125475007062053,0,0,0,0,0,0,0,0,0,0.0728661959856766,0,0,0,0,0,0,0,0,0.00408965016225867,0,0,0,0,0,0,0,0.0782716344206561,0.00350863812317496,-0.014575001657607,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.347520502734779,0,0,0,0,0,0,0.0899048378084253,0,0,0,0,0.223719932417878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.477583726053473,0,0,0,0.0603684844912638,-0.0756704879283836,0,0,0.0275267633224544,0,0,0,0.121706591033159,0,0,0,0,-0.0182929644211974,0,0.00748548886208046,0,0,0.00989160911068698,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0.00352662743347302,0.083971987944796,0.00479532267794244,0,0,0,0,0.0959881143811472,0,0,0,0,0,0,0,0.426733056817795,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0720642658001854,0.0650952179637481,0,0,0,0,0,0,0,0,0,0,0,0,0.00187105830416061,0,0,0,0.00218991544136033,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0946438571928264,0,0,0,0,0,0,0,0,0.0694076198940854,0,0.00980370049858784,0.20430352704761,0,0,0,0.126010859997848,0,0,0,0,0,0,0.108263472949629,0,0.0646749073190608,0,0,0,0,0,0,0,0,0,0,0,0,0.0131060891142985,0,0,0,0.00545237667966614,0,0
X600547.SH,0.034041418271863,0,0,0,0.0361284370698598,0,0,0,0,0,0,0,0,0,-0.0375840265270076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.537718681795666,0.0332914626977857,0,0,0.0556918045592363,0,0,0,0,0.017644596221708,0,0,0,0,0,0,0,0,0,0,0,0,0.00670736762853658,8.67361737988404e-19,0,0,0,0,0,0
X600886.SH,0.16096216462345,0.0592783100208302,0,0,0,0.00845590617264372,0,0,0,0,0,0.0648624493838485,0,0,-0.00614934888144106,0,0.23699995442159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15551927512858,0,0,0,0,-0.0514017271721749,0,0,0,0,0,0,0,0,0,0,0,-0.135233973651917,0,0,0,0.000443606474877224,0,0,0,-0.0189573375874314,0,0
X600660.SH,0,0,0.144615699265537,0,0,0,0,0,0,0,0.122561575272848,0,0,0,0,0,0,0,0,0,0,0,-0.102857257143527,0,0.197078002178364,0,0,0,0,0,-0.0215037354881525,0,0.403868786833775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0231647393656622,-0.00297012640571979,0,0,0,0.142532519907725,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0282756349239962,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0829039560764278,0,0,0.131813672919528,0,0.0435747166814659,0,0,0,0.0160879499286179,0.236054157003864,0.0680591236221243,0,0,0.200962485937127,0,0,0,0,0,0,0,0,0,-0.0372680486433068,0.0419643145030665,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.757749358965528,0,0,0,0,0,0.00977954849116261,0,0.230295267583601,0,0,0,0,-0.24783701800648,0,0.118369785601829,0.0654275575471533,0,0,0,0,0,0,0,0,0,0,0,0,0.0100766571562034,0,0,0,0,0,0,0,0.00331079655189275,-0.0246314207651228,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.830701500538319,0,0,0,0.0820357773450135,0,0,0,0,0,0,0,0,0,0,0,0,0.0118616707024378,-0.152626380745459,0,0,0,0,0,0,0,0,-0.0369223893599361,0,0,0,0,0,0,0,0,0.135543241874306,0.0132659920451423,0.00475298696095221,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0.127333304369835,0,0,0,0,0,0,0.214136571613493,0.00669622582916043,0,0,0,0,0.375268918538982,0,0,0,0,0,0,0,0,0,0,0.00527343332639212,0,0,3.46944695195361e-18,0.0667059583321249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00800773375187873,-0.0113984441099373,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0.441297986125475,0,0,0,0,0,0,0,0.0798320932841931,0,0,0,0,0,0,0,0,0,0.347374080320226,0,-0.000111024346531069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0238299840097208,0,0,0,0,0.0163204353381975,0,0
X000708.SZ,0.199560852125398,0,0,0,0,0,0.101353760985719,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177970079703733,0,0,0,0.199320829598057,0,0,0,0,0,0,0,-0.0141425642498712,0,0,0,0,0,0.0337114094961146,0,0,0,0,0.0807500590815285,0,0,0,0,0,0.108401238503413,0,-0.0465936818666007,0.0682001533806148,0,0,0,-0.0746719822439068,0,0
X601699.SH,0,0.0660001040001286,0.0283365516167596,0,0.474950084215934,0,0,0,0,0,0,0.12492373262791,0,0,0,0,0,0,0,0,0,0,-0.0839641212659148,0.0899321590584845,0,-0.209561869315296,0,0,0,0,0,0.230354207623412,0,0,0,0,0,0.148898114611948,0,0,0,0,0.0456439011724977,0,0,0,0,0,0,0,0.0124416320370385,0.0353354272156572,-0.0435028827308044,0,0,0,0.0440300713237302,0,0
X600111.SH,0.122543376248881,0,0,0,0,0,0,0,0,0,0,0,0,0.171959140715471,0.0988954783150208,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1153891065778,0,0,0,0,0,0,0.302631805378433,0,0,0,0,0,0,0.026437950514229,0,0,0,0,0,0.0603741476367971,0,0,0.0241760951100037,-0.0321635183014936,0,0,0,0.0440998007363561,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113734319499432,0,0,0,0.10476629117212,0,0.363625593495492,0,0.0908763011799249,0.108021912017162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0419117833521483,0,0,0,0,0.180063622099966,0,0,0,0,0,0,0,0,0,-0.00528961223318251,0,0,0,0.0113744174956116,0,0
X600362.SH,0,0,0,0,0,0,0,0,0,0.0791398320966821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0639760081290323,0,0,0,0,0.17905530105781,0,0.0433952448836892,0,0.150482237960029,0,0,0,0.24694577921334,0,0,0,0.0154347410769244,0,0,0,0,0,0
X000301.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0498812643742325,0,0.205566888711089,0,0,0,0,0,0.0489237906079084,0,0,0,0,0,0,0,0,0.120967777003501,-0.025450955950092,0,0,-0.00409995358818294,0,0,0.0286936331943737,0,0,0,0,0,0,0.163627722196594,0,0,0,0,0.00555341417620849,0,0,0.0126408120448631,0,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0.0904644747925864,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454083118669024,0,0,0,0,0,-0.086482289456668,0,0.207424766256349,0,0,-0.0187513754857602,0,0,0,0.0276622146292573,0,0,0,0,0,0,0.239193129413469,0,0,0,0,0,0,0,0,0,0,0.0406268341013859,-0.0279354282186029,0,0,0,0.173949973392384,0,0
X600027.SH,0,0,0,0,0,0,0,0.471857616090658,0,0.021798218784099,0,0.103296124457159,0.032029403448535,0,0,0,0,0,-0.187122492101453,0,0,0,0,0,0,0,0,-0.0401535567613264,0.23046983995115,0,-0.165900373345861,0,0,-0.0400555239246965,0,0,0,0,0,0.0400219622954338,0,0,0,0,0,0,0,0,0,0,0,-0.0193913188164581,0.00434468112998556,0,0,0,-8.67361737988404e-19,0,0
X600426.SH,0,0,0,0.380407035339779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103985492719023,0,0.197001876995811,0,0,0,0.0168851951329847,0,0.129883281573758,0,0.252826605335817,0.0571224129468879,0,0,0,0,0,0,0,0,0,0,0,0.121897249431195,0.0274359530601694,0,0,0,0,-0.0201852640876173,0,0
X000877.SZ,0,0,0,0,0.136344847089067,0,0.00461800784027591,-0.0537488227771647,0.398546832693798,0,-0.0943985047603986,0,0,0.013513879586677,0.0290360870649959,0,0,0,0,0,0,0,0,0.090495764288437,0,0,0,0,0,0,0,0,0.207417225001584,0,0,0,0,0,-0.0459228627019003,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0069406827807978,0,0,0,0,0,0
X600803.SH,0,0,0,0.0872324137739979,0,0,0,0,0,-0.0344595127673513,0,0,0,0,0,0,0.0423329402846994,0.0975452157070443,0,0,0,0,0,0,0,0,0,0,0.0419824318239904,0,0,0,0,0.139255514988603,0,0,0,0,0.0644845131322672,0,0,0,0,0,0,0,0,0,0,0,0.0315110225962843,0,0.0220055469255906,0,0,0,0.00746756505253157,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0575322927433138,0.0247884337148961,0,0.114671571640502,0,0,0.0704050308315197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0390896890655622,0,0.0334704370522202,0,0.08786565450366,0,0,0,0.077412364136322,0,0.0207127349827479,0.124794026712634,0,-0.0120455809902097,0.0171351658003518,0,0,0,0,0,0
X600489.SH,0,0,0.0190063913644957,0,-0.0759570417910414,0,0,0,0,0.58153038329445,0,0,0,0,0,0,0,0,0,0,0,0,0.100859524015307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0503510996613287,0,0,0,0,0,0,0,0,0,0,0,-0.0210064817182536,-0.000803437528649272,0,0,0,0,-0.0489585530726261,0,0
X002271.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0303793201962529,0.0506468677025281,0.123245531412319,0.10364872941191,0,0,0,0,0,0,0,0,-0.496326531008364,0,0,0,0.248505260398687,0,0,0,0,0,0,0,0,0.239912509608497,-0.0964123488031853,0.157342825269533,0,0,0,0.197150854884618,0,0,0,0,0,0,0,2.16840434497101e-19,0.0353849651432619,0,0,0,-0.109180514158263,0,0
X600985.SH,0,0,0,0.216174832369846,0.319497099555823,0,0,0,0,0,0,0,0,0,0,0,0,0,0.343916812648886,0,0,0,-0.36104271995098,0,0,0,0,-0.234193387174762,0,0,0,0,0,-0.0734302303184463,0,0,0,0,0,0,0.162220868002232,0,0,0,0,0,0,0,0,0,0,0,0.00055688676668947,0.076577834638604,0,0,0.0115349244192327,0,0
X600160.SH,0,0,0,0.0986810971915009,-0.196219920954315,0,0,0,0,0,0,0,0.193060066852513,0,0,0.157657177676969,0,0,0,0,0,0,0,0.0628350923362947,0,0,0,0,0,0.0556473806603336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.194512910551079,-0.0113349901352987,-0.0112599543128357,0,0,0,0,0,0
