,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X000792.SZ,X600111.SH,X600019.SH,X002466.SZ,X600011.SH,X002271.SZ,X000877.SZ,X600010.SH,X600660.SH,X600188.SH,X601600.SH,X000708.SZ,X000301.SZ,X601898.SH,X600547.SH,X600886.SH,X600362.SH,X000723.SZ,X000408.SZ,X600176.SH,X600426.SH,X601991.SH,X000786.SZ,X002080.SZ,X600219.SH,X600027.SH,X600803.SH,X600795.SH,X600399.SH,X300037.SZ,X600688.SH,X002326.SZ,X300073.SZ,X600378.SH,X600141.SH,X600516.SH,X600352.SH,X600486.SH,X000825.SZ,X600801.SH,X600489.SH,X000807.SZ,X600157.SH,X000959.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.53766257731474,0,0,0,0.0137390083282283,0.0425439688241947,0,0,0,0,0,0,0.0164481027014353,0,0.00378769562100838,0,0,0.0474677893265725,0.0139198088812439,0,0,0,0.00384113773725255,0,0,0.0371107950849861,0,0,0,0,0.121683836576081,0,0,0,0,0.0431296445877349,0,0,0,0,0.0909808082990856,0,0,0,0,0,0,0,0,0,-0.0106709319397192,0,0,0,0,-0.050096235207431,0,0
X600028.SH,0.102552423831296,0,0,0,0,0,0,0,0.0708762268557821,0,0,0,0,0,0,0.0512653766946874,0,0,0,0,0,0,0,0,2.71050543121376e-20,0,0,0,0,0,0,0,0.145425046587879,0,0.0337824703043672,0,0,0,0,0,0,0,0,0,0,0.0456527795740689,0,0,0.0305068574739596,0,0,-0.0459388366650664,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0.247443404775339,0.108021149380823,0,0,0,0,0.324499830987695,0,-0.0140234770370558,-0.0541516432854017,0,0,0,0,0.0432148624545848,-0.13256844077902,0,0,-0.00560697645247361,0,0,0,-0.0271071980318104,0,0,0,0,0.156156895346282,-0.039639608301375,0,0,0.0175018316530897,0,0,0,0,0,0,0,0,0,0,0,-0.000867052684976943,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,-0.0651493658757326,0.0166271131712009,0,0.12605412214402,0.0795224935144291,0.042091868503803,0.0357155905518781,0,0,0,0,0,0,0,0,0,0,0,0.134800879850602,0.147302769532724,0,0,0,0,0,0,0,-0.0648089594047328,0,0,0,-0.0856447608899566,0,0,0,0,0,0,0,0.000976643232225461,0,0,0,0,0,0,-0.0284492694151056,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0.052235194777761,0.00884469662094299,0,0,0,0,0.0609873799494953,0,0,0,0,0,0,0,0,0.018122128823795,0.241684504398767,0,0,0.0482059361955061,-0.105451464185344,0,0,0,0,0,0,0,-0.0541076072588057,0.0108455386386203,-0.0211080039205594,0,0,0,0.0116718586193091,0,0.225890991311567,0,0,0,0,0,-0.0624436976023091,0.102397942385576,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0.517352626806935,-0.0558836818420696,0,0,0,0.358761421451041,-0.0450735855477108,0,0,0,0,0,0,0,0,0.0455511630767492,0,0,0,0,0.0721410429614609,0,0,0,0,0,0,0,0,0.0312933269728727,0,0.235874038705877,0,0,0,0,0,0,0,0,0,0,-0.00712006735296497,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0.333628555229144,0,0,0,-0.11996328135213,0,0,0,0.0276555485353278,0,0,0.244722252278406,0,0,0,0,0.0324375123283409,0.301482815199863,0,0,-0.083467847905263,0,0,0,0,0,0,0,0,0,-0.0617304914039646,0,0.30217857560167,0,0,0,0,0,0,0,0,-0.145935230971279,0,0,0,0.0198446290426102,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0.36366689058921,0.0897658208864035,0.115276530416038,0,0.259235101188146,0,0,0,0,0.192771674117358,0,0,0,0,0,0,0,0.0265185956344521,0,0,0,0,0,-0.0271835571630953,0,0,0,0,0.056028303120389,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0103810626370528,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0.0694708459884921,0,0,0,0,0.119164573524527,0,0,0,0,0,0,0,0,0.0730197177646706,0,0,0.0282082136412317,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.170018323842298,0.122950591397864,0,0,0,0,0,-0.00621531143448558,-0.0199218586242466,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0.60478373036451,0.397633198232955,0.0239992114146276,0,0,0,0,0,0,0,-0.0250970748549657,0,0,0,0,0,0,0,0,0,0,0.00404818990535118,0,0,0,0,0,0,0,0,0,0,0,0.108222756041138,-0.101633770532404,0,0,0,0,0,0,0,0,0,0.101592685667722,0,0.0238229851233867,0,0,0,0,0,0,0
