,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X601898.SH,X601991.SH,X600547.SH,X600660.SH,X601600.SH,X600688.SH,X600886.SH,X600188.SH,X600795.SH,X600362.SH,X000898.SZ,X600027.SH,X600111.SH,X601992.SH,X600516.SH,X002466.SZ,X600176.SH,X000629.SZ,X600299.SH,X000709.SZ,X002460.SZ,X600808.SH,X600352.SH,X600219.SH,X300072.SZ,X600801.SH,X000825.SZ,X600489.SH,X600339.SH,X601158.SH,X002110.SZ,X600583.SH,X000553.SZ,X000786.SZ,X000883.SZ,X601699.SH,X600426.SH,X000301.SZ,X000932.SZ,X000408.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.158398240260253,0,0,0,0,-0.0652894296503089,0,0.119580414265167,0.0873688490893207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0461625751848348,0,0,0,0.187400607833612,0,0,0,0,0,0,0,0,0.354678759638743,0,0,0,0,0,0.0419035768891973,0,0,0,0,-0.0648581769012233,0
X600028.SH,0.0796335463427745,0,0,0,0.245470972756134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0354493765816473,0,0,0,0.155841363739944,0.179646846683179,0,0,0,0.00990121615349082,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.0281259854741949,0,0,0,0,0.177016348212531,0,0,0,0,0,0,0.118777087196436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0835932687096226,0.00814348016271038,0,0.0498252542768783,0,0,0,0,0,0,0.0345377098702387,0,0.0796939840727436,0.0763678639326569,0.0413404023459566,0,0,-0.00203157212867729,0,0,0,0,0,0,0
X600585.SH,0,0,0.078959226625102,0,0,0.074051361807518,0.08041067868442,0,0,0,0,0,0,0,0,0,0,0,0.0917351327094439,0,0,0,0,0.0282514788974196,0,0.0286346756374692,0,0,0,0,0,0,0,0.530314525831493,0,0,0.0731288031569612,0,0,0,0,0,0,0,0.0213249869497149,0,0,0,0,0,0,0.00737315316114433,0,0,0,0,0,0
X600019.SH,0,0.128905165849504,0,0.0135635336124043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.616477005621306,0,0,0,-4.33680868994202e-19,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198728585884177,0,0,0,0,0,0,0,0,0,0,0,-0.00886575337256821,0,0,0,0,0,0,0
X600011.SH,0,0,0,0.0626278525360827,0,0,0.0831863901085323,0,0,0,0,0,0,0,0.0250148751595028,0,0,0,0,0.763395575997655,0,0,0,0,0,-0.0136324134097852,0,0,0.0409367085536521,0,0,0,0,0,0,-0.0467067714409267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0354312611951235,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0.106969014909013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169977423126662,0,0,-8.67361737988404e-19,0,-0.4102066762085,0,0,0,-0.0800973707180143,0,0,0,0,0.19751097976884,-0.39963317438427,0,0,0,0,0,0,0,0,0.279856232934352,0,0,0.0265934367962545,0,-0.261799170915223,0.00455825117023163,0.0371643207324358,0,0.240776258261855,0,0,-0.187888967735235,0
X600010.SH,0.164033350822621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294346905046384,0.0600008261009609,0.164918590320212,0,0.0634066245074054,0,0,0,0,0,0,0,0.0525497977709695,0.0234300161370569,0,0.0533535785586053,0,0,0.0216279708955145,0,0,0,0.0158932253680296,0,0,0.0460668908977313,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0.240259951524172,0,0.106808128756331,0,0,0,0,0,0,0,0,0,0,0,0,0.101668311144199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00235584962981133,0,0,0.0467437598555102,0,0.0253754709726189,0,0,0,0,0,0,0.126827436295445,0.138499421721675,0,0,0,0.0182346721217988,-0.0327234357328272,0,0,0,-0.0273627466912117,0,0
X601991.SH,0,0.0796844586247199,0,0,0,0,0.00253715221299724,0.163184103491233,0.103339153208483,0,0,0.075137940316083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0907934588268709,0,0,0,0,1.0842021724855e-19,0,0,0,0.0281838109330363,-0.0310913386453493,0.00639466949354331,0,0,0,0,0,0
