,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600011.SH,X600019.SH,X600585.SH,X002460.SZ,X002466.SZ,X601898.SH,X600547.SH,X000792.SZ,X601600.SH,X600886.SH,X600660.SH,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X000877.SZ,X600027.SH,X600795.SH,X002271.SZ,X600362.SH,X600426.SH,X601991.SH,X600803.SH,X600176.SH,X000983.SZ,X600489.SH,X601699.SH,X000807.SZ,X000786.SZ,X000539.SZ,X300037.SZ,X600160.SH,X600995.SH,X000408.SZ,X600219.SH,X600612.SH,X002080.SZ,X000629.SZ,X600688.SH,X002409.SZ,X600378.SH,X000932.SZ,X000723.SZ,X600157.SH,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.570093700707849,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0.0356177646024705,0.200824244251406,0,0,0,0,0,0,0,0,0,0,0,-0.139669023675047,0,0,0,0,0,0,0.102866109694333,0,0,0,0,0,0,0,0.131725248568994,0.00932908146797669,0,0,0,0,-0.256594554338641,0.0358490584969026,0,0,0,0.0375982460563806,0,0,0,0,0,0,0
X600028.SH,0.731233754042364,0,0,0,0,0,0.0411538608292035,0,0,-0.0451944345116002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010628224732164,-0.177209815736052,0,-0.0366526160109331,0,0,0,0,0,0,0,0,-0.0163520575310213,0,0,0,0,-0.00492137027005715,0,0.00590038249470935,0.0125888785153101,0,0,0,0,0,0
X601088.SH,0.110481345711231,0,0,0,0.232716696752836,0,0,0,0,-0.0329781135861925,0.161843045729476,0,0,0,0.0158684866454059,0,0,0,0,0,0,0,0,-0.0129635086303943,0,0,0,0,0,0,0,0,0,0.0433218998983042,0,0,0.0249595866783525,0,0,0,0.00316488183840533,0,-0.067535420999172,0,0,0.0695712060747261,0.0602449822679946,0,0,0,0.0548465097229349,0.0202104495453744,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,-0.180848459410695,0,0,0,0,0,-0.00728272103670084,0,0,0,0,0,0,0,0,0,-0.058686306657776,0,0,0,0.150794299639583,0,0,0.13859443737936,0,0,0,0.0707169015061732,0,0,-0.0464485529223811,0.0268319298726047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156662748153319,-0.0149678318417427,0,0,0,0,0,0
X600188.SH,1.0842021724855e-19,0,0.191429810018959,0,0,0,0.205737508429802,0,0,0,0.366342700411802,0,0,0,-0.00137368942723209,0,0,0,0.195295743224156,0,0,0,0,0,0,0,0,0,0,0,-0.155706375783948,0.240804339481647,0.136490707824764,0,-0.0462152537145374,0.160432060023812,0,0,0,0,0,0,0,0,0.0236813713907448,0,0,0,0,0,0,-0.0089067833309645,-0.0871277116581389,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.301071850131272,0,0,0,-0.0497223736219022,0,0,0.108945441100036,0,0,0.286466964745989,0,0,0,0,0,0,0.531480907720994,0.308201129248681,0,0,0,0.187693987322433,0,0,0,0,0,0,-0.0273952526570944,-0.216605044601339,0,-0.0384863825984825,0,-0.0141944979358025,0,0,0,0.361311682377925,0,0,0,0,0,0.196114289990561,0,0,0,-0.104295735322205,0,0,0,0,0,0
X600019.SH,0,0.0538061872520147,0,0,0.0778717886135623,0,0,0.152625596375407,0,-0.0128364270531826,0,0,0,0.144203130738157,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.0919836340051244,0.0196760061744843,0,0,0,0,0,0.062444473859026,0,8.67361737988404e-19,-0.100225357960587,0,0,0,0,-0.0901502135942443,0,0,0,0.0301751762044023,0,0,0,0,0,0,0.0309741562266952,0.0616602682618005,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0.211301337484596,0,0,0.0488049923794558,0,0,0,0,0,0,0,0,0,0,0,-0.0606645743223842,0,0,0,0,0,0.029777316988327,0,0.12499690643692,0.0509456327842541,0,0,0.0155460753375451,0,0,-0.10469574243916,0,0.10610281233879,0.0457428206953659,0,0,0.175898608962095,0,0,0,0,0,0,0,0,-0.0359143969216668,0,0,0,0,0,0,0
X002460.SZ,-0.0155653107233092,0,0,0,0,0,0,0,0,0.494097941302089,0,-0.083037113764743,0,0,0,0,0,0,0,0,0.102325831429088,0,0,0,0,0,0,0,0,0,-0.0161554953358325,0,0,0,0.0135443643418179,0,0,0,0.0419599225561378,0,-8.67361737988404e-19,0,0.182070175807425,0,0,0,0,0,0,0,0.186564534184212,0.0334424261628007,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0.432872631370322,0,0.129522782613741,0,0,0,0,0,0,0,0,0.124191261740023,0,0,0,0.0397742409368287,0,0,0,0,0,0.178088167071285,0,0.179208970096195,0,0,0,0,0.069722735259641,0,0,0,0,0,0.0659886897122859,0,0.0931851524924487,0,0,0.0382302731175716,0,0,0,0.0509964284783037,0,0,0,0,0,0,0
