,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601898.SH,X600660.SH,X601600.SH,X600688.SH,X601991.SH,X600188.SH,X600795.SH,X600886.SH,X600362.SH,X000898.SZ,X002466.SZ,X600547.SH,X600516.SH,X600027.SH,X600176.SH,X601992.SH,X600111.SH,X600352.SH,X002460.SZ,X000553.SZ,X300072.SZ,X600299.SH,X002110.SZ,X000786.SZ,X600808.SH,X000709.SZ,X600801.SH,X600426.SH,X000932.SZ,X600583.SH,X600339.SH,X000883.SZ,X000629.SZ,X601158.SH,X600219.SH,X601699.SH,X000408.SZ,X000830.SZ,X002271.SZ,X600489.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0713575189805989,0,0,0,-0.0672565436115381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0392279978024354,0,0,0,0,0,0,0,0,0.0938664931614948,0,0,0.13029495769439,0,0,0.146149474169053,0,0,0,0,0,0,0,0.16028355543055,0,-0.0733303351073813,0.00325472373981901,0.000509741042860268,0,0,0,0,0,0
X600028.SH,0,0,0.13682179528817,0,0,0,0,0,0,0.0528193254214517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0838016914896855,-0.0839886888069201,-0.100849595554458,0,0,0,0,0,0,0,0,0,0,0.0626569511492183,0,0,0,0,0,0,0,0.159855143215166,0,0,0.00281672694173103,0,0,0.0174067403982662,0,0,0,0
X601088.SH,0,0,0,0.071816836331631,0,0.0306635850121977,0,0,0,0,0,0,0,0.0948916439920388,0,0,0.325192667682018,0,0.0521346755126855,0.0186294762059912,0,0,0,0,0,0,-0.092477623328689,0,0,0,0,-0.0808751198190064,0,0,0.000959393024172583,0,0,0,0,0,0,0,0,0.256628087227333,0,0,1.73472347597681e-18,0,0,-0.00582722209996306,-0.0208058327643358,0,-0.031317411942878,0,0,0,0
X600585.SH,0,0,0,0,0.324548805954796,0.0359772391372594,0,0,0,0,0,0,0,0,0,0,0,0,0.0635966854959447,0,0,0,0,0,0,0,0,0.00672195069545542,0,0,0,0.253176168404271,0,0,0.192124549639906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0110075243456899,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.102749345731089,0,0,0,0,0,0,0,0,0,0,0,0.22091361311698,0,0,0,0,0,0,0,0,0,0,0,0,0.117886955604047,0.0146445487577804,0,0,0,0,0.29134062836911,0,0,0,0,0,0,0,-0.00378604218117686,0,0.0441637970486376,0,0,0.0074406030204307,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,-0.0718305407222442,0,0,0,0,0.246131305656168,0,0,0,0,0,0,0,0,-0.0622406141630183,0,0.368852409627862,0,0,0,0,0,0,0,0,0.121341610364854,0,0.13684368135685,-0.0293772842699577,0,0,0.0268216976462446,0,0,0,0,0,0,0,0,0,0.401122949089697,0,0,0,0.0156641354754561,0.00400480841545486,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.0342417412426033,0,0,0,0,0,0,0.0754743170809931,0,0,0.175316718703787,0,0,0,0,0,0.647229790451963,0,0,0,0,0,0,0,0,-0.0428734771183839,0,0,0,0,0,-0.114392757537439,0,0,0,0,0,0,0,0.0595236503197537,0.233827321786617,0,0,0,0.00169079810999274,0.0109906529005188,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117166964270191,0,0,0.199123234336022,0,0,0.18765039738867,0,0,0,0,0,0,0,0,0,0,0,0,0.0384746266798016,0,0,0,0,0,0,0,0.0276486896940051,0.28538511171831,0,0,0,-0.000129936664883598,-0.0258305107058597,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0.173501705562146,0,0,0.00514769203912743,0,0,0,0,0,0,0.0265362301351477,0,0.0510886484060203,0.0261090893179619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0.13984319907778,0,0.185327204836763,0.00475224399028091,0,0,-0.0096249466631671,-0.0184106489610856,0,0,0,0,0,0
X600660.SH,0,0.238497524167156,0,0,0,0.0518561682912132,0,0,0,0,0,0,0,0,0,0,0,0,0.302516603354,0.0566817905011082,0,0,0,0,0,0,0,0,0,0.0433034662520664,0,0,0,0,0,0.0949330646374392,0,0,0,0,0,0,0,-0.0281824359302566,0,0,0.0246832700499865,0,0.00746867637624758,-0.0105903875592706,-0.00691972784527647,0,0,0,0,0,0
