,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600688.SH,X600188.SH,X600795.SH,X601600.SH,X300072.SZ,X600547.SH,X601991.SH,X600157.SH,X600027.SH,X600362.SH,X601992.SH,X600111.SH,X600886.SH,X600309.SH,X600660.SH,X600489.SH,X600623.SH,X601158.SH,X002466.SZ,X600299.SH,X000792.SZ,X002075.SZ,X000723.SZ,X000709.SZ,X000408.SZ,X000898.SZ,X600583.SH,X000983.SZ,X000883.SZ,X600352.SH,X000959.SZ,X600549.SH,X000539.SZ,X600758.SH,X600176.SH,X000027.SZ,X600126.SH,X000630.SZ,X600021.SH,X002470.SZ,X601699.SH,X000012.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.015718666106753,0,0,0,0.0461613598219196,0,0.0353438589154984,0.000943689035113408,0,0,0.000200505394808891,0,0,0,0,0.0591382864328643,0,0,0,0.0149272279932549,0,0.016939750929695,0,0,0.000939126689596044,0,0.00510330599289381,0,0,0.0462018425968074,0.0225723495906178,0,0.0468236062528689,0,0,0,0,0.0184900417084154,0,0.00914572215202817,0,0,0.000400185527562006,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0.0585861273365328,0,0,0.10279510979655,0,0,0.0269326834876068,0,0,0.074825011259811,0.0160902331771477,0,0,0,0,0,0,0,-0.0201872980498229,0,0,0,-0.0460665586586185,0,0,0,-0.0156603402037713,0,-0.0333929204371729,0,0,0.0122117184768052,0.0692303551457477,0,0,-1.0842021724855e-19,0,0,0.0366571223387978,0,0,0,0,0,0,0,0.075123406843613,0,-4.41562226645713e-05,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.114274228105195,0.126922094459875,0.0438864989165425,0,0,0.028329818869309,0,0,0,0,0,0,0,0,0,0,0.026459244876159,0,0,0.0335589742748765,0,0,0,0.0278801039498949,1.73472347597681e-18,0,0,0,0,0,0,0.0224683481111244,-0.0433433020911381,0,0.0194549906924058,0,0,0.0523163218697435,0,0,0,0,0,0,0.0472320668495969,0.0147433736623438,0,0,0,0.00843565165550124,0,0
X600011.SH,0,0,0,0,0,0,0.067220599449023,0,0,0.0401923062558974,0,0,0,-0.0091317498839838,0,0,0.0108429640083151,0,0,-0.0165045281023724,0.257038608675006,0,0,0,-0.0442446600035203,0,0,-0.152886970311081,0,0,0,0,0,0,0,0,0,0.181885144982399,-0.016964842984014,0,0,0,0,0,0.0187181508692354,0,0,0,-0.0262316345132862,0,0,0,1.0842021724855e-19,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0350347278237543,0,0,0,0,0,0,0.121389828142773,0.0299293624391752,0,0,0,0,0,0,0,0.139953179865098,0,0,0,0,0,0,0.115061856122653,0,0,0.00548625144847156,0.0849863192484218,0,0,0,0,0.00815931391895019,0,0,0,0,0,0,-0.00236907848446609,-0.0460712321141567,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0198688618169949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0462604729310533,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0679965884354968,0,0,0,0.194611716608374,0,0,0.0609483041551017,0,0,0,0,0,0,0,0,0.0575651634363589,0.0969526532557267,0,0,0,0,0,0,-0.15463104081666,0,0,0,0,0,0,0,0.122685497689951,0,0,0,0,0,0,0.0237631022148882,0,0,0,0,0,0,0.0887377171954709,-0.087111534031645,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0519052246456298,0,0,0,0,0,0,0,0,0,0,0.0470875014079511,0.0471129195296488,0.0500364504378931,0,0,0,0.0184998353229176,0,0,0,0,0,0,0,0,0,-0.205441639897038,0,0.0281768526837833,0,0,0,0,0,0,0.339739529045993,0.235069447716218,0,0.0598353169529433,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0377057206547456,0,0,0,0,0,0,0,0,0,0,0.0319427583304883,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.117131886774688,0,0,0,0,0,0,0,0,0.102983022020825,0,0,0.116415780901757,0.138488549827118,0,0,0,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.0715794411903475,0,0,0,0,0,0,0,0,0.0269968059351505,0,0,0.13015452587803,0,0,0,0,0,0,0,0,0,-0.0857834832354704,0.603006865503124,0,0,0,0.129944262156457,0,1.0842021724855e-19,0,0,0,0,0,-0.0281746538018391,0,0,0,0.0325723926093298,0.124014979404027,0,0,0,0,0,0
