,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600011.SH,X600010.SH,X600188.SH,X601898.SH,X002466.SZ,X600660.SH,X600688.SH,X601600.SH,X601991.SH,X600362.SH,X600795.SH,X600547.SH,X600886.SH,X300072.SZ,X600516.SH,X002460.SZ,X600111.SH,X000898.SZ,X600176.SH,X600352.SH,X601992.SH,X600027.SH,X000553.SZ,X000786.SZ,X600299.SH,X000792.SZ,X000825.SZ,X000709.SZ,X600426.SH,X002271.SZ,X000408.SZ,X601158.SH,X600315.SH,X600489.SH,X000830.SZ,X000883.SZ,X601699.SH,X600808.SH,X600219.SH,X000630.SZ,X600583.SH,X002470.SZ,X600339.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.016202160109915,0.169410159971534,0,0,0,0,0,0,0,0,0,0.0525438220486128,0,0,0,0,0,0,0.0536740688668396,0,0,0,0.0795174523293778,0,0,0,0,0,-3.46944695195361e-18,0.0284613217446004,0,0,0,0,0,0,0,0,0.00453766593529556,0,0.0840487607461864,0,0,0,0.0994424229613532,0,0,0,-0.00250357054876789,0,0,0,0,0,0,0
X600028.SH,0.550272724592416,0,0.331283898461008,0,0,0,0,0,0,-0.058384260575037,0,0.0558499089085482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0155137144838407,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0230590651488205,0,-0.0264992004623999,0,0,-0.21611352385676,0,0,0,0
X601088.SH,0,0.292751067175448,0,0.080137977689015,0.0513655131832721,-0.0722079682984844,0,0.0879155597095916,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.134950829987876,0,0,-0.140286323116951,0,-0.0292319456296932,0,0,0,0,0,0,0,0,-0.180336550557261,0,0,0,0,0,0.493966040275444,0,0,0,0,0,0,0,-0.0125308263737317,-0.0259351409485841,0,0,0,0,0,0
X600019.SH,0,0,0.254068444185416,0,0,0,0,0.360255321655904,0,0,0,0,0,0,0,0,0,0,0,-0.0339081982397665,0,0,0.050166002606479,0,-0.0512780935183352,0,0,0,0,-0.12875364898615,-0.0441956979668697,0,0,0,0,0,0,0,0,-0.149313412999621,0,0.0209522332245556,0.237018442174754,0,0,0,0,-0.00701028479182694,0,0.0142332931359624,0.00726172077864722,0,0,0,0,0,0
X600585.SH,0,0,0.0478719123158193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105371017796239,0,-0.0609408383934977,0,0,0,0,0,0,0.138679465020021,0,0,-0.000284769769110165,0,0.316836411980174,0,-0.137746717707695,0,0,0,0.0934944614107748,0,0,0,0,0,0,0,0,0,-0.034139634294929,0.0269463437035139,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.0716847339788538,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0396767060940759,0,0,0.11645135278646,0,0,0,0,0.349435423593952,0,0,0.0428233886483098,-0.102919596337776,0,0,0,0.248758544364474,0,0,0,0,0,0,0.0517170383939185,0,0,0,0,0,0,0,0,-0.00746514587849257,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.000713843148602331,0,0,0,0,0,0.166077871339207,-0.016975466472343,0,0,0,0,0,0,0.410362774619749,-0.0409683272296053,0,0,0,0,0,0,0,0,0,0.0696380107540193,0,6.93889390390723e-18,0,0,0,0,0,0.00857462242792715,0,0.271142309703879,0,0.00839843319256922,0.0365716760168032,0,0,0,-0.691802788603429,0,0
X600188.SH,0,0,0.507415775021392,0.126632098084299,0,0,0,0,0,0.281317603641117,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.258041355050767,0,0,0,0,0,0,0.00577001944055903,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0.156061099195438,0,0,0,0.174656835374095,0,0.181465751660431,0,-0.0070266050242236,0.0197717488137745,0,0,0,0,0,0
X601898.SH,0,0.0379709731400056,0,0,0,0,0,0.0128828832898781,0,0,0,0,0,0,0,0,0,0,0,0.0321429630229298,0,-8.67361737988404e-19,0,0,0.0223468167657583,0.0937355478668696,0,0.0116862102301304,0.108918887961729,0,0,0.00471591671408847,0,0,0,0,0,0,0,0,0,0.0926052671673108,0.0907397955432483,0.0707784341852996,0,0,0,0,0,0,-0.013112125813189,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0.0761856659245854,0,0,0,0,0,0,0,0,0,0,0,0.0885855094099839,0.574265218988114,0.115186619694778,0,-0.0818939507029384,0,0,-0.0778069756267368,0,-0.00239820894476313,0,-0.0294256643765941,0.0056281183458163,0,0.0548957798399883,0,0,0,0,0,0.0116173783146569,0,0,0,0,0,0,0,-0.0536129402660327,0,0.0101253129115662,-0.0180265595441995,0,0,0,0,0,0
