,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600309.SH,X600011.SH,X601898.SH,X600188.SH,X600688.SH,X600660.SH,X300072.SZ,X600362.SH,X600795.SH,X601992.SH,X600547.SH,X002466.SZ,X601991.SH,X600516.SH,X600111.SH,X000898.SZ,X600176.SH,X600886.SH,X002460.SZ,X000786.SZ,X000709.SZ,X000553.SZ,X600157.SH,X000792.SZ,X600352.SH,X600027.SH,X002271.SZ,X600489.SH,X601699.SH,X000408.SZ,X002110.SZ,X600808.SH,X600219.SH,X000959.SZ,X600299.SH,X000983.SZ,X600583.SH,X002092.SZ,X601158.SH,X600339.SH,X600426.SH,X000883.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.40066670738343,0,0.00166842088723344,0,0,0,0,0,0,0,0,0.123385630448089,0.0660735037929,0,0,-0.0233204117015603,0.0103590181239013,0,0,0,0,0,0,0,0,0,-0.0744941845483342,0,0.0342897892521694,0,0,0,0,-0.025031944424241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00826394673892736,0,0,0,0,0,0,0
X600028.SH,0.24182398520152,0,0,0,0,0,0,0,0,0,0.285566795847276,0,0,0.0312081703470318,0,0.0126523020332927,0,0,0,0.0752362679489861,0,0,-0.0708190998454976,0,0,0,0,0,0,0.0119519815087403,-0.0339891433343693,0,0,0,0,0,-0.00718727361387476,-0.179803447135897,0,0,0,0,0.201678078714839,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.170282962932203,0.170598849466171,0,0,0,0,0.206067165663561,0,0,0,-0.0492343679277688,0,-0.114234788702878,0,0,0,0.0695788563849582,0,0,0,0,0,0.0507258093409348,0,0,0,-0.060385886651182,0,0,0,0,0,0,0,0,0,0,-0.00274038149994655,0,0,0,0,0,0,0,0,0.00406704717243473,0.00941843659044285,0.211387033856928,0,0,0,0,0
X600019.SH,0,0,0.0832490653552132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0519987974663001,0,0.457237363000471,0.107955416897026,0,-0.0854555098286503,0,0,0,0,0,0,0,0,0,0,0,0.0215154989877482,0,0,0,0,0,0,0,0,0,0,0,0,0.0354769874289156,-0.0219105606980323,0,0,0,0,0,0
X600585.SH,0,0,0.320277299732514,0,0,0,0,0,0,0.0622704991960677,0,0,-0.0018586937363282,0.279409497743399,0,0,0,0.222647631124941,0,0,0,0,0,0,0,0.216658302040549,0,0.286934068760546,0,-0.331761790905986,0,0,-0.0692777031942558,0,0.0723066344678766,0,0.0814551337734975,0,0,0,0,0,0,0,0,0,0.0259909620867225,0,0,-0.024840705773574,0.0401700881956052,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0.115632692397975,0,0,0,0,0,0,0,0,0,-0.0117323674897104,6.93889390390723e-18,0,0,0,0.106178457393961,0,0,0.0335432483092964,0,0,0,0,0,0,0,0.0322550142551912,0,0,0,0,0,0.0853285010768144,0,0.20955440956506,0,0,0,0,0,0.0161368114529274,0.00259013703272069,0,0,0,0,0,0
X600309.SH,0,-0.147563935391435,0.0393573713002176,0,-0.0156118017647908,0,0,0,0,0,-0.031366673603013,0,0,0,0,0,0,-0.0358521587026291,0,-0.0834349992511296,0.0858476582468984,0,0,0,0,0.127133755258615,0,-0.175831619619103,0,0,0,0,0,0,0,0,-0.0406776054690098,0.131548843460873,0,0,0,0,0,0.0957623655011836,0,0,0,0,0,-0.0477840797673425,0.0780571151626212,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.0721734740692779,0,0,0.0148088485374556,0,0,0.0661822885189262,0,0,0,0,0,0,0.0223353099511831,0,0,-0.0975066232890184,0,0,0,0,0,0,-0.0201599523531167,0,0,0,0,0,0,0.0648515500639752,0,0,0,0,0,-0.0393136761726587,0,0,-0.0025221086118423,0,0,0,-0.00479614672682785,0.00795005393987814,-0.0380786152438709,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0.109490322758937,0,0,0.0598141319396892,0,0,0,0,0,0,0.00556453010229464,0.026146580860033,0,0,0,0,0,0,0.0203226985242642,0,0.0327143094127029,-0.0579692493341532,0,0,0,0.120933713012375,0,0,0,0,0,0,0.0391351410330384,0,0.11376909827102,0,0.00996493242012191,0,0,0,0.0062009667899387,0.00256661564067176,0,0,0,0,0,0
X600188.SH,0,-0.147099243580863,0,0,0.299664702116811,0,0.0712006699432863,0,0,0,0,0,0.0480660106087318,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0.0260586129706253,0,0.145792964780002,0.032530154485708,0,-8.67361737988404e-19,0,0.0647047872467587,0,0,0,0,0.323024103717191,0.127821859579928,0.0651469106145464,0,0.0172897412887593,0,0,0,0,0,0,0,0,0,0,0.0194084873166079,-0.0149202949481571,0,0,0,0,0,0
