,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X601600.SH,X600688.SH,X600795.SH,X601991.SH,X600027.SH,X600188.SH,X600362.SH,X601992.SH,X600111.SH,X600886.SH,X600157.SH,X600299.SH,X600547.SH,X600623.SH,X600660.SH,X600489.SH,X000709.SZ,X601158.SH,X000792.SZ,X600583.SH,X600309.SH,X600352.SH,X002466.SZ,X000898.SZ,X000539.SZ,X000883.SZ,X000629.SZ,X002075.SZ,X000630.SZ,X000027.SZ,X000060.SZ,X000983.SZ,X000959.SZ,X600021.SH,X601699.SH,X002470.SZ,X600022.SH,X300072.SZ,X600578.SH,X600612.SH,X600098.SH,X000012.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.0343022252690308,0,0,0.0447557859995607,0,0,0,0,0,0,0.148372570893354,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.0540806861160164,0.0464434460944076,0,0,0.0185070640114006,0.0455582294906831,0,0,0.0835581418871612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01288482092611,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0.139035727254266,0,0,0,0,0,0,0.0646302041459332,0,0,0,0,0,0,0,0.00156631199497127,0,0,0.0513725693412486,0,0.0309295984141692,0,0,0,0,0.0917935269413098,0,0,0,0,0,0,0,0.0464228282262696,0,0,0,0,0,0,0,0,0,0.00606672927228789,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.221695135463946,0,0,0,0,0,0,0.0685500294860015,0,0,0,0.208379650208667,0,0,0,0,0,0,0,0,0,0,0,0,0.0362919710796626,0.134718074336187,0,0.0656247516995735,0,0,0,0,0,0,0,0.0413937824648853,0,0.0938419865671022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0.0975427527353402,0,0,0,0,0,0.0104111459304475,0,0,0,0,0,0,0,0,0,0,0.117277814607451,0,0.0291010068482783,0,0,0.0421308364297996,0,0,0,0,0,0,0,0.157389795366977,0,0,0,0,0,0,0.0496846368841193,0,0,0,0.0115744428245941,0.0405155389036677,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0.0141747731313321,0,0,0,0,0,0,0,0,0.0844647731748424,0,0.0335736379420664,0,0,0,0,0,0.14971817053077,0,0,0,0,0,0,0.00244047130639209,0,0,0.0782404028913992,0,0.214337944499942,0,0.0980110196804038,0,0.088748525146592,0.0913897719746305,0,0,0.096866981229519,0,0,0,0,0,0,0,-0.0104135358703171,0,0,0,0,0,0
X600019.SH,0,0,0.189410649392808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0502246014663356,0.27826713245784,0,0,0,0.0152399165951972,0,0,0.0420641492408136,0.107250243308439,0.10920993295162,0,0,0,0.2759487989411,0,0,0.0706678693693298,0,0.0464652150844221,0,-0.00117839433367771,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100919807235491,0,0,0,0,0.170278591881182,0.0142997184815662,0,0,0,0.0522400520362979,0,0,0,0,0.0314944990984766,0.0782483184207243,0,0.0434423789534184,0,0.243619561058669,0,0,0,0,0.010553857040826,0,-0.027495839057668,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.209041620737856,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155506860420722,0.126474236552578,0,0.000326258146654353,0,0,0,0,0.0150001947165449,0.0524055026051158,0,0,0,0.164661079850603,0,0,0.0655400701123314,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.106367532051826,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0.0453813927393546,0,0,0,0,0,0,0,0.0698296918100481,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165391175287438,0,0,0.236233993635774,0,0,0.248575575924603,0,0,0,0,0,0,-0.0429291094711671,-0.024497034027773,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0.145809266515795,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0684108808605575,0,0,0.00391649598171017,0,0.032021222415972,0,0,0,0,0.0679215699710579,0,0,0,0,0,0,0.250260398506337,0.0822674741663811,0.0568807821191083,0.151287130353699,0,0,0,0,0,0,0,0,0,0,0.0226471636682584,0,0,0,0,0,0
