,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X601600.SH,X600688.SH,X600795.SH,X601991.SH,X600623.SH,X600027.SH,X600362.SH,X600157.SH,X600111.SH,X600886.SH,X601992.SH,X600188.SH,X002466.SZ,X600299.SH,X600660.SH,X000792.SZ,X601158.SH,X600547.SH,X600583.SH,X000709.SZ,X600309.SH,X000539.SZ,X000883.SZ,X600489.SH,X000898.SZ,X000027.SZ,X600352.SH,X000630.SZ,X002470.SZ,X000012.SZ,X002075.SZ,X300072.SZ,X000629.SZ,X000983.SZ,X000060.SZ,X600098.SH,X000959.SZ,X600160.SH,X600176.SH,X600021.SH,X000723.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.158591467475815,0,0,0,0,-6.93889390390723e-18,0,0.0546678726732312,0,0.144974541071897,0.0373946819451769,0,0,0,0,0,0,0,0.00574551596014086,0,0,0,0,0,0,0,0,0,0,0,0,0.0331678362232345,0.0192290281290358,0,0,0,0,0,0,0.0424731968185601,0,0,0.0171004402230555,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.0421745774617628,0,0,0,0,0.0136706770909459,0,0,0,0.123494763343056,0.0769287781273383,0,0,0,0,0,0,0.107672172085549,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0512173352868686,0.057736771779764,0,0.00998191722490625,0,0,0,0.00921524538529345,0,0,0.0112561618933797,0.00455316358531803,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.601211599405131,0,0,0,0,0.0353010249150021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0892966127383277,0,0,0,0,-1.0842021724855e-19,0,0,-1.73472347597681e-18,0,0.0481065458487851,0,0,0.00605939278440696,0,0,0.100531144505074,0,0,-0.00803547653475374,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077795306961603,0,0,0.0288944978514096,0.0162896082539032,0,0,0,0.00395817503495199,0,0,0,0.123464517966284,0,0,0,0,0,0.154908949823283,0,0,0,0.0584099554580955,0,0,0,0,0,0.0084248422798955,0,0,0,0.0565377748039242,0.00296762047055211,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.192744173843928,0,0,0,0,0,0,0,0,0,0,0.0366443694212371,0,0,0,0,0,0,0,0.165570982930822,0,0,0,0,0,0,0,0.300139936760456,0.00412110098638001,0,0,0,0.0376837133975994,0,0.0907022225015237,0,0.0896351412327262,0.0537263000614212,0,0,0,0,0,-0.00452061078913204,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.205648917144578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408047662008382,0,0.0699940347175346,0,0,0,0,0,0,0.0796332310056076,0.0639436955126713,0,0.0894531928742223,0,0,0,0.0588454945502524,0,0,-0.0126342912958344,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0697181653409262,0,0.0868288414749845,0.0465910670822883,0,0,0,0,0,0,0.186765743745929,0,0,6.7762635780344e-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114216431053683,0,0,0,0,0,0,0,0.0146687993768769,0,0,0.0732879379578956,0,0,0,0,0,0,-0.00188597487458267,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0.0961699303885192,0,0,0.0424180451008309,0,0,0,0,0,0.115648567818354,0.0136558529811596,0,0,0,0,0,0,0,0.00978235372276376,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166204248811348,0,0,0.0738478218569917,0,0.0964933521587862,0,0,0.0451535022668442,0,0,0.145942468552625,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240512619950923,0,0,0,0,0.081521077618045,0,0,0,0,0,0,0,0,0.0148784868114633,0,0,0,0,0,0,0,0,0,0,0.147160164414895,0,0.0122739784883028,0.041194885572543,0,0.0799313502706631,0,0,0.155843314887224,0,0,-0.00888264892139944,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0.148942330110732,0,0,0,0,0,0.100410984640115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113690185963156,0,0,0,0.0122595010193356,0.183781499120952,0,0.0778332423104044,0.115274788780479,0,0,0,0,0,0.00228478080108447,0,0,0,0,0,0
