,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X601600.SH,X600011.SH,X600309.SH,X601898.SH,X601992.SH,X600688.SH,X600795.SH,X002466.SZ,X600362.SH,X600111.SH,X601991.SH,X600188.SH,X600547.SH,X300072.SZ,X600660.SH,X600516.SH,X002460.SZ,X600886.SH,X000898.SZ,X000709.SZ,X600027.SH,X600157.SH,X600339.SH,X600489.SH,X000959.SZ,X600808.SH,X600219.SH,X600352.SH,X600549.SH,X000723.SZ,X002092.SZ,X601158.SH,X000553.SZ,X000983.SZ,X600299.SH,X000883.SZ,X600008.SH,X000630.SZ,X000807.SZ,X601699.SH,X002271.SZ,X000792.SZ,X000408.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,-0.0175719351666312,0.029257948484412,0,0,0,0.0250780237218726,0.0293787553083778,0,0,0,0,-0.0180378398191969,0,0,0,0,0,0,-0.0184104154587369,0,0,0,0,0,0,-0.0727128564869155,-0.0370047985026739,0,-0.0133395703498225,0.0292495061739296,0,0,0,0,0.0448838851194248,0,0,0,0.0383771229554434,0,-0.0100915150885821,0,0.0163887106301965,0,0,0,0,0
X600028.SH,0,0,0,0,0.112828939488348,0,0,0,0.0179630420800399,0,0,0,0,0,0,0,0,0,0,0,0,-0.0164048386013278,0.0272529053260454,0,0,0,-0.329164949341926,0,-0.0312678022821281,0,0,0.00945300273049636,0,0,0,0,0,0,0,0,0,0,0,0,0.00415676510382772,0.0437340543802356,0,0,0,0,0.00635252034012325,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000979613732399318,-0.00223535513588275,0,0,0,0,0,0.00203692574841366,0,0,0.000463115215565469,0,0,-0.00122189174462301,0,0,0,0,0,0,0,0,0,0,0.00102585667115238,0.00251606231973509,0,0,0,6.7762635780344e-21,-0.000216789778661149,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.076137158834306,0,0,0.133257858815134,0.201587177053421,0.0211485618269346,0,0,-0.0301377023474481,0,0.0407654880383858,0,0,0,0,0,-0.0634182710239112,0,0,0.112305779572021,0,0,0,0,0,0,0.300340520060908,0,0.0803485002315463,0,0,-0.0447120901862036,0,0,0,0,0,0,0,-0.0349225517557855,0,0,0,0,0,-0.0116134279684781,-0.00878046250609007,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,-0.0618039078776568,0,0.168339841214559,0,0,0,0,0,0.138323133876876,0,0,0,0,0,0.253084244471652,-0.138427125052279,0,0,-0.075138943363064,0,0,0,0.134444659911723,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.147827328327131,0,0.0913261837422979,-0.00475931241114735,0.00855196540167731,0,0.00318285709496014,-0.0260605297325885,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070303607858805,0.0641510254072197,0,0,0,0,0,0,0,0,0.0785674673743731,0.0336222087311952,0,0,0,0,0,0.104550209658194,0,0,0.0973940699879253,0,0.113533987570514,0,0,0,0,0,0,0,0.051793368519768,0.0699282878777844,0,0,0,0,-0.0129647988226191,0.0139952697356235,0,0,0,0,0,0
X601600.SH,0,0,0,0.087509800205615,0,0,0,0,0,0,0,0,0,0.0606343855199693,0,0,0,0.0577480706135915,0,0,0,0.0922797674700769,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.167706538664335,0.342080767327724,0,0.134171112109773,0,0,0,0,0,0,0,0,0,0.133782753769484,0,0,0,0,0,-0.00462812386808448,-0.0163844742780254,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0.0612529966399103,0,0,0,0,0,0,0,0.145778589906535,0,0,-0.00604567040792558,0,-0.0218759310126449,0.0532818449380716,0,0,0,0,0,0.0193988252133521,0,-0.0798161201483978,-0.0333334618075484,0,0.0377279566126919,0,0,0.0726187196014722,0,0.0970703926601779,0,0,0,0,0,0,0,0,0,0,0,0.0240239705213795,-0.000937548409131087,0,0,0,0,0,0
X600309.SH,0,0,0,0,0.0255811938489232,0,0,0,0,0,0,0,0,0.0680492351820033,0,0,0,0.14625087857726,0,0,0.309393365633329,0.0160293993315717,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.0954369247892428,0,0,0,0,0,0,0,0.104228696289005,0,0,0,0,0,-0.00473504352113252,0,0,0,0,0,0,0
X601898.SH,0,0,0,0.0204201348841665,0,0,0.00287064175392004,0,0,0,0,0,0,0,0.0135177967020719,0,0,0,0,0,0,0,0,0,0.341367247570249,0,0,0,0,0,0,0.0681476758473958,0,0,0,0,0,0,0,0.167416736550167,0,0,0,0,0.084867974402587,0.0178335803359565,0,0,0,0,0,0,0,0,0,0,0,0
