,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002466.SZ,X002460.SZ,X600585.SH,X000792.SZ,X000301.SZ,X601898.SH,X600019.SH,X600111.SH,X600011.SH,X600660.SH,X600010.SH,X000708.SZ,X000877.SZ,X002271.SZ,X600547.SH,X601600.SH,X600886.SH,X600795.SH,X600426.SH,X600176.SH,X600362.SH,X000629.SZ,X600803.SH,X601991.SH,X000408.SZ,X600348.SH,X600027.SH,X000983.SZ,X600096.SH,X000723.SZ,X002080.SZ,X000786.SZ,X600160.SH,X300073.SZ,X601699.SH,X600219.SH,X600141.SH,X002353.SZ,X600157.SH,X000933.SZ,X600378.SH,X600549.SH,X600295.SH,X600801.SH,X300037.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0647231539360001,-0.00745056318755515,0,0,0,0,0,0.115498691808536,0,0.0360311055762187,0,0,0,0,0.0130763955800231,-0.0194183137537168,0,0.0546485509209861,0,0.256095586790347,0,0,-0.0211696348053184,-0.110022039267326,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0439224946192379,0.0315594071633703,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.0441785406601521,0.22153317800109,0.109960098841414,0,0,0.127959624005912,0,0,0,0,0.0698847293831427,0,0,0,0,0,0,0,0,0,0,0,0,-0.0829141972980739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.351254958876228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0.0459726332085553,0,0,0,0,0.0106732934679995,0,0,0,0,0.0300214210559951,0,0,0,0,0,0,0.0554403795242316,0,0,0,0,0,0,0,0,0,-0.0114552895455603,0,0.0666112694400201,0,0,0,0,0,0,0,0,0,0,0,0.00061130869460804,0,0,0,0,0,0,0.00129538300066257,0,0,0,0,-0.0330569666120164,0,0
X600309.SH,0,0.0795400099045132,0,0,0,0,0,0,0.0175974947524699,-0.00689810198931674,0.0650504907525232,0,0,0,0,0,0.0106470577555766,0,0.0659710403905594,0,0,0,0,0.015322528604975,0,0,-0.0149951018794001,0,0,0,0,0,0,0,0,0,0.00103626152988779,0,0,0,0,0,0.0584330092075105,0.141243671844595,0,0,0,0,0,0,0.0896075122112358,0,0,0,0,0,0.00285898948306938,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0.445838149934805,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,-0.0165450526481299,0,0,0,0.0425407249710641,0,0,0,0.0210243148333594,0,0.0572577113190282,0,0,-0.0170419906338413,8.67361737988404e-19,0,0,0.331356162612958,0,0,0,0,0,0,0,0,0,0,0,-0.103233783125797,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0.551567017966449,0,0.144773861695238,0.0289200719881255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.174349268661811,0,-0.0320360914229136,0,-0.0183964264208319,0,0,0,0,0.0883577243773518,-0.0304915042040055,0,0,0,0,0.335953244289816,0,0,0,0,0,0,0,0,0,0.0438218395879285,0.0149520988112043,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0.168858140161725,0,0,0.108865667562726,0,0,0,0,0,0,0.0348853230392005,0,0,0.123546198903474,0,0,0,0,0.129012608530674,0,0,0,0,0,0,0.0119077961348723,-0.034429447429328,0,0,0,0,0,-0.0416182608651486,0.0775772876723507,0,0,0.1947177357119,0,0,0.10563378632273,0,0,0,0,0.145206178786494,0,0,-0.059761503393246,0,0,0,0.0385845629843709,0,0
X600585.SH,0,0,0,0,0,0,-0.023567309873433,0,0,-0.0305897117197591,0,0,0,0,0,0,0,0,0.108650070210655,0,0,0,0,0,0,0,0,0,0.0204581400508021,0,0,0,0,0.034319506296349,0.050639515571801,0,0.0499633148861917,0,0,0,0,0,0,0,0,0,0,0,0.270280119057587,0,0,0,-0.0395591749782174,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.24348274936632,3.46944695195361e-18,0,0,0,0,0,0,0.0965632408200392,0,0.108464474600793,0,0,0,0,0.0218323730065623,0,0,0,0,0,0,0.081943920483712,0,0.00302140022509872,0.0923063361418632,0,0,0,0,0,0,0,0,0,0.25214350066361,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,-0.0386726694491823,0,0
X000301.SZ,0,0,0,-0.107368882968339,0,0.338797767592875,0,0,0,0,0,0,-0.00600058870213884,0,0,0.157676121248263,0.244760570729448,0,0,0,0,0,0,0,0,0,0,0,0,0.27402389354343,0.0517612714251159,0,-0.0825764807140269,0,0,0.113131790816909,-0.0841855767291403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.170248706180473,-0.117798133543506,0,0,0,0.0568950630336869,0,0
X601898.SH,0,0,0,0,0.100676512364777,0,0,0,0,0,0,0,0,0,0,0.0979189067125045,0,0,0,0,0,0,0,0,0,0,0.0123024349397196,0,0,0,0,0,0.351345862499001,0.214854462588512,0,0,0,0,0,0,0,0,0.0710632028865952,0,0.0760596829629203,0,0,0,0,0,0,0.00915159783204053,-0.042711232188508,0,0,0,0.0162670054755428,0,0
X600019.SH,0,0,0,0,0,0.0279116007572399,0,0,0,0.147318860192577,0,0,-0.0776374982078093,0.033973583979003,0,0,0,0,0.0209466542351627,0,0,0,0,0,0,0,0.0998708694307931,0,0,0,0.0126431483991641,0,0,0,0,0,0.258856291466866,0,0,0,0,0,0,0,0.0964601343974157,0,0,0,0,0,0,0,-0.0319123389489784,0,0,0,0.0225662710395197,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00256328261702196,0,-0.202134187668911,0,0,0,0,0,0,0,0.0153992667776658,0,0,0,0,0,0.427590329701142,0,0,0,0,0,0.0294667716547355,0,0,0,0,0,0,0,0,0,0,0.123512196783299,0,0,0.243418030000669,0,0.0413544735460871,-0.0269969393884767,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0.0674312447045491,-0.249449526576346,0,0,0,0,0,0.245581119802975,0,0,0,0,0,0,0.194157753856721,0,0,0,0.0905798893261181,0,0.205118997935406,0,0,0.593162199213573,0,0,0,0,0.108030625979075,0,0,0,0,0,0,0,0,0,0,-0.0851978705538726,0.225167698013957,0,0,0,3.46944695195361e-18,0,0,0,-0.0169915604491285,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0.0870866022672943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0310679876070682,0,0,0,0.112489102515484,0,0,-0.0263735527222293,0,0,0,0,0.180736602424399,0,0,0,0,0,0,0,0,0,0,0,0,-0.121156825685024,-0.0454611885592005,0,0,0,-0.0431928119700672,0,0
X600010.SH,0,0,0,0,0,0,0.0738280432171598,0,0,0.107358089591324,0,0,0.184354175119301,-5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0989672627745757,-0.00411934881604027,0,0,0.00695631424208143,0.106347214004078,0,-0.0275909814268857,0,0,-0.150700098699762,0,0,0.0921734022804637,0.0685911583277947,0,0.187558918242957,0,0,0,0,0,-0.12149789405304,0,0,0,0.112448992154142,0,0
