,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600188.SH,X600019.SH,X600011.SH,X002460.SZ,X000792.SZ,X002466.SZ,X601898.SH,X601600.SH,X000708.SZ,X600111.SH,X600547.SH,X000301.SZ,X600660.SH,X600010.SH,X600886.SH,X000877.SZ,X002271.SZ,X600426.SH,X600795.SH,X600362.SH,X600027.SH,X601699.SH,X600176.SH,X600803.SH,X601991.SH,X000983.SZ,X000786.SZ,X600489.SH,X600160.SH,X600995.SH,X000807.SZ,X000629.SZ,X600378.SH,X600219.SH,X000408.SZ,X000932.SZ,X000933.SZ,X600096.SH,X000723.SZ,X600688.SH,X002080.SZ,X000539.SZ,X600801.SH,X600157.SH,X300037.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0537272004455158,0,0,0,0,0,0,0,0,0.0586536134647944,0,0,0.0254708383814645,0,0.0712224555754684,0,0,0,0,0.0806256982979859,0,0,0,0.0333505932811008,0.0724156024721608,0,0,0,0.0321493254198172,0,0,0,0.1018639032792,0,-0.0687371333104262,0,0,0,0,0.0252810343961748,-0.0270544412062926,0,0,0,0,0,0
X600028.SH,0,0,0,0.00929986287699735,0,0,0,0,0,0,0,0.0612791462970425,0.0830308855988021,0,0,0,0,0.0338707654741574,0,0,0,0.0720371698088346,0,0,0.118684374755387,0.0336536823423353,0,0,0,0.0770784819313707,0,0,0,0,0,0,0,-0.0333088750872523,0,0,0.0572064067922828,0,0,0,0,0,0,0,0,0,0.0282533170936047,0.00125574309849221,0,0,0,0,0,0,0
X601088.SH,0.157475371107085,0,0,0,0,0.110048903410537,0,0,0,0,-0.0401443426507945,0.00552659380949348,0.099933440729596,0,0,-0.0374097577734315,0,0,0,0.0171125726408805,0,0,-0.0341790634782486,0,0,0,0.132069581612298,0,0,0,0,0.125273461155853,0,0,0,0,0,-0.0155947561301216,0,0,0.0156431024005865,0,0,0,0,0,0,-0.0231926669660692,0,0,0,-0.0127783982778202,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,-0.0134196639444072,0,0,0,0,0,0,0,0.154601727291537,0,0.176851306724363,0,0,-0.0198912001767295,0.344291801106331,0,0,0.0477870831551138,0,0,-0.118782416596006,0,0,0,0,0,0,-0.0328390931459605,0,0,0,-0.232748560834821,0.303709981008934,0,0,0,0,0,-0.138875543777208,0,0,0,0,0.0197714383601473,-0.00157251171176356,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0630183457179085,0,0,0,0,0,0.240059736360679,0.0273074850192715,0,0,0,0,0,0,0,0,0.0449504079908496,0.158275165517342,0,0,0,0,0,0.0776301962391185,0,0,0,0,0,0,0,0,0.015446739857107,0.271275417450883,0,0,0.0240551975616139,0,0.00831491470220803,0,0,0,0,0,0
X600188.SH,0,0,0,-0.040414329738882,0,0,0,0,0,0,0,0.136665262366234,0,0,0,0,0,-0.321578145984812,0,0,0,0.0850067381185916,0,0.184818617110875,0,0,0.131508166261557,0,0,0,0.201778576305988,0,0,0,0,0.0154036836894253,0,0,0,0,0,0,0,0,0,0,0.0585919805729291,0,0,0,0,-0.0117192932705563,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,-0.0300257874124036,0,0,0,0.21915545319715,0.0635227860232802,0,0,0,0,0,0,0,0,0.174511161865517,0,0,0,0,0,0.247715766094484,-0.0192463003059834,0,0,0,0,0,0,0,0,0,0,0,0.00890810622931838,0,0,0,0,0,0,0,0,0,0.0438438353937725,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.129314306567617,0,0,0.0295457000444519,0,0.0497438680242285,0,0,0,0,0,0.0334931641164969,0.0390991973261517,0,0,0,-0.040451294114117,0,0,0,0.548374040160801,0,0,0.0896082220433175,0,0,0.147398404485739,0,0,0,0,-0.180349564660653,0.113827890398283,0,0,0,-0.162977157965336,0,0,0,0,0,0,0,0,0,0,0.00509822930109141,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0.558985949057102,0,0.000452412660529106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0698195802317548,-0.0201246612940628,0,0,0,0,0,0,0,0.131245700552596,0,0,0,0,0,0,-0.0534573360581789,0,0,0,0,0,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0.178110092926583,-0.0159332068626119,0,0,0,0,0,0.0202959304467272,0,0,0,0.0393915283637864,0.106827953259071,0,0,0,0,0,0,0,0.0578898973990165,0,0,0.0126628749744231,0,0,0,0,0,0,0,0,0,0,0,0,0.112931844906605,0,0,0.103492466779693,0,0.0113498957457342,0,0,0,0,0,0,0
