,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600027.SH,X600188.SH,X600157.SH,X601992.SH,X600362.SH,X600111.SH,X600623.SH,X002466.SZ,X600886.SH,X600547.SH,X600299.SH,X600660.SH,X601158.SH,X000709.SZ,X000792.SZ,X600309.SH,X600352.SH,X600489.SH,X000898.SZ,X600583.SH,X300072.SZ,X000539.SZ,X000883.SZ,X000027.SZ,X000629.SZ,X000630.SZ,X000723.SZ,X000983.SZ,X000060.SZ,X002470.SZ,X000959.SZ,X002075.SZ,X600021.SH,X002407.SZ,X600022.SH,X600176.SH,X600160.SH,X600098.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.0879334323705732,0.0494632789928833,0.0655806078644294,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0241505525677631,0,0,0,0,0.16387621230181,0,0,0.0423336060627774,0.0768619926377409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0451985011071735,0,0.0072502674969147,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.114493131222937,0,0,0,0,0,0.0455966583971451,0,0,0,0.0266725860478362,0,0,0,0,0,0,0,0,0,0.0455256950174173,0.082841842772656,0,0,0.105659405245535,0,0,0,0,0,0,0,0,0.058605082669383,0,0,0,0,-0.0366347429675767,0,0,0,0.0193456471113976,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.124187127845169,0.00476409655007745,0,0,0,0,0,0,0,0,0.0497114619063963,0,0.0328782735148433,0,0,0,0,0,0,0,0,0.11617932833181,-1.38777878078145e-17,0,0,0,0,0,0,0,0.2018480100867,0,0,0.173954778679543,0,0,0,-0.0017196505271997,0,0,0,0,0,0,0,-0.00791756548990141,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.0646826347044358,0,0,0,0,0,0.26508447557197,0,0,0,0,0,0.014632778662026,0.0142996078059897,0,0,0,0,0,0,0.0416621720731689,0,0,0,0,0.152655993793573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0123939975326319,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263888169667772,0,0,0,0.00817117736944383,0,0,0,0.185692432543115,0,0,0,0,0.0230812843150133,0,0,0,0,0,0.0722330957526124,0.049548310702785,0.0355762998078776,0,0,0,0,0.0416358155285736,0,0,0.102996805287209,0,0.0896205621218616,0,0,0.00493751012411529,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.106213809953959,0,0.343455690043452,0,0,0,0,0,0.129345816462989,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0327293487540756,0,0.126409393148606,0,0,0,0,0,0,0,0,0.0451150814871915,0,0,0.10079840249581,0,0,0.0188614125723935,0,0,0,0,0,0.0445198763604579,0.0662843505324825,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0146892275062846,0,0,0,0,0,0,0,0,0,0.0791408672250388,0,0,0.0419468900171628,4.33680868994202e-19,0,0,0.00293264513513145,0,0,0,0,0,0.0707820579261705,0,0,0.0723877762431817,0,0,0,0,0.24767556012361,0,0,0,0,0,0.0626859260580317,0,0,0,0.0284086713556755,0,0,0,0,-0.00577162646713564,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0509688131210075,0,0,0,0,0,0,0,0,0,0,0.372486912733402,0.0896099181367093,0,0,0,0.0485976799809896,0,0,0,0,0,0,0.202588424639049,0,0,0,0.100809709755538,0,0.00964366156981777,0,0,0,0,0,0,0,0,-0.0124617234584576,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0.0358989120486944,0.0623989055636788,0,0,0,0,0,0,0,0.0448413230062484,0,0,0,0,0,0,0,0.0399117110582684,0,0,0.135260636255859,0,0,0.0638669406970175,0,0.114112231742113,0.00977765424787894,0,0,0,0,0.185525905105757,0,0.0306231524030528,0.0507532898540188,0,0,0.0138872405759586,0,0,0,0,0,0,0.1762312824776,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246102771752824,0.117708394678602,0,0,0,0,0,0,0,0.157768219585572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105980384237493,0.114316605678089,0.0421609651953705,0,0.0719098120068485,0,0,0.0357510924679529,0,0,0.158177508259548,0,0,0,-0.0277085241086767,0.212675853475675,0,0,0,0,0
