,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601898.SH,X600309.SH,X600688.SH,X600795.SH,X601992.SH,X601600.SH,X600660.SH,X300072.SZ,X601991.SH,X600188.SH,X600362.SH,X002466.SZ,X600547.SH,X600886.SH,X600027.SH,X000709.SZ,X600157.SH,X600111.SH,X000898.SZ,X600339.SH,X000959.SZ,X600489.SH,X601158.SH,X002460.SZ,X600008.SH,X002271.SZ,X000723.SZ,X000883.SZ,X600299.SH,X600219.SH,X600352.SH,X600176.SH,X000792.SZ,X000630.SZ,X000408.SZ,X600578.SH,X000539.SZ,X000027.SZ,X600583.SH,X000786.SZ,X600808.SH,X000983.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,-0.015861239814428,0,0,0.0216455937956008,0.214763492682557,0,0,0.0290039410118794,-0.017330425545786,0,0.0408898041675085,-0.0736335058551833,0,0.00767852172480039,0,0,0,0,-0.041933831896124,0,0,0,0,0,-0.0100643921689371,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0601783729104935,0,0,0,-0.00998339516113827,0.000744925702153079,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0381945457470839,0,0,-0.159848501216942,0,0,0,0,0,0,-0.043054106499776,0,-0.0601422467076076,0,-0.0230377689999503,0.0136058620843374,0.012790291997913,0,0,0,0,0,0.0649195298277478,0,0,0,0,0,0,0,0,0,0,-0.106601003547117,-0.00370505685389108,0.00582819888436558,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0466566741730318,0,0.0176977012397314,0,0,-0.0120943085310821,0,0,0.0479430740964339,-0.000923852963944724,0,0,0,0,0,0.0109200265201307,0,0,0,0,0,0,0,0,0,0,-0.0101106304295421,0,0,0.00576890518483581,0,0,0,-0.00945850683686748,-0.0114267588110436,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.171218721747168,0,0,0,0,0,0,0,0,0.10187860596445,0,0,-0.0177742622571011,0,0,0,0,0,0.273156510353336,0.120940660932026,-0.0569973468298313,0,0,0,0,0.0420642278075155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0180925210011273,0.00459781281501384,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,-0.0511594646645284,-0.1150424148709,0,0,0,0,0,0,0,0,0.130681585929782,0,0,0,0.056077721800331,0,0.305898847385138,0.00343696511018021,0,0,0,0.0775080224117961,0,0,0,0.0175603333148273,0.0899206405282788,-0.114266992858872,0,0,0,0,0,0,0,0,-0.0398296420118105,0.1141753740527,0,0,0,0,0,0,0,0.0347451542638587,-0.0489275691575955,-0.21183874108459,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250476654395171,0,0,-0.0222663800110452,0,-3.46944695195361e-18,0,0.416907618068875,0,0,0,0,0,0.0631955838916257,0,0,0,0.0901417624687357,-0.0260765823786254,0.164439929995515,0,0,0,0,0,0,0,0,0,0,0,0,0.0906641399082159,-0.112929092192185,0,0.101089518912894,0,0.00664336483844127,-0.0610858342635588,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.0501593128793277,-0.0617778639462222,0,0,0,0.132261730089381,0,0,0,0,0.0592663199371121,0,0,0.117930669607589,0,0,0,0,0,0.0681560676617115,0,0,0,0,0,0,0,0,0,0,-0.0394682383940057,0,0.0378682034408678,0,0,0,0,0,-0.0117947742906142,-0.0118177098968631,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0215240678323418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0285296005658578,0,0,0,0,0,0,0,0,0,0,0.00336785205199997,0,0,0.118680072617235,-0.000642065560288346,0,0.2194875252804,0,0,0.00351749457810293,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0.0725095034031725,-0.0848394639306051,-0.137919327388256,0.187817183568391,0.180165039721661,0,0.355823035541183,0,0,0,0,0,0.0343861207433024,0,0,0,0,0,0,0,0,0.0443245940994225,0,0,0,0,0,0,0,0,0,0,0,0.143609353630905,0,-0.0629886312007612,0.0490516189759729,0,0,0,-0.0169469084252832,-0.0276846356615246,0,0,0,0,0,0
X600688.SH,0,0.356009467987068,0,0,0,0.073341500674951,0,0,0.00657431047298007,0,-0.00490083374611146,0,0,0.030198404394516,0,0,-0.0809265334192884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0117318769193495,-0.00932557259393863,0,0,0,0,0,0
