,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600010.SH,X601898.SH,X601600.SH,X601991.SH,X600795.SH,X600188.SH,X600886.SH,X600362.SH,X600111.SH,X600688.SH,X600027.SH,X601992.SH,X600583.SH,X000709.SZ,X600309.SH,X600352.SH,X000898.SZ,X601158.SH,X600157.SH,X000792.SZ,X600660.SH,X000027.SZ,X000629.SZ,X600547.SH,X600489.SH,X002353.SZ,X000539.SZ,X600808.SH,X600008.SH,X000825.SZ,X600021.SH,X000060.SZ,X000831.SZ,X600549.SH,X600219.SH,X600307.SH,X000630.SZ,X600315.SH,X002470.SZ,X601699.SH,X600578.SH,X002004.SZ,X000959.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.453932787990297,0,0,0,0,0,0,0,0,0,0.0296884108886132,0.220422281213631,0,0,0,0,0,0,0,0.0596040618932688,0,0,0,0,0,0,0,0,0.058188507415875,0,0,0,0,0,0,0,0,0.0438696258090988,0,0,0,0,0,0,0,0,0,0,0,0.0113666188955722,0.0206431982827278,0,0,0,0,0,0
X600028.SH,0.35645313440886,0,0,0,0,0.163442697170291,0.023595738681585,0,0.133172109785172,0,0,0,0,0,0,0.0303339555578092,0,0.0250640728217711,0.132342933850979,3.46944695195361e-18,0,0,0,0,0,-0.0696188239679788,0,0.125696543276001,0,0,0.0384848846424357,-0.0417089012502719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00306370053316171,0,0,0,0,-0.0115349087782605,0,0,0,0,0,0
X601088.SH,0.0864049822566636,0,0,0,0,0,0,0.220373874971307,0,0,0,0.159627521858401,0,0,0,0.0260804881762779,0,0,0,0,0.00185613004910173,0,0,0,0,0.0518607523295887,0,0,0,0,0,0,0,-0.0355564440903426,0,0,0,0.0144225669381884,0.0449846114323828,0,0,0,0.0173287605510012,0.0448265542365581,0,0.335694731635489,0,0,0,0,0.0235935033658122,0.000826413944796841,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.123069681023687,0,0,0,0,0,0,0,0,0,0,0,0,0.294605734991455,0,0.231035999284785,-0.0201264873784458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0187146273052296,0,0.140119546351722,0,-0.0332883107797423,0.0432095852537085,0,0,0,0,0,0.0720388527997768,0.0813856414782275,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0.131317647060627,0,0.0296984932259812,0,0,0,0.190962540749263,0,0,0.166574161352012,0,0,0.112049583187787,0,0,0,0,0,0,0,0,0,0.0685829383093254,0,0,0,0.0224198319121063,0,0,0,0,0,0,0,0,0.0401872239883924,0,0,0,0,0.0272780098356874,-0.0190875128959229,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.112180711769629,0,0,0.0256151740590401,0.181413369990575,0,0,0,0,0,0.313254427115482,0,0.0657105823107511,0,0,0,0.12755379513796,0.0689942491953742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0228024707741041,0,0,0,0,0,0.0266911546763776,0,0,0,0,-0.025822943863535,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0.405268059546059,0,0,0,0,0,0.0237189443732374,0,0,0,0,-2.77555756156289e-17,0,0,0,0,-0.121099332816439,0,0,0,0,0.0598617658259304,0.085648681260429,0,0.15996684297412,0,0,0,0,0,0,-0.0559847251315616,0,0.0655886341991981,0.0465104132517367,0,0,0.227303632134067,0.116302305848917,0,0,0,0,0.0503566088900077,0,0,0.0870689024811032,-0.119744987636547,0,0,0.0912730317889936,0,0
X601898.SH,0,0,0.289572262880495,0,0,0,0,0,0.188203674246386,0,0,0.0325470249212067,0.0839326826228172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00494820074080043,0,0,0,0,0,0,0.107660725940877,0,0,0,0,0,0,0,0,0,0.0202173801030221,0.129708355377501,0,0,0,0,0.0051382005814749,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.27198201779777,0,0,0,0,0.191913751103954,0,0.23124857375259,0.0121399185841338,0.194774793345356,0,0,0.0241565170268778,0,0,0,0,0,0,0,0,0.137649104635108,0,0,0,0.0342098711331296,0,0,0,0,0.0821230123426711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0.315382361481444,0,0,0,0.107739449807681,0,0,0,0.188206103328135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182315121171005,0,0,0,0.0714866363192681,0,0,0,0,0,0,0,0,0,-0.0241510728769447,0,0,0,0,0,0,0
