,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X600010.SH,X600886.SH,X601600.SH,X601898.SH,X600660.SH,X601991.SH,X600362.SH,X600795.SH,X600688.SH,X600352.SH,X600188.SH,X600111.SH,X600027.SH,X600801.SH,X000723.SZ,X601992.SH,X600489.SH,X002271.SZ,X000898.SZ,X600176.SH,X000786.SZ,X600516.SH,X600299.SH,X000709.SZ,X002460.SZ,X002466.SZ,X000883.SZ,X601158.SH,X000629.SZ,X600612.SH,X600426.SH,X600219.SH,X000027.SZ,X002353.SZ,X600583.SH,X000630.SZ,X600985.SH,X600021.SH,X000553.SZ,X600315.SH,X601699.SH,X600578.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0624752678204377,0.0952190940849948,0,0,0,0,0,0,0,0,0,0,0.0189707659651473,0,0.0185061822609959,0,0.0061364026494242,0.0228434963531551,0,0,0.0670598364480614,0,0,0,0,0.0218730732018301,0.0953561436146696,0,0,0,0,0,0,0,0,-0.00879540013911022,0.0240714599616019,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,-0.0327324537171555,0,0,0,0,0,0,0,0,0,0,0.170961828362509,-0.0116738013508594,0,0,0.0140707661771136,0,0,0,0,0,0.0264379950850617,0,0.12008658006263,0,0,0,0,0,0,0,0.0175165903457072,0,0,0.0783377645884353,0,0,0,0,0,0,0,0,0,-0.0242809372092466,0.00606600007629803,0,0,0,0.0202035532420227,0,0
X601088.SH,0,0,0,0.0232432882521358,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0206264121546343,0.240919996125591,-0.0885581163242465,0,0,0,0.139962854156796,0,0,0,0,0,0,0.0296213111268836,0,0,0,0.183744659003315,0,0.0739149792892186,0,0,0,0,-0.123062137352061,0,0,0,0,0.0432170189066554,0,0,0,0,-0.0020674765830215,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435956525249064,0.0211453495333042,0,-0.0214231188456295,0.288892175657073,0,0,0,0,0,0,0.0292651219689921,0,0,0,0.00564311644613379,-0.00275500573752643,0,0,0,-0.0180609996351988,0,0,0,0,0,0,-0.0674418619403802,0,0,-0.00941574302635976,0.00381158430662404,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.382308992022007,0,0,0,0,0,0,0,0,0,0,0,0,0.184827803825107,0,0,0,0.00556008770112493,0.0555254822184115,0,0.120420564666064,0,0,0,0,0,0,0,0,0,0,0,0,-0.0778926773722549,0,0,0,0,0.180601061979665,0,0,0,0,0,0.0192135055933478,0,0,0,0.0315689095948583,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.0117035713668589,0,0,0,0,0,0,0,0,0.101175746685331,0,0,0,0,0.016064478290768,0,0,0,0,0,0,0,0.0391275043970092,0,0,0,0,0,0.0624853497178302,0,0,0,0,0,0,0,0,0,0.0663190944338359,0,0,0,0,-0.022682367642983,0.0125040935701595,0,0,0,0.136000719279978,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.344154970798309,0,0,0,0,0,0,-0.00655123309283299,0,-0.0475837099066804,0,0,0.740864298699786,0,0,0,0,0,0,0,0,-0.0536262399162439,0.0462088615478507,0,0,0,0,0,0,0,0,0,0,-0.136643133288083,0.147054097280974,-0.175832829586404,-0.0700427212447807,0,0,-0.0573329567502512,0.00770650670557106,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0.285504300889387,0,0,0,0,-8.67361737988404e-19,0,0,-0.010229047529883,0,-0.0145051970882131,0.470606820160457,0,0,0,0,0,0,0,0.0265869850572552,-0.0535046032288121,-0.027362548448809,0,0,0,0,0,0,0,-0.132695492219886,0,0,0,0,0,0,0,0,0,0,0,0,-0.0146612929789767,0.00785529347437589,0,0,0,0.0681648932445401,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,-0.0346333519383178,0.390768204084002,0.0852573599728688,0,0.0134228730427364,0,0,0,0,0,0.0312894104300859,0,0,0.0492755015804247,0.155212150288576,0,0,0,0,0,0.0375725342865072,0,0,0,0,0,0,0,0,0,0,0.0169196858362253,0,0,0,0.05598255390846,0,0,0,0,0,0,0.00378900847489425,-0.0329242761135398,0,0,0,0.112331041519874,0,0
X600886.SH,0,0,0,0.0791148384715927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126138668059668,0,0.0713720072963051,0,0,0,0,0,0.190872170291261,-0.208862872793858,0,0,0.359082348568781,0,0,0,0,0.0832386065004575,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0.133073544854046,0,0,0,0.0164547392373546,0,0,0,0,-0.0488750587069432,0,0
