,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600660.SH,X600019.SH,X600188.SH,X600585.SH,X601600.SH,X600886.SH,X600011.SH,X600547.SH,X600010.SH,X000792.SZ,X600795.SH,X600111.SH,X002460.SZ,X600362.SH,X600489.SH,X000301.SZ,X000708.SZ,X600160.SH,X002466.SZ,X600803.SH,X600027.SH,X601991.SH,X000807.SZ,X000786.SZ,X600426.SH,X000983.SZ,X600176.SH,X000877.SZ,X600219.SH,X002128.SZ,X601699.SH,X000630.SZ,X000408.SZ,X600157.SH,X600096.SH,X600985.SH,X601168.SH,X000933.SZ,X002353.SZ,X600352.SH,X002271.SZ,X600378.SH,X600995.SH,X600688.SH,X600549.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.0750324318892484,0,0,0,0,0,0,0.145099998845682,0,0,0.0279226821224247,0,0,0.257755737193453,0,0,0,0,0.215212102368177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101096509597211,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0193800946261628,0,0
X601088.SH,0,0,0,0,0.531730556867795,0,0,0,0,0,0,0,0,0,0,0,-0.094690192883596,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0996026892361335,0,0,0,0.0184142444761497,0,0,0,0,0.0417035768542674,0,-0.0312602922451545,0,0,0,0,0,-0.027066904437379,0,0,0,0,-0.0124806827162893,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108338264403911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0647511392720066,0,0.371494172769187,0,0.00810101303632177,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0525425917860999,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0419314219803645,0.141056820376909,0,0,0.0356051791915043,0,0,0,0,0,0,0,0,0,0.243902009971712,0,0.0183081490012423,0,0,0,0.141681634561064,0,1.73472347597681e-18,0,0,0,0,0,0,0.0702590026999812,0,0,0,0,0,-0.024778023249283,0,0,0,0,0,0,0
X601898.SH,0.0648834024532974,0,0,0,0,0,0.176128145942802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101949555521689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173423795570837,0,0,0,0,0.0323233379001194,0,0,0,0,0,0.0371504169181753,0,0,0,0,-0.0278045336778845,0,0
X600660.SH,0,0,0,0,0,0,-0.176568434289102,0,0,0,0,0,0,0,0,0,0.0988654791004531,0,0,0.106811084853675,0,0,0.199713709202472,0,0,-0.092010401885835,0,0.116995444433878,0,-0.0220616428644976,0,-4.33680868994202e-19,0,0,-0.0612140295245248,0,0,8.67361737988404e-19,0,0,0,0,-0.116895433310081,0.100108342008608,0,0,0,0,0,0,0,-0.0465337215733837,0,0,0,0,-0.00399439061709753,0,0
X600019.SH,0.218185244719594,0,0,0,0,0,0,0,0,0.208548950737187,0,0,0,0,0,0,0,0,0,0,0.0423084789348688,0,0,0,0.139484564755484,0,0,0,0,0,0,0,0.083079960563858,0,0,0,0,0,0.105566990059376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00408690361209658,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0600087472417912,0,0,0,0.0160576073761441,0,0,0,0,0,0,-1.73472347597681e-18,0,0.315740967190137,0,0,0.0177164908209968,0,0,0,0,0,0.16584769810843,0.260269421966432,0,0,0,0,0,0,0,0.0133498374374455,0,0,0.214460425299041,0,0,0,0,-0.00430123617543495,0,0.00284256639343525,0,0,-0.0829206172682592,0,0
X600585.SH,0,0,0,0,0,0,0.185515572666239,0,0,0,0,0,0,0,0,0,0.0010088601673896,0,0,0.0360279365564297,0,0,0,0.038797489244384,0,0,0,0,0,0,0,0,0.271460842483232,0,0,0,0,0,0,0,0.054802328742641,0,0,0,0,0,0,0.0553644934133942,0,0,0,8.67361737988404e-19,0,0,0,0,-0.0487947325400142,0,0
X601600.SH,0,0,0,0,0,0,0.555816360747088,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.196952040679783,0,0,0,0,0,0,0,0,0.282759358577231,0.130626117720604,0,0,0,-0.0457163165373539,0.0216694829712855,0,0.0158566767585115,0,0,0,0,0,0,0.066574090713395,0,0,0,0,0,0,0,0,-0.0521329040990608,0,0,0,0,-0.0346668680824052,0,0
X600886.SH,0,0.12245981972917,0,0,0,0,0,0,0,0,0,0,0,-0.165507937090903,0,0.426433323269557,0,0,0,0,0,0,0,-0.024187275846434,0,0,0,0.00239439284506291,0,0,0,0,0,0,0,0.000242642738881498,0,0,0,0,0,0,0.0787609238499058,0,0,-0.1170150923825,0,0,0,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0.092442297934669,0,0,0,0,0,0,0,-0.00249668884623785,0,0,0.0979574553338074,0,0,0,0,0.195795944632587,0.197291105569962,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0523191725272556,0,0,0,0,0,0,0,0,0,0,0,0,-0.0305581258291812,0,0.0653086846683117,0,0,-0.0153526153801144,0,0
X600547.SH,0,0,0,0,0,0,0,0.155217217457941,0,0.0288675524535569,0,0,0,0,0,0,0,0.0142372715250612,0,0.619539392176761,0,0,-0.013240225973471,0,0,0,0,0,0,0,0,0,-0.0399157358544595,0,-0.0780972800630944,0,0,0,0,0,0,0,0,0.0224274178484092,0,0,0.0678535044227143,0,0,0,0,-0.0252155154034656,0,0,0,0,-0.0202420461282117,0,0
X600010.SH,0.00896920912803909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259108357662872,0,0,0,0.0665153377073055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301165991318391,0,0,0,0,0,0,0.10453990995402,0,0,0,0.106772515826563,0,-0.027249817756696,0,0,0,0,0.0684241650320742,0,0
