,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X600019.SH,X000792.SZ,X600111.SH,X600011.SH,X002271.SZ,X600188.SH,X000877.SZ,X600660.SH,X000708.SZ,X002466.SZ,X600010.SH,X000301.SZ,X601600.SH,X601898.SH,X600547.SH,X600886.SH,X600362.SH,X600426.SH,X600176.SH,X000723.SZ,X000786.SZ,X600219.SH,X600803.SH,X601991.SH,X000408.SZ,X600795.SH,X002080.SZ,X600688.SH,X002353.SZ,X600801.SH,X000807.SZ,X600027.SH,X600352.SH,X000825.SZ,X000959.SZ,X000932.SZ,X300073.SZ,X600157.SH,X600489.SH,X601699.SH,X300037.SZ,X600516.SH,X600486.SH,X600160.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.256566555541162,0,0,0.0927134562143254,0,0,0,0.0212750863740283,0,-0.0206001227727444,0,0,0,0,0,0,0,0.00293414122679381,0,0,0,0,0,0,0,0,0,0.0881760003999868,0,0.0210921696639509,0.0383891501779975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000748739509534785,-0.0344483646518156,0,0,0,0,0,0
X600028.SH,0.0288289301175629,0,0,0,0,0,0,0,-0.0186301964142486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0679139551577822,0,0.11897395079437,0,0,0,0,0,0,-0.0330387475256081,0,0,0.12997532445496,0,0,0,0,0,-0.002224058254599,0,0,0,0,0.0117986503806748,0,0
X601088.SH,0,0,0,0,0,0,0,0,0.0258507235114814,0.0701776449574876,0,0.18601282400292,0,0,0,0,0,-0.0169596143308745,0,0,0,0,0,0,0,0.201208434205744,0,0,0,-0.0644839073811174,0,0,0,0.0507628585710263,0,0,0.0117790555190411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216020598353485,0,0
X600309.SH,0.0191609213962327,0,0,0,0,0,0.0155993689416878,0,0,0,0.0590259254107288,0.0154055922629266,-0.207311613580778,0.0604077378688271,0,-0.0566009823232174,0.0400023929232123,0,0,0,0,0,0,0,0,0,0,0,0.0786252190611047,0,0,0,0.142569666047561,0.012374162378179,0,0,0,0,0,0,0.0975712967744536,0,0.00644786170109272,0,0,0,0,0,0,0,0,-0.0270887777499687,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0491883369144204,0,0,0,0.0829841030845314,0,0,0,0,0,0,0,0.142326074047516,0.0469091560997788,0,0,0,0,0,0,0,0,0,0.361742413829171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0114852235592149,0,0,0,0,-0.00306129971061365,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,-0.0126337482091818,0,0.0736061224067217,0,0.128641223157788,0.0362248453813116,0.567078488739262,0,0,0,0,0,0,0,0,0,-0.172357305424111,0,0,0,0,0.0305044789578692,0,0.0398983581344897,0,0,0,0,0,0,0,0,0,0.25024973821402,0,0.168188419013336,0,0.000408836855324671,0,0,0,0,-0.0430666692302323,0,0,0,0,-0.0446231929234925,0,0
X600019.SH,0.128456187035153,0,0,0,0,0,0,0,0,0.0138969895134799,0,0.00254749361614368,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0724443633769269,0,0,0,0,0,0.0269794430099553,0,0,0,0,0,0.0703375171025444,0,0.201956536798464,0.0440934460463437,0.352688930612405,-0.0471477941962064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,-0.0398206365360427,0,0.181700598987899,0,0,-0.0215709087019066,0,0,0,0.0349818681969138,0,0,0,-0.0608373009477199,0,0,0,0,0,0.3365547919258,0,0,0,0,0.0726989756716617,0,0,0,0,0,0,0,-0.114180372353768,-0.217118315458069,0,0,0,0,0,-0.0162912917487641,0,0,0,0.0881300661071552,0,0,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0.109559957001404,0,0,0,0,0,0,0,0,0.185568870446174,0.225166136094957,0.226913864897853,0.0111382621891749,0.0133252930336054,0,0,0,0,0,0,0.0897180515975635,0,0,0,0,0,0,0,0,0,0,0.0694919360377337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00846282196175872,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0.260222092042384,0,0,0,0,0,0,0,0,0.0671921979703173,0.0100176563927361,0,0,0.181623950819748,0,0,0,0.0539049448202144,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.634832482914539,0,0,0,0,0,0.0687767185410807,0,0,0,0,0,0,0,0.00553851850083544,0.0094250868493672,0,0,0,0,0,0
