,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600011.SH,X600309.SH,X601898.SH,X600010.SH,X601991.SH,X600688.SH,X600547.SH,X600188.SH,X601600.SH,X600660.SH,X600886.SH,X600795.SH,X600362.SH,X000898.SZ,X600027.SH,X601992.SH,X600299.SH,X600111.SH,X600516.SH,X600176.SH,X000709.SZ,X002466.SZ,X600808.SH,X000629.SZ,X002460.SZ,X600352.SH,X002110.SZ,X000825.SZ,X600489.SH,X600801.SH,X300072.SZ,X600339.SH,X601158.SH,X000553.SZ,X600219.SH,X600583.SH,X601699.SH,X600426.SH,X000883.SZ,X000786.SZ,X000932.SZ,X000301.SZ,X000408.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.129927303190812,0,0,0,0,0,0.116982488730493,0,0.0898564419742534,-1.73472347597681e-18,0.0356302792295175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0499024538924627,-0.0390105635981272,0,0,0,0.0333894142124162,0,0,0.198984696068819,0,0,0,0.00308525168177813,0,0,0,0,0,0.354198834240723,0,0,0.0103090893937194,0.026797859535639,0,0,0,0,-0.0524571101912236,0
X600028.SH,0.0815638880232362,0,0,0.244230555995751,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0253668899276339,0,0,0,0,0,0.0107792822055186,0,0,0,0,0,0.0174602678996836,0.00600811702108422,0,0.204163045577014,0,0,0,0,0,0.101233210661107,0,0,0,-0.0489966058447144,-0.0122521584637718,0,0,0,0,0,0,0
X601088.SH,0.197907211733233,0,0,0,0,0,0,0.113019444962067,0.012561299982287,0,0,0,0.0534942445175678,0.0454326124164569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0890472508718035,0,0.0128945463288002,0,0,0,0,0.218229032061888,0,0,0,0.0451482974904198,0,0,0,0,0.0108942603407353,0,0,0,0,0,0
X600019.SH,0,0.0875088461053728,0,0,0.0471751389053088,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0.621467602501565,0,0,0,0,0,0,0,0.0118583592730133,0,0,0,0,0.044499917882981,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,-0.00731668310296464,-1.0842021724855e-19,0,0,0,0,0,0
X600585.SH,0,0,0.0722800045435143,0,0,0.0463281231383287,0.0720691751777825,0,0,0,0,0,0,0,0,0,0,0,0.132573722678214,0,0,0,0,0,0,0,0,0,0.033890242320363,0,0,0,0,0,0.515414739964035,0,0.0676281372643313,0,0,0,0.0730822878614457,0,0.0248332863727256,0,0,0,0,0,0,0.0137489469698139,0.00129464301461387,0,0,0,0,0,0
X600011.SH,0,0,0,0,0.00886562704253114,0,0.0412068922852906,0,0.00769688069526032,0,0,0,0,0,0,0.0517245149674386,0,0,0,0.759476824486301,0,0,0,0,0,0,3.46944695195361e-18,0,-0.0207988237825641,0.020349177187415,0.0909322412473792,0,0,-0.103050991852438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121975312094617,0.0276293550778004,0,-0.0488140373018564,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123967295206312,0,0,0,0,0,0,-0.218117899892055,-0.40423145600697,0,0,0,0.0687467227982297,-0.115547939891929,0,0,0,0,0,0,0,0,0.417590060590213,0,0,0,0,0,0,0.00988398292562225,0.0417327100633903,0,0,0,0,-0.663559204271686,0
X601898.SH,0.0232377584944229,0,0.262558628634708,0,-0.0494715836609052,0,0,0,0,0.18741178273197,0,0.0366913923905396,0.244373517388027,0.117827540891125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00371809214575117,0,0,0,0,3.46944695195361e-18,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.104120754839795,0,0,0.151626242898375,0,0,0,-0.0299307602359927,0,0,0,0,0,0
X600010.SH,0.129072502795437,0,0,0,0,0,0,0,0,0,0,0,0.182761934661069,0,0,0,0,0,0,0,0.107752472583972,0,0,0.11931028961019,0,0,0.0939997072135963,0,0,0,0,0,0.00204482527826588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0344909846625411,0,0,0,0,0,0
X601991.SH,0,0.0548567770614111,0,0,0,0,0,0.147843314925498,0,0,0,-0.0122501308701792,0,0.103139181044113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0190762459303584,0,0,-0.00296690176637951,0,0.0346787288441189,0,0,0,0.0747969405455051,0,0,0,0,0,0,0,0,0,0.018392988794022,-0.0238382713444602,-0.0134390994900332,0,0,0,0,0,0
