,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X600011.SH,X002460.SZ,X002466.SZ,X000792.SZ,X600547.SH,X601898.SH,X601600.SH,X600111.SH,X600660.SH,X000708.SZ,X600010.SH,X000301.SZ,X600886.SH,X002271.SZ,X000877.SZ,X600362.SH,X600426.SH,X600795.SH,X600803.SH,X600176.SH,X600027.SH,X600489.SH,X601699.SH,X601991.SH,X000983.SZ,X000807.SZ,X600160.SH,X000786.SZ,X600995.SH,X000629.SZ,X000933.SZ,X600219.SH,X300037.SZ,X002080.SZ,X000932.SZ,X000723.SZ,X600378.SH,X600688.SH,X600096.SH,X000408.SZ,X000831.SZ,X600157.SH,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.173770310859693,0,0,0,0,0,-0.0833172853698737,0,0,0,0,0,0.0940867129500017,0,0,0,0,0,0,0.0500683755664209,0,0,0,0,0,0,0,0,0.0756105405933432,0,0,0,0,0.07857093632565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0501064150848358,-0.0504218557818523,0,0,0,0,0,0
X600028.SH,0.35731560655883,0,0.168641270634936,0,-0.0399346776740462,0,0,0,0,0,0,0,0.10603604534392,0.16463288785078,0,0,-0.117754566216016,0,0,0,0,-0.0235192290051839,0,0.102328035681401,0,0,0,0,0,0,0,0,0,-0.0373488883673983,-0.00804998452537645,0,0,0,0,0,0,0.102569581010558,0,0.0806046275993274,0,0,0,0.0117950612887371,0,0,0,0.0391901198291631,-0.0696942276207755,0,0,0,0,0,0
X601088.SH,0,0.103324318244609,0,0,-0.0229363849956024,0,0,0.016682013532209,0,0,0,0,0,0.0542045417128049,0,-0.05207084761374,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116628657452241,0.0788642911704798,0,0,0,0.124511280440216,0,0,0,0,0,0,0,0,0.00926195415570556,0,0,0,0,0,0.127620743904326,-1.0842021724855e-19,0.00552316354766069,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0.0600473253705293,0,0,0,0,0,0,0,0,0,0,0,0,0.0916647981633285,-2.71050543121376e-20,0,0,0,0,0.220799327116822,0,0,0,0,-0.0143297386512833,0,0.131644994616044,0,0,0,0,0,0.150659107075791,0,0,0,0,0,0,0,0.0720684668784354,0,-0.0719982724966088,0,0,0,-0.0813465352729215,-0.0358749169947885,0.0405688456043764,0,0,0,0,0,0
X600188.SH,0,0,0.321911103555588,0,0,0,0,0,0,0,-0.0761908216469244,0,0,0,0,-0.416464186973334,0,0,0,0,0.0947927282276545,0,0,0,0,0,0,0,0,0.160122563656788,-0.0731516404621083,0,0.0416765027765131,0,0,0,0,0.256531021794245,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390479624181383,0.0323702714732732,0,0,0,0,0,0
X600019.SH,0.103065787254578,0.153537870998073,0,0,0,0,0,0,0,0,0,0,0.196020472975093,0.0844498775795939,0,0,0.0126077618737955,0,0.127730419979013,0,0,0.353570774493705,0,-0.0308937976144271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0851044886732547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0113625252211722,0,0,0,0,0.112402822694102,0,0.0648799677544673,0.468544992191372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0567440218193659,0,0.00550734225593048,0,0,0,0,0,0,0,0,0,0,0,0.00183686871199776,0,0,0,0,0,0,0
X600011.SH,0,-0.0137424325781856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0613253613166742,-0.00718869032350494,-0.0670023606768088,0,0,0,0,0.435013748070955,0,0,0,0,0,0,0,0,-0.176843045589116,-0.0600910811748865,0,-0.0211502935002676,0,0,0,0.0616289586093755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002460.SZ,-0.0181339167091171,-0.0782204534607507,0,0,0.0131536995590514,0,0,0,0,0.725713449742292,0,-0.00736707262156378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0243603087139068,0,6.93889390390723e-18,0,0,0.111326244832675,0,-0.104708662030567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154082709355916,0,-0.00600056613284724,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0.531301402448085,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0444856244345493,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0632470114896473,0,0,0,0.0540056672624005,0,0,0.0304328947662799,0,0,0,0,0,0,0,-0.0196562965452262,0.01175770809523,0,0,0,0,0,0
