,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002460.SZ,X600585.SH,X002466.SZ,X000792.SZ,X600011.SH,X601898.SH,X600019.SH,X600547.SH,X600660.SH,X600111.SH,X600010.SH,X000708.SZ,X600795.SH,X600886.SH,X000301.SZ,X002271.SZ,X000877.SZ,X601600.SH,X600426.SH,X600027.SH,X600362.SH,X600803.SH,X600176.SH,X601991.SH,X601699.SH,X000983.SZ,X000408.SZ,X000629.SZ,X600160.SH,X000786.SZ,X000723.SZ,X600219.SH,X600378.SH,X600489.SH,X600995.SH,X002080.SZ,X600348.SH,X600096.SH,X600157.SH,X600688.SH,X000933.SZ,X000807.SZ,X600985.SH,X600141.SH,X000932.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.536871738835759,0,0,0,0,0,0,0,0.163995398426585,0.243885634751237,0,0,0,0,0,0,0,0,0,0,0.09432631118363,0,-0.023381922890263,0,0,0,0,0,0.0704515402616868,0,0.0331613016874892,0,0,0,0,0,0,-0.0120944902808296,0,0,0,0,0,0,0,0,0.0280018836706563,0,0,-0.000874326429181041,-0.0111091118360845,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.435524684287833,-0.0181495048422502,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,-0.0153772795560211,0,0,0,-0.0690971497172198,0,0,0.0169292764082722,0,0,0.276608198646183,0,0,0.0915570097256009,0,0,0,0,0,-0.0157558576115421,0,0,0,0,0,0,0,0,-0.0802284066524086,0,0,-0.0151834493318463,0,0,0,0,0,0,0
X600028.SH,0.551069678650338,0,0,0,0,0,0,0,0.012577165525576,0,0,0,0,0,0,0,0,0,0,0,0.00536015482619541,0,0,0.006860526882952,-0.0126622466911836,0,0.0955828012862387,0,0.0521113157023169,-0.00189324541418203,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000204093929517106,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,-0.0225242846964819,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127656298153992,0,0.0596796910069214,0,0.202146590892494,0.122793565913429,0,0.142073575559762,0,0,0,0,0,-0.078903385641138,0,0.318807484055195,0,0,0,0.0725332446865465,0,0,-0.169157848677185,0,0,0,0,0,0,0,0,0,-0.00442729636838131,-0.0482061506326425,0,0,0,0,0,0
X600188.SH,0,0.76537851166488,0,0,0,0,0,0,0,0,0.1327138274162,0,0,0,0,0,0,0,0,0,-0.0516805986217064,0,0,0,0,0,0,0,0.00840238885571715,0,0.0384024958443015,-0.0152609117139851,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170501615336544,0,0,0,0,0,0.00862110009095004,0.0556844760216692,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.469061100921452,0,0,0,0,0,0,0,0,0,0,0,0.0228909915856376,0,0,0,0,0,0,-0.108512546575005,0,-0.123666220580469,0,0,0,0.0394975273728106,0,0,0.162635019498956,0,0.109681276758604,0,0,0.18665270392359,0,0,0,0,0.0272886428507953,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0.0343233017601915,0,0,0,0,0,0,0,0,0,0.00148881308801215,0,0.0457642969142842,0,0,0.0151026998786888,0,0,0,0,-0.149058615608999,0,0.0415897322780886,0,0,0.408401232884486,0,0,0,0,0,0,0,0,0,0,0,0,0.164345358271381,0,0,0,0,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0.568498613811369,0,0,0,0,0,0,0,0,0,0,0.0169121036606907,0.0729265495172802,0,0,-3.46944695195361e-18,0.0503913479711787,0,0,0,0,0.0252013307640989,0,0,0.0417793302244776,0,0.405156675697263,0,0,0,0,0,0,0,-0.0352432454981038,0,0,0,0,-0.138596936075628,0,0,0.0518010219881221,0,0,0,-0.017131826205846,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.231553926453463,0,0.0257697715985033,0,0,0,0,0,0,0.247443754092473,0,0,0,0,0,0,0,0.0605285030781595,0,0,0,0,0,0,0,0,0.233562483088084,0,0,0.0418150394104164,0,0,0,0,0,0,0,0,0,0,0.019151322828931,0.0143147034064978,0,0.0668733301069723,0,0.0910803765667609,-0.00548352773098283,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261422091033677,0,0,0,0.268505612999259,0,0,0.12339167378102,0,0.0572538420611107,0,0,0,0,0,0,0,0.126839921323933,0,0,0,-0.269645197615812,0,0,0,0,0,-0.0428656331256846,0.127842236969244,0,0,0,0,0,0
