,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X600011.SH,X601898.SH,X600886.SH,X002460.SZ,X600010.SH,X601600.SH,X600660.SH,X002271.SZ,X600801.SH,X600362.SH,X600688.SH,X600188.SH,X000786.SZ,X600352.SH,X600795.SH,X601991.SH,X601992.SH,X600111.SH,X600027.SH,X002466.SZ,X600299.SH,X600489.SH,X000723.SZ,X600176.SH,X000553.SZ,X000401.SZ,X600426.SH,X000792.SZ,X000898.SZ,X601158.SH,X600219.SH,X600516.SH,X000932.SZ,X000883.SZ,X000709.SZ,X002075.SZ,X002353.SZ,X600583.SH,X000027.SZ,X000630.SZ,X600612.SH,X600126.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.24460400412317,0,0,0,0,0,0,0,0,0.097764246347786,0,0,0,0,0,0.11229080932061,0,0,0.0966881084123992,0.0161635357121526,0.056983879271573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151009340821472,0,0,0,0,0,0,0,0,0,0
X600028.SH,0.325398721948947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00988466331788356,0,0.0119554186103655,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.0973527182656037,0,0,0.0598539378047707,0,0,0,0,0,0,0,-0.00294433996377381,0.049678628682206,0.0126859011583399,0,0,0.0559732905416307,-0.0150865877664602,0,0.0251314235387689,-0.00759194911018884,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0.348959763892955,0,0,0,0,0,0,0,0,0.0975494083677375,0,0,0.0491609423050367,0,0,0,0,0,0,0.0697841430469393,0,0,0,0,0,0,0,0,0.122856352894342,0,0,0,0,0,0,0,-0.00353432386479006,0,0,0,0,0,0,-0.0447128072945983,0.0416665207597566,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0.0137744159039377,0,0,0,0,0.447613531504019,0.140627871528428,0,0,0,0,0,0,0,0,0,0.0138001068808275,0,0,0,0,0,0.114732757670966,0,0,0,0,0,0,0,0,0,-0.0107701200321791,0,0,0,0,0,0,0,0,0.00951296038244886,0,0,0,0,0,0
X600309.SH,0,0,0,0.0284577000017423,0,0,0,0,0,0,0,0,0,0,0,0,0.0342414182589817,0.224529218213463,-0.0225689277241418,0,0,0,0,0,0,0,0,0,0,0,0,0.323295791959682,0,0,0,0,0,0,0,0.0699327824946194,0,0,0,0,0.0831563466702554,0,0,0,0,0,0,0,0.00462763313187857,0,0,0,-0.190686397274813,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112337556637458,0,0,0,0,0,0,0,0,0,0,0.756542240271617,0,0,0,0,0,0,0,0,-0.162189092195456,0,0,0,0,0,0,0,0,0,0.296100122992991,0,0,0.0308022690514346,0.0147381098506206,0,0,0,0.0223335367282147,0,0
X600019.SH,0,0,0,0,0,0,0,0.0487537750549909,0,0,0,0,0,0,0.0195547366093831,0,0,0.232656733885112,0.0615168801899283,0.0615074472112238,0.153342921772183,0,0,0,0,0,0,0.0345755802190571,0,0,0,0,0,0,0,0,0.0203567497306002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00299332386827004,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0284331812994479,0,0,0.130489325645017,0,0,0,0,0,-0.0879150986353448,0.277447210247599,0,0,0.00348943723391271,0,0.355552616893113,0,0,0,0,0,0,0,0,0,-0.0536747215385983,0,0.270124415826972,0,0,0,0.108287106284106,0,0.0195805747139909,-0.0116476652645645,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0.0478555429599345,0,0,0.0437273060072565,0,0,0,0.0367445732473341,0,0,0.0381658941428601,0,0,0.108586990226264,0,0.474952186610199,0,0.00476880943182968,0,0.00130918512588505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127647811389966,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375374610455616,0,0,0,0,0.100926800478082,0.0475636094980583,0,0,0.0221018237847015,0,0,0,0,0,0,0,0,0,0.113236614351079,0,0.00645802283509913,0,0,0,0,0,0,0,0.0170981480692193,0,0,0,0,0,0,0,0,0,0
X600886.SH,0,0,0,0.111674677118208,0.262408105177393,-0.0373756322448711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120958873040404,0.00306136835958796,0,0,0,0.0985513828617897,0,0,0,0,0,0,0,3.46944695195361e-18,0.0458265856452767,0,0,0,0,0,0,0,0,-0.0357800805053051,0,0,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0.270719646363949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.106169914711801,0,0,0,0,0,0,0,0,0.164906446580092,0,0,0.0894022353578587,0,0,0.10697193756911,0,0,0,0,0,0,0,0,0,0.190638002961051,0.249620474584716,0.388730067469712,0,-0.181227083887522,0,0,0,-0.0123814383058773,0.0175391310540121,-0.553687135497096,0,0,0,0,0
