,X601857.SH,X600028.SH,X600309.SH,X601088.SH,X600585.SH,X002460.SZ,X600660.SH,X600019.SH,X000708.SZ,X002271.SZ,X600547.SH,X000786.SZ,X600176.SH,X002466.SZ,X600426.SH,X000301.SZ,X600362.SH,X600011.SH,X600111.SH,X600886.SH,X601600.SH,X601898.SH,X600010.SH,X600486.SH,X600352.SH,X600803.SH,X002353.SZ,X600188.SH,X601991.SH,X600489.SH,X002080.SZ,X600219.SH,X600795.SH,X600801.SH,X600688.SH,X600299.SH,X300037.SZ,X000723.SZ,X600027.SH,X000932.SZ,X000027.SZ,X601168.SH,X600157.SH,X600399.SH,X601992.SH,X002409.SZ,X600315.SH,X600516.SH,X000898.SZ,X300073.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,-0.0142854794987262,0.0334936008300879,0,-0.00820632700381881,0,0,0,-0.0101842481447608,0,0.0223739505385296,0.0271378685988614,0.0197943471010039,0,0,0.0183367930822161,0,0,0,0,0,0,0.0669093350729793,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0723877658561462,0,0,0,0,0,0,0,0,0,-0.00127761043049781,0,0,0,0,0.00325578671676926,0,0
X600028.SH,0,0,0,0,0,-0.00135927596109162,-0.0320703481154371,0,0,0,0,0,0,-0.00319830856578928,0.0530894525829878,0,0,0,0,0.0783643212555848,0,0,0,0,0,0,-0.0130799406491361,0,0,0,0,0,0,0,0,0,0,0.00128144846236651,0,0,0,0,0,0,0,0,0,0,0.217655411698325,0,0,0,-0.00693590663781803,0,0,0,-0.00374314634861397,0,0
X600309.SH,0,0,0,0,0,0.00819773900671779,0.0935169629148866,0,0,0.103222267325538,0,0,0,0,0,0.0129134143705525,0,0,0,0,0,0,0,0.237026311551928,0,0,0,0,0,0,0.0795089976984579,0,0,0,0,0,0,0,0,0,0,0,0,0.0799479545996079,0,0,0.178184645574495,0,0,0.0072419679412645,0,-0.00097459552413435,0.0336453995590481,0,0,0,-0.00947546076294188,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302168551980237,0,0.0130742468635306,0,0,0.10276993902698,0,0,0,0,0,0.413106385758583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0382091345783605,0,-0.00576274284752239,0,0.0959416056639597,0,0,0,0.0275135541231355,0,0,0,0,-0.0254369878542299,0,0
X600585.SH,0,0,0,0,0,0.016357746294369,0.0434843103111196,0,0,0,0,-0.145011383967782,-0.0271405755712771,0,0,0,-3.46944695195361e-18,0,-0.0288791518721146,0,0,0.0372362923874138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0586142823539801,0,0,0,0,0.109378579935891,0,0,0,-0.020487091032822,0,0,0.0700188195668457,0,0,0.0118623936580931,0,0,0,0,-0.0107120673241836,0,0
X002460.SZ,0,0,0,0,0,0,0.285036138459264,0,0,0,0,0,0,0.379479384361163,0,0.0188494105800153,0,0,0,0,-0.117804076282336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120242231883949,0.134439376269986,0,0,0,0.200134355841404,0,0,0,0,0,0,-0.113900444188285,0.448672908592288,0,-0.0169138945698801,-0.00768773772174437,0,0,0,-0.0100803138237117,0,0
X600660.SH,0,0,0,0,0,0.0507242693531293,0,0,0,0,0,0,0,-0.0207360551066814,0,0.13643030127783,0.0990319849516138,0,0,0,-0.0377995250582958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0510310286801472,-0.207295911001566,0,0,0,0,0,0.214267693391425,0,0,0,0,0,0,0,-0.00647153177888494,0,0,0,0,0.00212628660966426,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.265039947046045,0,0,0,0,0,0,0.0197311607137985,0,0,0.304388943608169,0,0.0261963329419885,0,0,0,0,0,0,0,0,0,0.10478811937601,0,0,0,0,0,0,0,0,0,0,0,0,0.0345189325606825,0,0,0,0,0,0,-0.0167534245362799,-0.0107120604101348,0,0,0,0,-0.0144994566377405,0,0
X000708.SZ,0,0,0,0,0,0,0,0.0599248641785224,0,0,0,0,0,0,0.0817478866008387,-0.0531499101098604,0,0,0,0,0,0,0,0,0,0,0,-0.0848896323253573,0,0,-0.0189248436470193,0.220996461528791,0,0,0,0,0,0,0,0,0,0.249058123758467,0,0.0890431986524844,0,-0.0467327569250958,0,0,0,0,0,0,0.0177521692787174,0,0,0,-0.0443421164674349,0,0
X002271.SZ,0,0,0.0759012532894272,0,0,0,0.246524667012909,0,-0.0958002681524812,0,0,0,0.0621871265457157,0,0.0759396534898022,0,0,0,0,0,0,0,0,0,0.0177540773805634,0,0,0,0,0,0.0626724146139546,0,0,0,0,0,0,0,0,0,0,0,0,0.0118741529043783,0,0,0,0,0,0,0,-0.0304826451500996,0,0,0,0,0.0254264949343947,0,0
X600547.SH,0,0,0.170831755176117,0,0,0.0307387050598779,0,0,-0.0228248166705021,0,0,0,-0.0139351212017802,0.0195220922614092,0,0,0,0,0,0,0,0,0,0,0,0,-0.0864892689283737,0,0,0.661268274821287,0,0.0147207615613294,0,0,0,0,0,0,0,0,0,0,0,0.0250469998421383,0,0,0,0,0,0,-0.0195356206502438,-0.0133759933736812,2.16840434497101e-19,0,0,0,0.00347844305735453,0,0
X000786.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.136581902786605,-0.102183619068388,0.131834483840086,0.0628947725057644,0,-0.177052045570909,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137891975838389,0,0,0,0,0,0.0319753599942839,0,0,0,0,0,0.00427672404897788,0,0,0.0334754681521523,-0.0607724369076678,0,-0.0130038665827686,0,0.0265965382810897,0,0,0,0,-0.0382547478267688,0,0
X600176.SH,0,0,0,0,0,0.0516724105623955,0,0,0,0.0691448745893193,0,0.0601443913535915,0,-0.11639899081169,0,0,0.234701293944853,0,0,0,0,0,0,0.0808377260441896,0,0,0,0,-0.14900501324843,0,0.129055989369883,0,0,0,0,0,0,0,0,0,0,0,0,-0.0401440977702779,0,0,-0.0473912096651818,0,0,0.41118157638597,0,0.0202071372769268,0,0,0,0,-5.42101086242752e-20,0,0
X002466.SZ,0,0,0,0,0,0.068573611462224,0,-0.608879808216915,0,0,0,0,0,0,0.0737682052265832,0,0,0,0,0,0,0,0,0,0,0,-0.110778662169972,0,0,0,0.0905520928007098,0,0,0,0,0,0.0155407596677273,0.0532205704150294,0,0,0,0.0722414094632293,0,0,0,0,0,0.404946531409666,0,0.554770529564004,0,0.0841259345434025,0,0,0,0,0,0,0
