,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600585.SH,X600019.SH,X600010.SH,X601898.SH,X601600.SH,X601991.SH,X600795.SH,X600886.SH,X600188.SH,X600362.SH,X600111.SH,X600688.SH,X600027.SH,X600309.SH,X601992.SH,X600583.SH,X000792.SZ,X000898.SZ,X601158.SH,X000709.SZ,X600157.SH,X600352.SH,X600547.SH,X002353.SZ,X600489.SH,X000831.SZ,X000539.SZ,X000630.SZ,X000629.SZ,X600660.SH,X600008.SH,X000825.SZ,X600808.SH,X600219.SH,X000027.SZ,X002470.SZ,X600549.SH,X600578.SH,X600315.SH,X600307.SH,X600098.SH,X600021.SH,X000060.SZ,X601699.SH,X000983.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.413769195555645,0,0,0,0,0,0,0.0584225437557445,0,0,0.21405913058637,0.0389594400077983,0,0,0,0,0.0300354520569617,0,0,0,0,0,-1.73472347597681e-18,0,0.01544825133767,0.0703418822192432,0,0,0.063315762883228,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0207693663481783,0.00709500979432123,0,0,0,0,0,0
X600028.SH,0.578219308712557,0,0,0,0,0,0,0,0.159069171811861,0,0,0,0,0,0,0.0801086593026447,0,0,0,0.0195873329675548,0,0,0,0,0,0,0,0,0.00310688155724659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0914748838980752,0,0,0,0,0,0,-0.00261256273158261,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.0748696578972432,0,0.306009028115151,0,0,0,0,0.2123912752134,0.00153328402738121,0,0,0,0.039543572335987,0,0,0,0,-0.0368075906131615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0691018319724566,0,0,0,0,0,0,0.226744719945272,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.107575685921827,0.168687639539579,0,0.0850448497423721,0.177846675713717,0.105147616807925,0.00351513297564258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056160824027808,0.0133185023871455,0,0,0,0.170444019458953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0.0370303203977865,0,0,-8.67361737988404e-19,0,0,0.0504332923041718,0,0,0.115390769866134,0,0,0,0.117213620271844,0,0,0,0,0,0.0406728727250656,0,0,0,0.0345200879672435,0,0,0,0.0361082840689504,0,0,0,0,0,0,0,0,0,0,0.20678743541519,0,0,0.0859712888183627,6.93889390390723e-18,0,0,0.00620557905237416,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0362572312694537,0.14091388219902,0,0,0,0,0.0926137241890458,0,0.37984495338947,0,0,0,0,0,0,0.062351380670578,0,0,0,0,0,0,-0.00761042348199451,0,0,0,0,0,0,0,0.0481694098822091,0,0,0,0,-0.00239892436347676,0.0139272815184369,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0380921475379925,0,0,0,0,0,0,0,0,0.600564632435675,0,0,0,-0.0186548437347168,0,0,0,0.0466607808647354,0,0,0,0,0,0,0,0,0,0,0,0,0.0372246364748453,0,0,0,0,0,0,0,0.0543265720017514,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.0167419397886571,0.167454946060406,0,0,0,0,0,0,0,0,0,0,0,0.0142492998726362,0,0,0,0,0,0,0,0,0,0,0.0964905800933324,0,0,0.0602955582456876,0,-2.16840434497101e-19,0,0,0,0.0738963512152069,0,0,0.00267386593879627,0,0,0.0969812176971065,0.322087842551123,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.314531626035297,0,0.0109249109256167,0,0.121784278941245,0,0,0,0,0.287686934231838,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0282749418015347,0,0.192045570454512,0,0,0,0.0467017878986907,0.00846864982619891,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00368461593658667,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,-0.0294896944163813,0,0.273397141582843,0,0.0489366742796484,3.46944695195361e-18,0,0,0,0,0.29188246253151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0.0879612986975283,0,0.0577133682152261,0,0,0,0,0,0.181574477797414,0,0,0,0,0.0512652213697497,0,0,0,0,0,0,0
