,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X601898.SH,X600011.SH,X600585.SH,X600547.SH,X600660.SH,X600886.SH,X601600.SH,X002466.SZ,X000792.SZ,X002460.SZ,X600795.SH,X601699.SH,X000708.SZ,X600111.SH,X600010.SH,X600362.SH,X000301.SZ,X000877.SZ,X000983.SZ,X600426.SH,X600027.SH,X600803.SH,X002271.SZ,X600489.SH,X601991.SH,X600160.SH,X600985.SH,X000807.SZ,X000786.SZ,X600176.SH,X000408.SZ,X000630.SZ,X600612.SH,X000933.SZ,X000932.SZ,X300037.SZ,X600348.SH,X600219.SH,X600995.SH,X002128.SZ,X601168.SH,X600688.SH,X600157.SH,X000629.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.782829718470704,0,0,0,-0.0105175548912402,0,0,0,0,0,0.0689905548613083,0,-0.196944844186784,0,0,0.219270502983847,0,0,0,0,0,0,0,0,0,0,0,-0.178522094816985,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0.282828895633123,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0433009731323004,-0.025946520241669,0,0,0.0369655412880854,0,0
X600028.SH,0.608830736262533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0190628278150158,0,0,0,0,0,0,0,0,0.0345073254744855,0,0.018316430505851,0.0526940872363582,0,0,0,0,0,0,0,0,0,0,0,0,-0.113395859623808,0,0.0895737188893838,0,0,0,0,0,0,-0.00749317532460424,-0.00410109104976191,0,0,0,0,0,0
X601088.SH,0.167995545115891,0.0139511731278316,0,0,0.0973190147835282,0,0.200429926713834,0,0,0,0,0,0,0,0,0,0,0.0310865360143587,0,-0.098386342828762,0,0,0,0,0.0357278744313646,0,0,-0.0385157852552425,0,0,0,0,0,0,0,0.0888425642641421,0,0,0,0,0,-0.1647641613392,0,0,0,0,0,0,0,0,0,0.0048549250026822,0.000714083763215142,0,0,0,0,0,0
X600309.SH,0,0,0,0,0.0539295276037978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59718471946471,0,0,0,0,0,0.226605274315952,0,0,0,0.0661574357682701,0.203479013572279,0,0,0,0,0,0,0,0.0675004846919977,0,0,0,0,0,0,0,0.429389091653056,0,0,-0.0168043314993353,0.0503122821387221,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0.286543559094513,0,0,0.132454089542788,0,0,0,0,0,0,0,0.23242975875951,0,0,0,0,0,0,0.0865800204324763,0,0,0,0,0,0,0.0333292080509904,0.116621345352963,0,0,0,0,0,0,0.179517577077607,0,0,0,0,0,0,0,0,0,0,0,-0.00110653173089555,-0.0100213994962374,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.104031792608075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120759314783309,0,0.629270149222812,0,0,0.171186837705982,0.425868295396229,0,0,0,0,0,0.0365366912346872,0.0994524812588638,0,0,-0.0627156665815678,0.0149452351769336,0.0138648106752257,0,0,0,0,0,0
X601898.SH,0.0989083199806087,0,0.141000445462855,0,0.279896424298138,0.00546296033631457,0,0,0,0,0,0.00575326796365173,0,0,0,0.060966440144713,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.0461623063304033,0,0,0,0,0.0221242281036009,0,0,0,0,0,0.0278131702146206,0,0,0,0,0,0,-0.0131928838142885,0,0,0,0.0105196507342813,0,0
X600011.SH,0,0,0,0,0,-0.013429733850848,0,0,0,0,0,0.10192230013345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371634680433268,0,0,0,0,0,0,0,0,0.0736180527070505,0,0,0,-0.0243408670361912,-0.0184986881866511,0,0,0,0.161307361031804,0,0,0,0,0,0,0.000785774022692827,-0.00273602856939777,0,0,0,0,0,0
X600585.SH,0,0.053479849451156,0,0.0671671421200188,0,0,0,0,0,0,-0.072700318688248,0,0,0,0,0,0,0,0,0,0,0,0,0.318594777914011,0.0439245184083423,0.115719477721846,0,0,0.216395383084984,-0.0618044736989949,0,0,-0.0215598483919882,0,0.0172232204097311,0.0803186268173262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0149923548968579,0.00779450877730891,-0.112620780328245,0,0,0,0,0
X600547.SH,0,0.00238781479212164,0,0,0.104948973030821,0,0,-0.0579801162146107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00266174994813796,-0.0924972350950811,0,0,0.0233091479531796,0.566096585021567,0,0,0,0,0.00269044225006043,0,0,0,0.0183643185645819,0,0,0,0,0,0,0,0,0,0,0.0404960409131245,-0.00324811560137536,0.00636358254625594,0,0,0,0,0,0,0
