,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600688.SH,X601600.SH,X600795.SH,X600027.SH,X600547.SH,X601991.SH,X600111.SH,X600157.SH,X600362.SH,X600188.SH,X002466.SZ,X600886.SH,X601992.SH,X600623.SH,X600309.SH,X000792.SZ,X600299.SH,X600489.SH,X600660.SH,X600549.SH,X300072.SZ,X601158.SH,X600583.SH,X000883.SZ,X002075.SZ,X000709.SZ,X000723.SZ,X002407.SZ,X600352.SH,X000539.SZ,X000898.SZ,X002460.SZ,X000027.SZ,X002470.SZ,X000630.SZ,X000761.SZ,X000012.SZ,X000983.SZ,X000060.SZ,X600176.SH,X600021.SH,X600219.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.058966619621512,0,0,0,0,0,0.0197485681600825,0,0.0555270719979618,0,0,0,0,0,0.15999045566592,0,0,0,0,-0.0441084866978771,0,0,0,0,-0.0141259714395263,0,-0.0491663752511393,0,0,0,0,-0.00610875441756989,0,0,0,0,0,0,0.0875539796524226,0,0,0,0,0,0.00658742726419348,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.241766487712408,0,0,0,0,0,0,-0.0324004829180742,0,0,0,0,0,0,0.131533771103079,0,0,0,0,-0.00857956602546735,0,0,0.0748963719469597,0,0,0,-0.0493246891675582,-0.0361239602318818,0,0,0,0,0,0.00803375045838715,0,0,0,0,0,0,0,0.0201728216084519,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.0304750461929049,0.249293156103339,0,0,0,0,-0.0284454733627959,0,0.0188749115085843,0.0257309237652054,0,0,0,0,0,0,0,0,0,0,0,0.04318211813712,0,0,0,0,0,0,0.0736200701007805,-0.005379709029546,0,0,0,0,0,0,0,0,0,0.0351057903371429,0,0,0,0,0,0.0110009468723596,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.0670344416642376,0,0.142062407900638,0,0,0,-0.0168463782776648,0,0.0152686686590796,0.00748385511469088,0,0,0.0132901628431942,0.106921200678104,0,0.0282599234402562,0,0.0727013409772853,0,0,0,0.00192236462295438,0,0.0862595646937844,0,0,-0.0566738311711365,0,0,0,0,0,0,0,0,0,0,0,0,0.0290242570854049,0,0,0,0,0,-0.0413968413132504,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.00290673777668295,0,0,0,0,0,0.395910432487919,0,0,0,0,0,0,0.0297857674665649,0,0,0.0446251872611272,0,0,0,0.00837098958774621,0,0,0,-8.67361737988404e-19,0,0.168010917012166,0,0,0,0,0,0,0.0451950595446629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00271951162970646,0,0,0,0,0,0,0.0411972919882687,0,0,0,0,0,0.0790794936506245,0,0.104871694414153,0,0,0,0.050500790877497,0,0,0,0,0.238951932010565,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00514623632258812,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.127145403138265,0,0.194236476944329,0,0,0,-0.0272386985302714,0,0,0.0656328852795239,0,0,0.0645839096044871,0,0,0.105998098279993,0,0,0,0,0,0,0,0,0,0,0,0.124038986354468,0,0,0,0,0,0,0,-0.111539383009171,0,0,0,0,0,0.0652998866248687,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.0315615958525466,0.148869248642819,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0.181094404242965,0,0,0,0.0256626622236128,0.0598392429710638,0,0,0,0.0416680214742861,0,0.0515901345005914,0,0,0,0,0,0,0,0.0242792645621176,0.0649452902135895,0,0.128444672253314,0,0.050331358389319,0,0,0,0,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0960035843258006,0,0,0,0,0,0,0,0,0,0.0336835365255877,0.312233135325675,0,0,0.199374109198946,0.119294267191803,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0283392761737948,0.0470674046760438,0,0,0,-0.0360828405885398,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0.00686112980238853,0,0,0,0,0,0.0980989704478742,-4.33680868994202e-19,0,0,0,0,0,0.0753746534923278,0,0,0,0,0,0.0962090071565025,0,0,0,0,0.0932201036108844,0,0.114656717483043,0,0,0,0,0,0,0,0,0,0,0,0.113627630611152,0,0,0,0,0.0391210984201233,0,0,0,0,0,0,0
