,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X600011.SH,X600547.SH,X601898.SH,X601600.SH,X600660.SH,X002460.SZ,X002466.SZ,X000792.SZ,X600886.SH,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X600426.SH,X600795.SH,X000877.SZ,X600362.SH,X002271.SZ,X601699.SH,X000983.SZ,X600803.SH,X600489.SH,X600176.SH,X600027.SH,X000807.SZ,X000786.SZ,X601991.SH,X000932.SZ,X600160.SH,X000630.SZ,X000933.SZ,X600219.SH,X000408.SZ,X600985.SH,X000629.SZ,X300037.SZ,X600688.SH,X002080.SZ,X002409.SZ,X601168.SH,X600096.SH,X002353.SZ,X600801.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.975070113371526,0,0,0,0,0,0,0,0.0903697993954362,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,-0.0564441862543807,0,0,0,0,0,0,0,0.0940041622139926,0,0,0,0,0,0.034473979586668,0,0,0,0,0.114478864272943,0,0,-0.0328245599288378,0.0341025127281978,-0.00388535258499819,0,0,0,0,0,0,0
X600028.SH,0.526509156136777,0,0,0,0,0.050480442564602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112122758176117,0,0,0,0,0,0.0226730371453249,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0881559600618372,-0.0947271343831416,0,-0.0669435782347908,0.00842236452362961,-0.0151749253647719,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.307004459691959,0,0,-0.0614796739376218,0,0,0,0,0,0,0,0,0.230521973296447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0329802356524436,0,0,0,-0.0512113762174416,0,0,0,0,0,0,0,0,0,0,0.105034495293619,0,0,0,0,-0.00275383543573105,-0.00180275833236961,0.0544591564055924,0,0,0,0,0
X600309.SH,0.0732191656829088,0,0,0,0.036691055297934,0,0,0,0,0,0.157193645161217,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0752220600552712,0,0,0.00993038747846356,0,0,0,0.0922858219030704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0782005158957492,0,0,0,0,0.0303080587342281,0,0,0,0,0,0,0
X600188.SH,0,0,0.515554380801473,-0.262726485276432,0,0,0,0,-0.140910254299427,0,0.430475296315356,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0852252376354822,0.0607976360991473,0,0,0,0,0,0.00796869018885952,0,0,0,0,0,0.135807182210025,0,0,0,0,0,0,0,-0.0554125478716489,0,0,0,0,0,0,-0.0213332573372558,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.0168989602870813,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167444536965353,0,0,0,0.0533589045787065,0,0,0,0.0545296412965788,0.123772835162884,0,0,0,0,0,0,0.301762975424046,0,0,0,0,0,0,0,-0.180553059663028,0,0,-0.0441774318563599,0,0,0,0.0575808478601313,-0.0419853793061396,5.42101086242752e-20,0.0204372770163508,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0.154187521979384,0,-0.176889990539517,0,0,0,0,0,0.0340502551833182,0,0,0,0,0,0.0963282252381116,0,0,0,0,0,-0.0858443684886889,0.0372740594306393,0,0,0,-0.0256071347272603,0,0,0,0,-0.08895429359556,0,0,0,0,0,0,0,0,0.469766011914719,0,-0.0155489184305246,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.167698408298291,0,0,0,0,0,0,0,0,0,0,0.236175932821493,0,0,0,0,0,0,0,0,-0.1580644345102,0,0,0,0,0,0.73063378154745,0,0,0,0,0.0854095657072053,0,0,0,0,0,-0.0223383903101819,0.152224038584314,0,-0.0128070062188804,0.0227831079603019,0,0,0,0,-0.181171562899305,0.0133306929215768,-0.0218291579393335,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,-0.15178454667127,0,0,0,-0.0952083611839444,0,0,0,0,0,0,0,0,0,0,-0.0361924166713876,0,0,0.0659514896100487,0.0262408001995398,-0.018813896243276,0.169655452664972,0.656517373930598,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0775558941259965,0,3.46944695195361e-18,0,0,0.0282927184076894,0.0470803978275163,-0.0889324394296849,0,-0.00897913290398628,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0551794619631394,0,0,0.0929352161335356,0.164263319336462,0.0863663168306235,0,0,0,0,0,0,0,0,0.191474963652699,0,0,0,0.0638939056290957,0.110709924005532,-0.142826544314703,0,0,0,0.0371647603489469,0,0,0,0,-0.0137730581655866,0,0,0,0,0,0,0
