,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600011.SH,X600019.SH,X600585.SH,X601600.SH,X600660.SH,X600547.SH,X600886.SH,X000792.SZ,X600795.SH,X002466.SZ,X002460.SZ,X600362.SH,X000708.SZ,X600111.SH,X600010.SH,X601699.SH,X000301.SZ,X600027.SH,X000983.SZ,X000877.SZ,X600803.SH,X600489.SH,X600160.SH,X600426.SH,X601991.SH,X000630.SZ,X000408.SZ,X000786.SZ,X601168.SH,X002271.SZ,X000807.SZ,X000933.SZ,X600985.SH,X600176.SH,X600612.SH,X600219.SH,X002128.SZ,X000932.SZ,X600096.SH,X600348.SH,X000883.SZ,X002353.SZ,X000027.SZ,X600995.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.2584364136507,0.143900392457557,0,0.00460211227415551,0,0,0,0,0.0424053965311998,0,0,0,0,0,0,0,0,0,-0.0349858526967256,0,0.021213251901416,0,0,0.110865994916145,0,0,0,0,0,0,0,0.0687464508921671,0,0,0,0,0,0,-0.0109954131987586,0,0,0,0,0,0,0,0,0,0,0,0.00258638673986876,0,0.0563557512765882,0,0,0,0,0
X601088.SH,0,0,0,0,0.200319029775836,0.0912243097613908,0.119117483567126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202819121957678,0,0,0,0,0,0,0,0,0,0,0,0,0.0185418736306585,0.00789297535789222,-0.0156253399588226,0,0,0,0,0,0,0,0,0,0,0,0,-0.0137887432583003,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.120251665095573,0,0,0,0,0,0.219541265385144,0,0,0,-0.0723838776826864,0,0,0,0,0,-8.67361737988404e-19,0,0.060846156062623,0,0,0,0,0,0,0,0,0,0,0.111748896495319,-0.0123469875970878,0,0,0.00477606292553214,-0.0311728358534272,0,0,0,0.0768864650519547,0,0,0,0,0,0,0,0,0.023141251220502,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0697300560956748,0,0,0,0,0.0995672080422374,0.0212915116526418,0,0,0,0,0.258376781341163,0.219398044695077,0,0,0,0.133184096054358,0,0,0,0,0,-8.67361737988404e-19,-0.168770169519874,0,0,0,0,0,0,0.111204653625113,0,0,0,0.0158970240148567,-0.0282138980415238,0,0,0,0,0,0
X600188.SH,0,8.67361737988404e-19,0,0,0,0.146222628069291,0,0,0,0,0,0,0,0,0.065679558535365,0,0,0,0,0,0,0.286292925261767,0,0,0.221494634583046,0,0,0.0416739144758915,0.00845047356330305,0,0.0101722275277705,0,0,0,0.000461783879933182,0,0,0,0,0,0.0109279910560696,0,0.139826567693476,0,0,0,0,0,0,0,0,0,-0.0215780951872286,0,0,0,0,0,0
X601898.SH,0,0.0174622914535579,0,0,0.0946591715191731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36200518042626,0.364548888063028,0,0,0,0,0,0,0,0,0.0222372871378944,0,0,0,0,0.139816131228677,0,0,0,0,0,0,0,0,0,0,0,0,-0.0151072500706929,0,0.144008903062961,0,0,0,0,0
X600011.SH,0,0,0,0,-3.46944695195361e-18,0.269869297606358,0,0,0,0,0,0,0,0,0.0236036848642233,0,0,0,0,0,0,0,0,0.282466236314978,0,-0.128658204917189,0,0,0,0,0.146353449503156,0,0.0183525430546773,0,0.0431880675567372,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00450824596613034,0,0,0.0351419748491788,-0.0385390826959411,0,0.0425892733192167,0,0,0,0
X600019.SH,0,0,0,0,0.157030785442899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0725305766490174,0,0,0,0,0,-0.0322768497923133,0.108281316380616,0,0,-0.0137981047016309,0,0,-0.0729604920224132,0,0,0.0782122695267233,0,0,0,0,0,-0.0373958988282798,0.0208972582529076,0.0198742908606762,0,0,0,0,0,0,0
X600585.SH,0.0892715378721432,0,0,0.18659431509929,0,0,0,0,0,0,0.0372684601273044,0,0,0,0,0,0.0209655655612334,0,0,0,0,0,0.00299619953085239,0,0,0,0,0,0.089564484982519,0,-0.0549125160872694,0,0,0.146544912825204,0,0,0,0,0,0.19259869460668,0,0,0,0,0,0,0,0,0,0,0,-0.0205209984423839,0.00901219914345525,-0.0649083286687384,0,0,0,0,0
X601600.SH,0.226484668632237,0,0.016304628330949,0,0.0186323994990732,0,0,0,0,0,0,0.0267421420891067,0,0,0.0384720172627592,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.188770594341932,0,0.00592840889446033,0,0,0.288388820675765,0.0408157655771734,0,0,0,0,0,0,0,0,0,0,0,0.0785190472287478,0,-0.0101550197909988,0,0.00846258206337999,0,0,0,0,0
X600660.SH,0.11329314180651,0,0,0,0,0,0,0,0,0,0,0,0.0174949227440868,0,0,0,0,0,-0.109650767077033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0768713475229719,-0.0488123113339466,0,0,0,-0.00184550316097399,0,0,0,0,0,0,0,0,0.203681814944842,0,-0.0293575562824379,0.0656407517393522,0.0514272774946473,0.0652473835613733,0,0,0,0
X600547.SH,0,0,0,0,-0.196511352451284,0,0,0,0,0,0,0,0,0,0,-0.023730506113495,0,0,0,0,0,0,0,0,0,0,0,0.594648599598253,0,0.00753364703484546,0,0,0,0,0,0,0,0.0907288964810721,0,0,0,0,0,0,0,0,0,0,0.0821423072313233,0.0777998441428565,0,-0.0176358350161191,0,-0.0457471601176947,0,0,0,0,0
X600886.SH,0,0,0,0,0.0943331452246812,0,0,0,0,0,0,0,0,0,0.393357152678626,0,-5.90236842137899e-05,0,0,0,0,0,0,0,0,0,0,0,0.0116524805061288,0,0,0,0,-0.0441751287453302,0.0154101423762654,-0.0359724785179561,0,0,0.0151926516294156,0,0,0,0.0956629495980792,0,0,0.00756279132721174,0,0,0,0,0.0962691370264538,-0.00605701919409852,0,0,0,0,0,0,0
