,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X000708.SZ,X600011.SH,X002460.SZ,X601898.SH,X600660.SH,X600010.SH,X600688.SH,X601600.SH,X600886.SH,X600801.SH,X600362.SH,X000786.SZ,X002271.SZ,X002466.SZ,X600352.SH,X600188.SH,X600795.SH,X601991.SH,X601992.SH,X600111.SH,X600027.SH,X000723.SZ,X600176.SH,X002353.SZ,X600299.SH,X600489.SH,X000792.SZ,X600516.SH,X000553.SZ,X600426.SH,X000898.SZ,X601158.SH,X000401.SZ,X600219.SH,X600583.SH,X000932.SZ,X000709.SZ,X000883.SZ,X600612.SH,X002080.SZ,X600486.SH,X000630.SZ,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.0307483607402247,0.195149393548004,0,0,0.0739558191098525,0.131690273210563,0,0,0,0,0,0.0527189722997698,0,0,0,0,0.0362431583503942,0,0,0,0,0,0,0.0960517579266784,0,0,0,0,0,0,0,0,0,0,0,0,0.193140245542408,0,0,0,0,0,0,0,0,0,0,0.0279200780097557,0,0
X600028.SH,0.357635196522996,0,0,0,0,0,0,0,0,0,0,0,0,0.0721109265944283,0.0047414302429675,0,0,0,0.0323011947102744,0,0.0270267760498099,0,0,0,0,0,0,0,0,0,0.0327973064184474,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0.0645862818156715,0,0,0,0,0.00335192145943018,0,0,0,0,1.0842021724855e-19,-0.0126118110271567,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0389109556433907,0.192429849929745,0,0,0.0627135624277999,0,0,0.0310566528053056,0,0,0,0,0,0,0.00718399625010299,0,0.107731950690529,0,0,0,0,0.00569086961108859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,-0.0071572130081951,0,0,0,0,0,0,0,0,0,0.418568830138815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000763963702328776,0,0,0.183584832041345,0,0,0.0946137337296694,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.0139622047412106,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0.0887571066724537,0,-0.147059931667348,0,0,0.0728985278945823,0.0914927298697485,0,0,-0.0648781313380263,-3.46944695195361e-18,0,0,0,0,0,0,-0.043310176896654,0,0,0,0,0,0.172699067204053,0,0.041926444555254,0,0,0,0,0,0,0,0,0,0.221080164551546,0.101469595509911,0,0,0.11985321628165,-0.0166796326545676,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.00756773678390859,0,0,0,0,0,0,0,0,0.104066106992136,0.144858154737469,0,0,0,0.000883578236615341,0,0,0,0.13498284667069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0382634077804507,0,0,0,0.0359994510369592,0,0,0,0,0.000990970488869391,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0.0116395815137346,0,-0.0104133615413377,0,0,0,0,0,0,0,0,0,0.00420015344983172,-0.0533553581797194,0,0,0,0,-0.0204204725678141,0,0,0,0,0,0.0399700911908226,0.897305219468319,0,0,0,0,0,0,0,0,0,0,0,0,0.280609274679993,-0.0302718880569602,-0.0180552957035853,0,0,0,0.0129674358962914,-8.67361737988404e-19,0,0,0,3.46944695195361e-18,0,0
X000708.SZ,0,0,0,0,0,0,-0.112069642579027,0,0,-0.159668563742679,0,0,0,0,0,0,0,0,0,0,-0.0491926625172193,0.0287374187192994,0,0,0,0,0,0,0,0,0.1136776225808,0.437011625951886,0,0,0,0,0,0,0,0,0,0,0.145942469845249,0,0.0462978559763829,0,0.304895549627551,0.0188714466363609,0,0,0,-0.0127091184707643,0.040686022921965,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0.0329642625226765,0,0,0,0.0252815487359927,0,0,0,0,0,0,0,0,0,0.114035727727289,0,0,0,0,0.0622504718020743,0,0,0,0,0,0,0.0434222900649707,0,0,0,0,0.315137103941543,0,0.176733306850656,0,0,0,0.0632167685543917,0,0,0,0,0.062217943678122,-0.0514665759437977,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,-0.0181343097262708,0.356797723480796,0,0,0,0,0,0,0,0,0,0,0,0.0506298902510498,0,0,0,0,0,0,0,0.0743615683987686,0,0.0115199272991778,0,0,0,0,0,0,0,0,0,0,0.389348274858492,0,0,0,0,0,0,0,0,0,-0.038915756569964,0.0592037015954925,0,0,0,0,0,0
