,X601857.SH,X600028.SH,X601088.SH,X600010.SH,X600011.SH,X600019.SH,X600585.SH,X600886.SH,X601898.SH,X600795.SH,X601600.SH,X601991.SH,X600688.SH,X000709.SZ,X000539.SZ,X600027.SH,X600188.SH,X600362.SH,X002075.SZ,X600111.SH,X600157.SH,X600583.SH,X601158.SH,X600309.SH,X000898.SZ,X002353.SZ,X600352.SH,X601992.SH,X600021.SH,X000878.SZ,X600660.SH,X600808.SH,X000959.SZ,X002470.SZ,X000629.SZ,X000027.SZ,X000883.SZ,X000792.SZ,X600863.SH,X600489.SH,X600578.SH,X000825.SZ,X600315.SH,X000012.SZ,X600395.SH,X600547.SH,X000761.SZ,X000060.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.534336193011457,0,0,0,0,0,0,0,0,0,0.134145132621448,0,0,0,0,0.0473696083443391,0,0,0,-3.46944695195361e-18,0,0,0.0341203156610965,0.0369999571328515,0,0,0,0,0,0,0,0,0.0526738938601319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00667994746752127,-0.00833478379131064,0,0,0,0,0,0
X600028.SH,0.457674925452971,0,0,0,0.0142004714519622,0.114105871265669,0,0,0.0343353934666726,0,0.0745646640966706,0,0.0200786652833599,0,0,0,0,0,0,0,0.117712723518141,0,0.0479188802615153,0,0.0318811390643206,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.0249956416045901,0.0300254622370542,0.0138891220095565,0.13867675104503,0,0.136311007808383,0.0725605062738635,0,0,0,0,1.0842021724855e-19,0,0,0,0.127180142457353,0,0,0,0,0,0.118061606918168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0108310901044087,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1275667385577,0.0380089322333816,0,0,0,0,0,0,0,0.177520283528933,0,0,0.197241234521819,0,0,0.150226074392343,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.15203126979481,0,0.00586127794751035,-0.00734618342982908,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0.107784936441716,0,0.0066454527696083,0.113208887361078,0,0,0,0.164369319570364,0,0,0,0,0,0,0.026969557492961,0,0,0,0,0,0.00147151948288883,0,0,0,0,0,0,0,0,0,0.0600893140243139,0,0.371450722670482,0,0,0,0,0,0,0,0,-0.00638083074861116,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.0781748766238422,0,0,0,0.118406722644166,0,0.0203736695529474,0.0489745703319704,0,0,0,0,0,0,0,0,0,0.0942484247430931,0,0,0.308272183022375,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0561048856933347,0,0,0,0,0,0,0,0,0,0,-0.00202579046045042,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.187063035803006,0,0,0,0.113586934895637,-6.93889390390723e-18,0,0,0,0,0,0,0.0616833272513306,0,0,0,0,0,0,0.0829977069294875,0,0.0780880926178985,0,0.0205514481094866,0,0,0,0,0,0,0,0,0,0.0538900906524836,0,0.0259010957797082,0,0,0,0,0,0,0,0,-0.01819920420426,-0.0120772079367326,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0.148657381234173,0,0,0,0,0,0,0,0.103391897360645,0.226280307681667,0,0,0,0,0,0,0,0.0363728509009849,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0528146977874802,0,0,0,0.205428547237273,0,0,-0.0447963086478978,0,-0.0376843093345615,0,0.0579444575785063,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0.180319631964644,0,0.0820777333715232,0,0,0,0,0.026528724524447,0,0,0,0,0,0,0,0,0,0.170108468079387,0,0,0,0,0,0,0,0.111576525850114,0,0.224822452290049,0.0794504552592299,0,0.0992244520127158,0,0,0,0,0,0,0.0284275620280163,0,0.00549108225445444,-0.00974127027799224,0,0,0,0,0,0
X600795.SH,0,0,0,-5.42101086242752e-20,0,0,0,0.0119975004819135,0,0,0.109162774847014,0.0661167100223656,0,0,0,0,0,0,0,0,0.0662567822097766,0.00718942014185823,0,0,0,0,0,0,0.11363032352022,0,0,0,0,0,0,0,0,0,0.333066392581143,0,0.115507355227851,0,0,0.0562258558431557,0,0,0,0,0,0.00578931763182237,0.0227432125651237,0,0,0,0,0,0
