,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600547.SH,X600019.SH,X002271.SZ,X600011.SH,X000708.SZ,X600660.SH,X002460.SZ,X600886.SH,X000786.SZ,X600801.SH,X600010.SH,X601898.SH,X600176.SH,X600362.SH,X601600.SH,X600489.SH,X600188.SH,X600352.SH,X601991.SH,X600426.SH,X600795.SH,X600111.SH,X600688.SH,X600027.SH,X600299.SH,X601992.SH,X002080.SZ,X000932.SZ,X000301.SZ,X002466.SZ,X600803.SH,X002353.SZ,X600529.SH,X600486.SH,X600219.SH,X002075.SZ,X000723.SZ,X002409.SZ,X000027.SZ,X601158.SH,X600315.SH,X600612.SH,X000898.SZ,X000883.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.0809546758771321,0,0,0,0,0,0,0,0,0.0508060045204877,0,0,0,0,0,0.0391524459311651,0,0.0666092883195115,0,0.043111230230576,0,0,0,0,-0.00460215141701783,0,0,0,0,0,0,0,0,0,0.0271654995210303,-0.0591241753240656,0,0.08579747645575,0,0,0,0.00619478597687098,0,0,0,0,0,0,0,-0.000688871580283797,0.0101942984490271,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.0450636537500377,0,0,0.0579559627791447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0209377294326732,0,0,0,0,0.0555843351136463,-0.00997615952138045,0,0.0461645875756521,0,0.00853544459142085,0,0.011008446800024,0,0,0,0.0747102965904442,0,0,0,-0.0150804768685565,0.0113440519160158,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0.0197215678054828,0,0,0,0,0,0,0,0,0,0,0,0.343211866810125,0.131856594688918,0,0,0,0,0,0,0,0,-0.00545558713914127,0,0,0,0,0,-0.0188040635642964,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00632648397572882,0.00644416195809484,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0259522362809485,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0.000962640544577235,0.0529993809506018,0.229520595228411,0,0.00267238653223759,0,0,0,0,0.0237320816188719,0,0,0,0,0,0,0,5.42101086242752e-20,0,0,0,0,0.0526382385513123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0.300156921187287,0,0.25865494069226,0,0.0343924793972773,0.303723738513735,0,0,0,0,0,0,-0.0625416240564679,0,0,0.00955574577572881,0,0,0,0.288789109807099,0,0,0,0,0,0,0,0,0,0.106638551897442,0,0.00835106741309003,-0.129540236914447,0,0,0,0,-0.0843674988968067,0,0,0,0,0,0,0,0,0.0136873821161261,-0.0357765646550268,0,0,0,0,0,0
X600547.SH,0,0,0,0,0.00729072324234518,0,0,0.0847651705592002,0,0,0,0.00852658343603964,0,0,0,0,0,0,0,0,0.484130802830638,0,0,0,0.00283173100356993,0,0.00582309602930581,0,0,0,0,0.0372290136166738,0,0,0,0.0216942131915092,0,0,0,0.088566981513965,0,0,0,0,0,0.0183225433625937,0.219868558343911,0,0,0,0,0,-0.0249432703744768,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.0574287196968786,0,0,0.0166643932865081,0,0,0,0,0,0,0,0.0434270313332699,0,0.0919825240148741,0,0,0,0,0,0,0,0,0,0,0.196605045211865,0,0,0,0,0,0,0.0411004250489132,0,0.0845433509281698,0.031675429886308,0,0,0,0,0,0,0,0,-0.00208295528040392,0.00384291543479635,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0.0428462020576835,0,0,0,0,0,0.0805027701653335,0,0,0,0,0,0,0.276955848458101,0,0,0,0,0,0,0.195606726489718,0,0.130104303437085,0,0,0,0,0,0,0,0,0.0487109861180891,0,0,0,0,0,-0.0681749449645679,0.101369302775719,0,0,0.168923510214781,-0.0796298108742237,0,0,0,0,0.0436760198124362,-0.00630566828658962,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,-0.176653869421791,0,0.1815081318549,0,0,0,0,0,0,0,0,0,0,0,0,0.0333413755121911,0,0.893746719616348,0.0523414320057315,0,0,0,-0.0682345379178368,0.0906694097434123,0,-0.0617774700370706,0,0,0,0,0.1529283775322,0,0,0,0,0,0,0,0,0,0.0148906918808111,0.0221528088593243,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0493623088588268,0,0,0,-0.0983206034627268,0,0.147717192632339,0,0,0.104665577938348,0,0,0.0554090315181435,0,0,0,0.0564634216278949,0,0,0,0,0.262573636606839,0,0,0,0,0,0,0,0,0,0,0.0346854815096613,0,0,0,0,0,0
