,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X000792.SZ,X600019.SH,X600111.SH,X002466.SZ,X002271.SZ,X600660.SH,X600011.SH,X000877.SZ,X600188.SH,X000708.SZ,X600010.SH,X000301.SZ,X601600.SH,X600547.SH,X601898.SH,X600886.SH,X600362.SH,X600176.SH,X600426.SH,X000723.SZ,X000786.SZ,X000408.SZ,X600219.SH,X002080.SZ,X600803.SH,X601991.SH,X600795.SH,X300073.SZ,X600688.SH,X600027.SH,X600352.SH,X002353.SZ,X600801.SH,X300037.SZ,X000825.SZ,X600489.SH,X000932.SZ,X000959.SZ,X000807.SZ,X600157.SH,X600516.SH,X600486.SH,X601699.SH,X600378.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0.0469061885456844,0,0,0,0,0,0,0,0,0,0,0.0236174701941264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0912783752758727,0.111975894184749,0,0,0.0329916316084742,0,0.0196983642447657,0,0,0,0,0,0,0,0,0,0,-0.0385885511796246,-0.0154728833409393,0,0,0,0,0,0
X600028.SH,0.0307857560802529,0,0.0195388385668626,0,0,0,0,-3.46944695195361e-18,-0.0665241577427732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0020372888841165,0.0586345442494862,0,0,0,0.105030323522237,0,0,0,0,0,0,0,0,0,0.0855351455112549,-0.0245922704645539,0,0,0,0,0,0,0.00407651054240895,0,0
X601088.SH,0,0,0,0,0,0,0,0,0.0554373640893157,0,0,0,0.0532125995631282,0,0.194386814735439,0,0,0,0,0,0,0,0,0,0,0.1547300650268,0,0,0,0,0,-0.0170144025490323,0,0,0.0918396197070773,0,0,0,0,0,0,0,0,0,0.0096693294487777,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0.023374029021767,0,0
X600309.SH,0.0321600110152751,0,0,0,0,0,0,0.013180046592376,0,-0.0189722896125546,0.0563178870315558,0.0585046013899035,0,-0.221032146383912,0.0351754146287077,0,0.0253872271818408,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0.131547735901575,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100165943954368,0,0,0,0,0,-0.00806027056528492,0,-0.0338785570775169,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0.00931033745454458,0,0,0.0130997356788545,0.0973690537440105,8.67361737988404e-19,0,0.0464476563398859,0,0,0,0,0,0,0.143252852330941,0,0.0538095508910927,0.0269722121249287,0,0,-0.0471202291420752,0,0,0,0,0,0,0,0,0.351368002507944,0,0.0297367123694715,0,0,0,0,0,0,0,0,0,0,-0.0187516234378558,0,0,0,0,-0.0105357919189474,0,0
X002460.SZ,0.0331788654673099,0,0,0,0,0,0,0,0,0.518844223140481,0,0.336569709007507,-0.0194048656634089,0,0,0,0,0.0909054508592014,0,0.252455716948519,0,0,0,0,0,-0.0618546582235564,0,0.0823615396665312,0,0.093625297797505,0,0,0,0.113520664768031,-0.0890945482142294,0,0,0,0,0.146755721253572,0,0,0,0,0,0,0,0,0,0,0,-0.0255012455839771,1.73472347597681e-18,0,0,0,-0.0816664081149508,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0.24121436419962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20641249157486,0,0.0329008490053178,0,0,0,0,0,0,0,0,0,0,0,0,-0.244384485691421,0,0,0,0,0,-0.0738433160883039,0,0,0.224100023646803,0,0,-0.00747849380789921,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0211669540755062,0,0,0,0,0,0,0,0,0,0,-0.0547573233823937,0,0,0,0,0,0,0,0,0,0.138175611092441,0,0,0.0307912993216653,0,0.198667110962651,0,0.27524043114907,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00938029910212931,0,0
X600111.SH,0,0,0,0,0,0.122562507607637,0,0,0,0.234639706904487,0,0,0,0,0,0.150790767630461,0.180697599247464,0.0122582301281433,0.0267596928503499,0,0,0,0,0,0,0.0924419678729559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0393477207271551,0.0491990210340271,0,0,0,0,0,0,0,-0.00770133654310529,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0.47904782035349,0.23278114044716,0,0,0,0,0,0,0,0.0481968919199427,0,0,0,-0.0209493642194889,0,0,0,0,0,0,0,0,0.286526934867504,0,-3.46944695195361e-18,0,0,0,0.113695993698654,0,-0.153896326284141,0,0,0,0,0,0,0,0.191192950706997,0,0,0,0,0,0,0,0.0594054829333104,-0.0508066553624301,0,0,0,0,0,0
