,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X002460.SZ,X002271.SZ,X000708.SZ,X600660.SH,X601898.SH,X600547.SH,X600362.SH,X601600.SH,X000301.SZ,X600010.SH,X002466.SZ,X600111.SH,X000786.SZ,X600886.SH,X600188.SH,X600011.SH,X600176.SH,X600426.SH,X600803.SH,X600219.SH,X000027.SZ,X601991.SH,X600801.SH,X600795.SH,X600352.SH,X600489.SH,X000932.SZ,X000898.SZ,X000807.SZ,X600688.SH,X600315.SH,X000825.SZ,X002353.SZ,X600157.SH,X600516.SH,X600027.SH,X600486.SH,X601168.SH,X600299.SH,X002080.SZ,X600808.SH,X000723.SZ,X000959.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.370573754973109,0,0,0,0,0,0,0,0,0,0,0.028225716189199,0,0,0,0,0,0,0,0.00254698200867088,0,0,0,0,0,0,0,0,0,0.0114223629805106,0,0,0,0,0,0,0.0141445052666188,0.0546845232183031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0.0660907398489594,0,0,0,0,0,0,0,0.0281216915307415,0,0,0,0,0.153443964788258,0,0.00415745614218447,0.0180813695272129,0,0,0,0,0,0,0.197179977577577,0,0,0.00161267973806041,-0.0105038634403088,0,0,0,0,0,0.120129027916163,0.0131963941882391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0689508459789228,0,0,0,0,-0.00978304730305565,0,0
X601088.SH,0,0,0,0,0,0,0.00230025446147847,0,0.00485473063167562,0,0,0,0,0.0703003233859395,0.0863656076385808,0,0,0,0,0,0.15903790579273,0.0491677884563026,0,0,0,0,0.0742601671296396,0,0,0,0,0,0,0,0,0,-0.0144567063536267,0,0,0,0.0567502275294024,0,0,0,0,0,0,-0.0154543244994707,0.0677115313333393,0,0,0,-0.0268014559644728,0,0,0,0.00729598378827669,0,0
X600309.SH,0,0,0,0,0,0,0.138327074913125,0,0,0,0,0,0.0226009494588011,0,0,0,0,0.187001009400418,0.209490306460802,0,0,0,0.0546326187326018,0.121681373385238,0,0,0,0,0,0,0,0,0,-0.154983937411063,0,0,0.0815183108275708,0.152178092370478,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,-0.114430359030044,0,0,0,-0.0022649784478653,0,0
X600585.SH,0,0,0,0,0,0,0.0209676246155656,0,0,0,0,0,0,0,0,-0.0213445804950065,0,0,0,0,0,0,0,0,0,0,-0.00504572164410351,0,0.327763694036925,0,0,0,0.0713294085637927,0,0,0,0,0,0,0,0,0,0.0689249872306183,0,0,0,0,0,0.0498735825256596,0,0,0,-0.0272853141623048,0,0,0,-0.00941758431880016,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0493824420082355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.391962939190821,0.0229782075396977,0.0832949072264468,0,0,0.246933158074472,-0.0180829534278436,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0676520447683416,0,0,0,0.000307264771590402,0,0
X002460.SZ,0,0,0,0.0395517931628211,0,0,0,0,0,0.290340437921383,0,0,0,0,0,0,0.57283793376139,0,0,0,0,0,0,0.0220262216590156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0607988388858581,0,0,0,0,0.0876510952586458,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,-0.0160337920822968,0,0
X002271.SZ,0,0,0,0,0,-0.0310794712642429,0,0,0,0.12352577509886,-0.0711315923827506,0,0,0,-0.00555026644916954,0,0,0,0,0,0,0,0,0,0,0.070342176432992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0883948504449907,0,0.0310425851185704,0,0,0,0,0,-0.151926012821859,-0.0153365011091353,0,0,-0.139740955205649,0,0,0,-0.0231500047646507,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00214541513279038,0,0.0699383287000328,0,0,0.0303433330392331,0,0,0,0,-0.0284306252720677,0,0,0,0,0,0,0,0.49917938453501,-0.0887732352059849,0,0,0,0,0,0,0,0,0,0.107846669847998,0.232421034644069,0,0,0,0,0,0.0457056564714971,0,0,0,0,-0.121878985128159,0,0
X600660.SH,0,0,0,0,0,0,0.142548953369507,0,0,0,-0.208111063554269,0,0.0244504761800203,0,0,0,0,0,0.166193085218084,0,0,0,0,0,0,0,-0.0741407216262524,0,0,0,0,0,0,0,0.0214709759061468,0,0,0,-0.0432463205733545,0,0.0652598828503519,0,0.217670438195601,0,0,0,0,-0.0195155082914893,0,0,0,-0.0228982825591886,-0.0121404084783778,0,0,0,-0.0303279286234808,0,0
