,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600585.SH,X600111.SH,X600019.SH,X000792.SZ,X002466.SZ,X600188.SH,X000301.SZ,X600010.SH,X600660.SH,X002271.SZ,X601600.SH,X600011.SH,X000708.SZ,X601898.SH,X600547.SH,X600362.SH,X600176.SH,X600886.SH,X600426.SH,X002080.SZ,X002326.SZ,X000408.SZ,X000786.SZ,X300037.SZ,X600141.SH,X600219.SH,X600096.SH,X601991.SH,X600795.SH,X600803.SH,X002407.SZ,X000825.SZ,X600688.SH,X002353.SZ,X000723.SZ,X600295.SH,X600352.SH,X000630.SZ,X600027.SH,X600489.SH,X000898.SZ,X000983.SZ,X600399.SH,X000959.SZ,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0.0492002728614378,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0148951857027091,0.0759269132930322,0,0,0,0.0116325992084428,0,0.0915512110308453,0,0,0,-5.42101086242752e-20,0.0157705476294966,0,0.141973008435119,0,0.0940066356971341,0,0,0,0,0,0,0,0,0.0297740634959436,0,0,-0.0160654245000865,0,0,0,-0.0313000171229266,0,0
X600028.SH,0.245735879698608,0,0,0,0,0,0,0,0,-0.0143666300128959,0,0.0136311491508423,0,0,0,0,0,0,0,0,0,0,0,0.0377463265155659,0,0,0,0,0,0,0,0,0,0,0,0,0.0266113365032229,0.0394976559462841,0.0238088781364974,0,0.0904928096312158,0,0,0,0,0.0880602382841946,0.019774635573848,0,0,0.0674394367051623,0,-0.00272329710909799,-1.0842021724855e-19,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0.0540108116514563,0,0,0,0,0,0,0,0.189849152955948,0,0,0,0,0,0,0,-0.0381360548635136,0,0,0,0,0,0,0,0,-0.0201883131960282,0,0,0,0,0.0192595705354468,0,0,0,0,0,0.276499693137994,0,0,0,0,0.0400949681148046,0.00553452923320573,0,0,0,0,0,0
X600309.SH,0,0,0,0,0.0364401340616694,0,0,0,0,0,-0.0304161109195867,0.00512897452833036,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0.262468951977821,0.0187878765679058,0,0,0,0,0,0,0,0,0,0,0.00615667793496837,0,0,0,-0.0224642369915679,0,0,-0.0740391110487236,0,0,0,0,0,4.33680868994202e-19,0,0,0,-0.00400223778573891,0,0,0,0.0164032690136574,0,0
X002460.SZ,0,0,0,0,0,0,0.134724594826885,0.0697854397660965,0,0.482829949200464,0,0,0,0,0.0873482756914724,0,0,-0.162164030783065,0,0,0,0,0,0,0,0.00622657453628365,0,0,0,0,0,-0.114442735903274,0,0,0,0.341073381180326,0,0,0,0.0615109341217948,0,0,0,0,0,0,-0.0233141671172522,0.0833331770705664,-0.0216009059447132,0,0,0,-0.060695369263961,0,0,0,0.0465011326126316,0,0
X600585.SH,0,0,0,0,-0.171659855259939,0,0,0,0,0,0.091805446395204,0,0,0,0,0,-0.0220787380224093,0,0,0,0,0,0.202732332985337,0,0,0.0272513040075541,0.174414233123437,0.294144340390952,-0.0745759737330555,0,0,0,0,0,0,0,0,0,0,0,0,0.198015207278334,0,0,0,0.0473303132127994,0,0,0,0.0174252273917632,0,0.0522148814561271,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0.115600350535242,0,0.31176620299691,0,0,0,0,0,0,0,0,0,0,0,0,0.0519435917009869,0.228669922549867,0,0,0,0,0,0,0,0,0.140909819095078,0,0,0,-0.0163677159143164,0,-0.0647605109854015,0,0,0,0,0,0.26942720016514,0,0,0,-0.0179649201434301,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.0263170154227612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0558615707575867,0,0,0,0,0,0,0,0,0,0,0.00944962973633283,0,0,0,0.583843261163967,0.0498347254625992,0,0,0.00395247109087723,0,0,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0.145335647280884,0,0,0,0,0,-0.0939683905455359,0,0,0,0,0,0,0,-0.0405406562060814,0,0,0,0,0,0,0,0.219222244035742,0,0,0,0,0,-0.152900795509913,0,0,0,-0.111368711988449,0,0,-0.295875427388954,0.0639045091326853,0,0,0,0,0,0.281876338960296,0,-0.0246357372609014,0,0,6.93889390390723e-18,0.0813425478655698,0,0,0,-0.0486811743093705,0,0
X002466.SZ,0,0,0,0,0.296423679320676,0,0.245069366335639,0,0,0,0,0.0876946547693976,0,0,0.0256744096684357,0,0.000977090532408371,-0.00840200765669287,0,0,0,0,0,0,0,0,0.17065735008376,0,0,0,0,0,0.0756463649778381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114484844676732,0,0,0,0.0224670405537119,0,0,0,0,0,0,0
