,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601600.SH,X601898.SH,X000723.SZ,X600352.SH,X600660.SH,X600547.SH,X601991.SH,X600688.SH,X600886.SH,X600188.SH,X600362.SH,X600795.SH,X600516.SH,X600027.SH,X601992.SH,X600111.SH,X000898.SZ,X600801.SH,X600176.SH,X002466.SZ,X000709.SZ,X002460.SZ,X600299.SH,X000629.SZ,X000786.SZ,X600219.SH,X002110.SZ,X000990.SZ,X600808.SH,X601158.SH,X000553.SZ,X600489.SH,X002271.SZ,X600157.SH,X000825.SZ,X000883.SZ,X600985.SH,X600583.SH,X000630.SZ,X600339.SH,X601699.SH,X300072.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555243633799956,0,0,0,0,0,0.0585880157949028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134593855154132,0,0,0.0318205034429406,0,0.0194439520553188,0,-0.00311168659575281,-0.0147256487249712,0,0,0,0,0,0
X600028.SH,0,0,0.146234457595667,0,0,0.00933225325760412,0,0,0.0893559884829453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0300488248386473,0,0,0.0141709087041465,0,0,0,0,0.0900730184265677,0,0,0,0,0,0,0.0781613224548079,0,0.0245519263059549,0,0.00375703654068112,-0.00490789630116373,0,0,0,0,0,0
X601088.SH,0,0,0,0.108092822262062,0,0,0,0,0,0,0,-0.169624885564438,0,0,0,0,0,0.0247695997897181,0,0,0,0,0,0.137134412824116,0,0.249169525238198,0,0,0,0,0,0,0.0250424943616701,0,0,0,0,0,0,0,0,0.0216554061445092,0,0,0,0,0,0,0,0.0724194352790491,0,0.0158574936696709,-0.0493967047904769,0,0,0,-0.015657169194175,0,0
X600585.SH,0,0,0,0,0,0.0947936839204556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.480331906945601,0,0,0,0,-0.00262439840690676,0,0,0,0.0566081127318207,-0.0115503736845422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.014847177048606,0.000700354792392683,0,0,0,-0.000600043684090247,0,0
X600019.SH,0,0,0.0160861341390534,0,0,0.0364739160294203,0,0,0,0,0.031227613148263,0,0,0,0,0,0,0,0.117179613919399,0,0,0,0,0,0,0.197334360097114,0,0,0,0,0.0537685007092636,0,0.048468044303045,0,0,0,0,0,0,0,0,0.0817773893488964,0,0,0,0,0.00415461957129699,0,0,0.0128902844410241,0,0.00577888626938328,-0.0232199293627167,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0.091575368017285,0,0,0,0,0,0,0,0,0.0626095181928529,0,0,0,0,0,0,0.0549104035133119,0,0,0,0,-1.73472347597681e-18,-0.0980285295498007,0.429662198796754,0.0847857912804721,0,0,0.0899122307023441,0,0,0,0,0,0,0,0,0,0,0,0,0.00499975657467412,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0.0144735394762746,0,0,0,0,0,0,0,0,0.382461240273972,0,0.408317401665862,0,0,0,0,0,0,0,0,0,0,0.091736686317433,0,0,-0.0386405817427371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0320150341043627,0,0,0,0,0.0586427500656315,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0352232559770223,0,0,0.207706178041988,0,0,0,0,0,0.0875448433816588,0,-3.46944695195361e-18,0,0.300004160146702,0,-0.0123633323058941,0,0,0,0,0,0.144285662634334,0,0,0,0,0,0,0,0.0110827325904875,0,-0.00289457598439982,-0.0440031850129298,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.0523451602966145,0,0,0.00428967607663762,0,0,0,0,0,0,0.0372699164241618,0.119862526529041,0,0,0,0,0.175457913778362,0,0.0360986495109397,0,0.0369496010588104,0,0,0,0,0,0.282870047666499,0,0,0,0,0.113303091804229,0,0,0,0,0,0,0,0,0,0,0.0363282247883112,0,-0.0146964872523488,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.179408911734647,0,0,0,0,0,0,0,0,0.0688616587460669,0.119914899319769,0,0,0,0,0,0,0.0968746580578139,0,0,0,0.0169229715057819,0,0,0,0,0,0,0,0,0,0,0,0.0400473353474844,0,0,0.00304241302376843,0,0,0,0,0.0175735776189879,0,-0.0180140262038209,0,0,0,0,-0.0132395367114856,0,0
