,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600547.SH,X600010.SH,X601600.SH,X601898.SH,X601991.SH,X600688.SH,X600660.SH,X600362.SH,X600188.SH,X600886.SH,X600352.SH,X600795.SH,X600111.SH,X000723.SZ,X600801.SH,X601992.SH,X000898.SZ,X600027.SH,X002271.SZ,X600489.SH,X600176.SH,X600516.SH,X000709.SZ,X002460.SZ,X000786.SZ,X000629.SZ,X002466.SZ,X000883.SZ,X600299.SH,X600219.SH,X601158.SH,X000553.SZ,X600808.SH,X000630.SZ,X600583.SH,X600985.SH,X000027.SZ,X600426.SH,X600339.SH,X601699.SH,X000825.SZ,X000401.SZ,X002110.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0269835403818139,0.000239437395668186,0,0.0440440114417364,0,0,0,0,0,0.0809889866332539,0.0433437238563047,0,0,0,0,0.0555081888863012,0,0,0,0.000974328351503119,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588109188476759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0581789945622379,0,0,0.0427125745523914,0,0,0.132849881522921,0,0.0304538542849181,0,0,0,0,-0.00241239429685268,-0.0346509616903472,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,-0.00795189994152174,0,0.0958863048855799,0,0,0,0,0,0.269140726756572,0,0,0,0,0.0113768524722494,0,0,0,0,0,0,0,0,0,0,0.0657400423094489,0.0824409214406414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00161211438468546,0,0,0.0254065918352185,-0.0189651653042604,0,0,0,0.0268632615574721,0,0
X600585.SH,0,0,0,0,0,0.149544750503672,0,0,0,0,0,0,0,0,0,0,0.112599863185845,0.0115739152045661,0,0,0.032084814479533,0.372857049279119,0,0,0,0,0,0,0,0,0,0,0.0259955806926145,-0.062487584102736,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0503618067919612,0.0151820581495898,0,-0.0161759984293485,0.0197467573190641,0,-0.0207692164495305,0,0.0130093810822465,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0716802243736874,0.203939583953942,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0622998718703352,0,0,0,0,0,0,0,0,0.0801951526995937,0,0,0,0,0,0,4.33680868994202e-19,-0.0493486063060388,0,0,0,0.0126854526163687,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555817501643835,0.186731423590752,0,0,0,0,0,0,0,0,0.0887322084786186,3.46944695195361e-18,0.202539666865922,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0.0373919538954828,0,0,0,0,0.264915390534716,0,-0.00331778730438529,0,0,0,0,0.0509782447885807,0,0
X600011.SH,0,0,0,0,0,0.0860028126181414,0,0.0902835917673155,0.123290043352448,0,0,0,0,0,0,0,0,0.0937787905208785,0,0,0.00805109237479132,0,0,0,0.213922682658874,-0.0722342905752524,0,0,0,0,0,0,0.0475352280290711,0,0,0,0,0,-0.0885920353930413,0,0,0,0,0,0,0.0765490644707912,0,0,0,0,0,0,0,0,-0.174556548564026,0,-0.0248987860366382,0,0
X600547.SH,0,0,0,0,0,0,0.0454215343099008,0,0,0,0,0,0,0,0,0,0,-0.0250128194767146,0,-0.0312595525389548,-0.0289055768330459,0,0,0,0,-0.0796683696599425,0.936876967140685,0,0,0,0,-0.0523300261239422,0,0,0,0,0,0,0.148181672200562,0,0,0,0,0,0,0,0,0,0,0,0,-0.0155217045988928,0.035552110571241,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0.330246326074669,0,0,0,0,0,0,0,0.201166801060693,0.0960986960074191,0,0,0.141098839253236,0.0972310335062633,0,0.206247743667557,0,0,0,0,0,0,0,0,0,0,0.0022869324772758,0,0,0.0593442515444861,0.156011148857892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0622615972925648,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0.16004287145717,0,0,0,0,0,0.229289661323019,0,0,0,0,0,0.0274481651720235,0.0565209182652757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18361618584532,0,0,0,0,0.0791685580227772,0,0,-0.0515375208320908,0,0,0,-0.0140064032215281,0,0
