,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601600.SH,X601898.SH,X600795.SH,X601991.SH,X600362.SH,X600027.SH,X600188.SH,X600111.SH,X601992.SH,X600157.SH,X600886.SH,X600623.SH,X600299.SH,X600547.SH,X600660.SH,X600489.SH,X000709.SZ,X000792.SZ,X601158.SH,X600352.SH,X600583.SH,X002466.SZ,X600309.SH,X000898.SZ,X000629.SZ,X000539.SZ,X000883.SZ,X000630.SZ,X000027.SZ,X000060.SZ,X002075.SZ,X000959.SZ,X000983.SZ,X600021.SH,X601699.SH,X600022.SH,X002470.SZ,X300072.SZ,X000012.SZ,X600176.SH,X600578.SH,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.121035588716689,0,0,0,0,0,0.000433084002209563,0,0,0,0,0,0,0,0,0,0.137251466136081,0,0,0,0.00264919358504976,0,0,0.157302505263463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00270816980184606,0,0,0,0,0.019094144705363,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.125602609185931,0,0,0,0,0,0,0,0.0940919322779165,0,0,0,0,0,0,0,0,0,0,0,0.0214560970775502,0.0845995457795059,0,0,-3.46944695195361e-18,0.0594869481500828,0,0,0,0,0,0,0,0,0,0.0569859442302629,0,0,0,0,0,0,0,0,0.00707397101540213,0.00477353970285036,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0.404792769560454,0,0,0.0406615502910611,0,0,0,0,0.12506697611405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00906117669542827,0.151260057428519,0,0,0,0,0,0,0,0,0.0218089689603789,0.111188022925271,0,0,0.0105535545894638,0,0,0,0,-0.00526173293602709,-0.036151625677838,0,0,0,0,0,0
X600011.SH,0,0,0.0649169859837615,0,0,0,0,0.0172048646500907,0,0.0828639966496013,0,0,0,0,0.0153924169915788,0,0.104763545546134,0,0,0,0,0,0,0,0.0878544591719331,0.0304561822521023,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.127730686707862,0,0,0,0,0,0,1.38777878078145e-17,0,0,0.033146561365446,0,0,0,0,-0.0147442838650829,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0.0720067627847328,0,0,0,0,0,0.270874895472939,0,0.0545565190162543,0,0,0,0,0,0,0.0964402909883836,0,0,0,0,0,0,0.0467342356267514,0.12054332288444,0,0,0,0,0.131628260214345,0.01693412051675,0.0164370270415144,0,0.0924458092406013,0,0.0102334052383683,0,0,8.67361737988404e-19,0,0,0,0,0,-0.00591459018564721,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0.0527684335140996,0,0,0,0,0,0,0,0.000409590419219954,0,0,0,0,0,0,0,0,0,0,0,0,0,0.349827787110201,0,0,0,0,0,0,0.00866413309548681,0.088264374738655,0.0916213219182428,-0.0132643885374973,0,0.397741533720148,0,0,0,0,0,0.053308874145358,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.014450478405925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.168578894089018,0.0426189956959253,0.0121166113571459,0,0.0564375442492911,0.103984900224607,0,0,0,0,0,0,0.0906295407380965,0.0284701140043883,0,0,0.0956106147044396,0,0,8.67361737988404e-19,1.73472347597681e-18,0,0,0,-0.0338769973539336,0.000472838483318889,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.0702730810642092,0,0,0,0,0,0.128389862479499,0,0,0,0,0,0.0611370027228023,0,0,0,0,0,0.300115430626369,0,0.052627684902183,0.0894250933208582,0.113363123135719,0,0,0,0,0.0490833362321693,0,0,0,0,0.00635932740249556,0.031606743415024,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0420819379529169,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.0727825875214422,0,0,0,0,0,0,0,0,0,0,0,0.0996100658367905,0,0,0,0.235930874388996,0,0.302248296469315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.11880141017499,0,0,0,0,0,0,0,0,0,0,0,0,0.20283582946617,0,0,0.114887638406315,0,0,0,0,0.0292818223083684,0,0,0.0170903808846041,0,0,0.198663066679902,0.0668425070045184,0,0,0,0,0,0,0,0,0,0,0.00106009421465679,0,0,0.11918166439026,0,0,0,0,-0.00652615125214573,0,0,0,0,0,0,0
