,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600585.SH,X600188.SH,X000792.SZ,X002460.SZ,X600019.SH,X002271.SZ,X601898.SH,X600011.SH,X600111.SH,X000877.SZ,X002466.SZ,X600660.SH,X600010.SH,X000708.SZ,X600547.SH,X601600.SH,X000301.SZ,X600886.SH,X600426.SH,X600176.SH,X600362.SH,X000983.SZ,X600795.SH,X000786.SZ,X600803.SH,X600801.SH,X601699.SH,X000723.SZ,X601991.SH,X600096.SH,X000932.SZ,X000408.SZ,X600486.SH,X600219.SH,X600295.SH,X000959.SZ,X600027.SH,X000630.SZ,X000807.SZ,X600985.SH,X000830.SZ,X600141.SH,X600489.SH,X600157.SH,X000825.SZ,X002080.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0629442709768296,0,0,0,0,0,0,0,0,0.207959803367574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156665233710533,0,0,0,0.00874091092212859,0,0,0,0,0.106715971763275,0,0,0,0,0,0,0.0382217338821725,0,0,0.0886340366100417,0,0,0.0187729488999346,-0.0337803106802791,0,0,0,0,0,0
X601088.SH,0.0563342636581396,0,0,0,0,0.0151188368555777,0,0,0,0,0.237423173814546,0,0,0,0,-0.0664575489748909,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,-0.0583696463491936,0,0,0,0,0,0,0,0,0.0396894151078528,0,0,0.381573090609625,0,0,0,0,0,0,0,0,0.0263923624247429,0,0,0,0,0,0
X600028.SH,0.0476017875112266,0,0,0,0,0,0,0,0,0,0.0400817142940423,-0.0383744710650098,0,0,0,0,0,0,0,0.00718064284045195,0.0155170234961026,0,0.0107341760273388,0,0,0.0342234613780564,0,0,0,0,0,0,0,0,0,0,0,0,0.0777944878880428,0,0,0.0453902226985502,0,0,0.0188478459878637,0,0,0,0,0,0,-0.0141152349467051,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0.00830549020567636,0,0,0,0,0,0.13253908484494,0.225126178988453,0,0,0.159167985273867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00478958506295931,0.0380379539127724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0.0337792991566842,0,0,-0.0317193238410054,0,0,0,0.0170928685350784,0,0,0,0,0,0,0,0,0,0,0,0,0.137092494335558,0,0,0,0.0660649612353126,0,0.416688279262024,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.00960603815564285,0,0,0,0,-0.00738808365054027,0,0,0,0,0,0,0
X600188.SH,0,0.205662834419078,0,0,0,0,0,0.0665992634708502,0,0,0,5.42101086242752e-20,0,0,0,0,0,0,0,0,0,-0.0456714920934491,0.0618805338671118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0508646291898359,0,0,0,0.165521929720891,0.581922714117767,0,0,0,0,0,0,0.0272208476966111,0,0.0656219224686144,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.0100899449728458,0,0,0,0,0,0,0,0,0.244009536108033,-0.0350021851116554,0,0,0.0280211688576525,0.117731059965753,0,0,0,0,0,0,0,0,0,0,0,0.31491657378814,0,0.199857389478486,0,0,0,0,0,0,0,0,0,0,0,0.21831315679981,0,0,-0.3306381346295,0,0,0.035435112927017,-0.0245160835543663,0,0,0,0,0,0
X002460.SZ,0,-0.0672092988219368,0,0,0,0,0.114535862392484,0,0,0,0,0,0.133144686601716,0,0.447473500970728,0,0,0,0,0,0.0400476046799262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057773951626836,0,0,0,0,0,0,0,0,0,-0.0302056999256217,0,0,-0.0764445018836441,0.249528027147949,0.0919099853895039,0,-0.0333026468032536,0,0,0,0,0,0
X600019.SH,0.0901119634772311,0,0,0,0,0.0266315735766855,0,0,0,0,0,0.0779782555642527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140932961514653,0,0.10587293066053,0,0,0,0,0.306081132184109,0,-0.03974991724047,0,0.0371288527991871,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,0,-0.0179074406890145,0,0,0,0,0,0,0,0,0,0,0,-0.0160829383137769,0,0,0,0,0,0,0,0,0.336523583684578,0,0,0,0,0.193777605947309,0,0,0,0,0,0,0,0.175839466618176,-0.127986342942463,0,0.232306885532073,0,0,0,0,0,0,-0.0331627377166998,-0.00479703498559161,0.0371915127385832,0,0,0,0,0,0
