,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600010.SH,X600585.SH,X600011.SH,X601600.SH,X600309.SH,X601898.SH,X600688.SH,X601992.SH,X600111.SH,X600362.SH,X600795.SH,X600188.SH,X002466.SZ,X601991.SH,X600547.SH,X600516.SH,X600660.SH,X000709.SZ,X000898.SZ,X300072.SZ,X600886.SH,X600157.SH,X002460.SZ,X600027.SH,X000959.SZ,X600808.SH,X002092.SZ,X600489.SH,X600339.SH,X600219.SH,X600549.SH,X600352.SH,X000630.SZ,X000553.SZ,X601158.SH,X000983.SZ,X000792.SZ,X000883.SZ,X000825.SZ,X000723.SZ,X600176.SH,X601699.SH,X600299.SH,X600578.SH,X600008.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.0094102982759122,0,0,0,0,0,-0.0668670666085828,0,-0.0157525038348537,0.0289236719114192,-0.00947651108302061,0,0,0,0,0.0123607979590676,0,0,0,0,0,0,-0.0423867356715968,0,-0.0583530537139506,0,0.0315138387795495,0,0,0,0,0.0071673994896437,0,0,0,-0.102222435068546,0,0,0,0,0,0,-0.0089157299399466,-4.33680868994202e-19,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.157769041693564,0,0,0,0,0,0,0,0,0,0,0,0,-0.0422193017045641,-0.0415737033457896,0,0,0,0,0,0,0.002503847063013,-0.315293925261315,0,0,0,0,-0.0396418469440048,0,0,0,0,0,0,0,0,0,0,0,0,0.0196271971579735,-0.0664795770095186,0,0,0,0.00109797560895899,0,-0.0614790953429836,0,0,0,0,0
X601088.SH,0,0,0,0.0325927516021339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0202330723876594,0,0,0,0,0,0,0,0.0141514515212118,0,-4.33680868994202e-19,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,-0.019575397667892,0.00569416359172676,0,0,0,0,0,0,0,0,0,-0.0054150875048026,0.00441262717382115,0.00429791934317862,0,0,0.124767978647929,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0.326342238902348,0,0,0,0,0,0,0,0,0,-0.0594128956088984,0.112287860851579,0,0,0,0,0,0,0,0,0.330578612971374,0,0,0.0100307304525792,0,0.0292174525636171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00390826501070877,0.0125333303382275,0,0,0,0,0,0
X600010.SH,0,0,0,0.0405787977938578,0,0,0,0.0141121125003225,0,0,0,0,0.100610337776226,0,0,0,0,0,0,0.0491908495881952,0,0.0436700843774618,0,0,0,0,0,0,0,0.149794419878857,0,0,0,0,0.00400497602829549,0,0,-0.0209493180075458,0,0.0468264095245851,0,0,0,0,0,0,0,0,0.00176433328573412,0,0,0.0111860183102399,0,0,0,0,0,0
X600585.SH,0,0.170865074219468,0,0,0,0,0,0,0.213491139033113,0,0.366399389088275,0.0451613847158341,0,0.211213869883189,0,0,0,-0.0295856294353726,0,-0.0592673039040856,0.220148476615204,0,0,0,0.190080454630495,0,0.00119766026722517,0,0,0,0,0,0,0,0,0.00190846133463291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000661057164776378,-0.00487180013375934,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.0646863765571265,0,0,0,0.0260379231583618,0,0,0,-0.0202035849783038,0,0,0,0,0.444211052320101,0.0568017106182805,-0.0117234819424916,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.133073673882567,0,0.115559745941791,0,0,0,0,-0.0604234516330577,0,0.161981580186585,0,0,0,0,0,0.0299084913617463,-0.0591794304816042,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0179604561039651,0.0292502847403385,0.0311819809604789,0,0.036927770128959,0,0,0,0,0,0.00407372213931506,0.206328191462031,0,0,0,0,0.107366195706552,0,0,0,0,0.119256287442727,0,0,0,0,0,0.0937857657529771,0,0,0,0,-0.0190470913442491,0.0109759835406049,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112670872697524,0,0,0,0,0.273160007258217,0,0,0.12842567777178,0,0,0.11087794931357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276673191921031,0,0,0,0,-0.0102539231267635,0,0,0,0,0,0,0
X601898.SH,0,-0.104804045395896,0,0.236266811990586,0,0,0,0.157491149872698,0,0,0,0,0.00833142272612058,0,0,0,0,0,0,0.00737639508675365,0,0.0279338021211893,0.166270562968108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00072113745383405,0,0.0953183641654709,0,0,0,0,0,0.0204680366265537,0,0,0,0,-0.00201683775158716,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0.101429809005151,-0.0644510885805894,0,0,0,0,0,0,0,0,-0.0119932540911855,0,0,-0.0925851251575854,-0.0478356717992924,0,-0.00531582028129837,0,0,0,0,-0.0379585796067453,0,0,0,0,0,0,0,0,0,0,-0.0607728308440736,0,-0.032997283158803,0,0,0,0,0.127106507866145,0,0,0,0.045879633720172,0,-0.00340793944393302,-0.0293852743420549,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0639970113926419,0,0,0,0,0.188935669384285,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0195091120604036,0,0.115681318012805,0,0,0,0,0,0,0.014252505561417,0.194783571093799,0,0.506270761948825,0.399417267609766,0,-0.0123548303213724,0,0,0,0,0.136913274554353,0,0
