,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600309.SH,X600011.SH,X600188.SH,X601898.SH,X600688.SH,X600660.SH,X600362.SH,X300072.SZ,X002466.SZ,X601992.SH,X600516.SH,X600795.SH,X600547.SH,X601991.SH,X600111.SH,X002460.SZ,X600176.SH,X600886.SH,X000898.SZ,X000786.SZ,X000709.SZ,X600157.SH,X000792.SZ,X600352.SH,X000553.SZ,X000408.SZ,X601699.SH,X002271.SZ,X600027.SH,X600219.SH,X000983.SZ,X600489.SH,X600339.SH,X002110.SZ,X600808.SH,X000959.SZ,X002092.SZ,X601158.SH,X000883.SZ,X600299.SH,X000630.SZ,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.549635126849237,0,0.0221855505332773,0,0,0,0,0,0,0,0,0,0,0,0,-0.0354526949618873,0,-0.105475682104308,0,0,0,0,0,0,0,0,0,0.0243872827564213,0,0,0,-0.0137441328476462,0.0725977098306774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00932955942859636,0,0,0,0,0,0,0
X600028.SH,0.550386651923739,0,0.0289938778048296,0,8.67361737988404e-19,0,0,0,0,0,0.0372994960836201,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,-0.0936008922700863,0,0,0,0,0,0.0342470922690417,-0.0866530402292815,0,0,0,0,0,0,0,0,-0.0279249474686572,0,-0.12006428577141,0,0,0,0,0,0,0,0,0,-0.00402279793586527,0,0,0,0.0335216599580899,0,0
X601088.SH,0,0,0,0.19690787167488,0.221654150768091,0,0,0,0.0863295937163354,0,0,0,0,0,0,-0.065131173949579,0.0211019588604386,0,0,0,0,0,0,0,0,0.0470934014855666,0,0,0,0,0,0.012644241778584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00295624123239509,0,0.242480619151848,0,0,0,0,0
X600019.SH,0,0,0.114626785987092,0,0,0,0,0,0,0,0,0,0.159818690713816,0,0,0,0,0,0,0,0,-0.0969105849276403,0.106012315213212,0,0.77299394978531,0,0,0,0,-0.0137788950013319,0,0,0,0.176363482144045,0,0,-0.0695377451539541,0,0,0,0,0,0,0,0,0,0,0,0,0.0127844491172473,-0.00602891650779088,0.0810652973208412,0,0,0.0723230635241687,0,0
X600585.SH,0,0,0.398152797724605,0,0,0,0.0791696955281097,0,0.00643694677674516,0,0,0,0.230546694728491,-0.0466794080455468,0.209690750526062,0,0.0258186168750973,0,0,0,0,0,0.0417424702381897,0,0,0.139843774089078,0,0,-0.258516074536023,0,0.268391471000008,0,0,-0.153676795367602,0,0,0,0,-0.0299987361539696,0.0110954208203409,0,0,0,0,0,0,0,0,0,-0.0271890792040807,0.0437398616432302,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.00511923778126326,0,0,0,0,0,0,0,0,0,0,0,0,0.0853867326816156,0,0,0,0,0.103751039971764,0,-5.42101086242752e-20,0,0.0635837831527378,0.0424000675701466,0,0,0,0,0.0805856199915924,0,0,0.0340403809386271,0.12994180784721,0.0569806556230082,0.07818918473794,0,0,0,0,0.151618819098638,0,0,-0.000450509795574543,0,0,0,0,0,0
X600309.SH,0,0,0.197747979021355,0,0,0,0,0,0,0,0,0,-0.0874531685016852,0,0,0,0,0,0,0,0,0,0.0591626057392573,0,0,0,0,0,0,0,-0.0778919981251654,0,0,-0.156436361310958,0,0,0,0,0,0,0,0,0.236374808243316,0,0,0,0,0,0,-0.0518549538454574,-0.0360295583842642,0,0,0,0,0,0
X600011.SH,0,0,0,-0.0603644042265524,0,0,0,0,0.0299094943016834,0,0,0,0,0.0758117296413034,0,0.128930810908894,0.00738404200363293,0,0,0,0,0,-0.0495842670002726,0,0,0.017732998657692,0,0,-0.042796699236166,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0.0892538169858806,0,0.00826916685443873,0,-0.00934724195643889,0.00724903046113721,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0854468548230659,0,0,0,0,0,0,-3.46944695195361e-18,0.088090463824817,0,0,0,0,0,-8.67361737988404e-19,0.0433491860878012,0,0.0470171632035037,0.295464309385704,0,0,0,0.131022069581642,0,0,0,0.123804522724089,0,0,0,0,0.172511614192847,0,0,0,0.0270242037820632,-0.0307147721130008,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.12883428444271,0,0,0,0,0,0,0,0.00736705084496311,0,0,0,0,0,-0.0242789268321027,0,0,0,0,0,0.0204508804540225,0,0.0558822209517468,0.0151275921415505,0.0157699582330385,0,0,0,0.296960017336344,0,0,0.0233346738475448,0,0,0,0,0,0,0,0.0483680749975626,0,0,0,0,0,0,0,0,0
