,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600585.SH,X000792.SZ,X600019.SH,X600111.SH,X002466.SZ,X600660.SH,X002271.SZ,X000708.SZ,X600010.SH,X000301.SZ,X601600.SH,X601898.SH,X600188.SH,X600362.SH,X600547.SH,X600426.SH,X600176.SH,X600219.SH,X600886.SH,X600011.SH,X000786.SZ,X000825.SZ,X000723.SZ,X000932.SZ,X000408.SZ,X000959.SZ,X600399.SH,X601991.SH,X000831.SZ,X000807.SZ,X600803.SH,X600795.SH,X300037.SZ,X000898.SZ,X002080.SZ,X601699.SH,X002409.SZ,X600352.SH,X600549.SH,X002407.SZ,X600486.SH,X002145.SZ,X600489.SH,X000027.SZ,X600808.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,-0.0302672398169184,0.0426351628351578,0,0,0,0,0,0,0,0.0525728127126504,0,0,0.0316021084056202,0.0101593486083387,0,0,0,0,0,0.0800273710432073,0,0,0.0557801981950831,0,0,0,0,-0.0564346872159093,0,0,0,0,0.0257285587238367,0,0,0,0,0,0,0,0.0427557536726673,0,0,0,-0.0261661450992535,0,0,0,0,0,0
X600028.SH,0.169607054497745,0,0,0,-0.0627603507866592,0,0,0,0,0,0,0,0.0382447731563936,0,0.0681781588765211,0,0,0.000336254489560279,0,0,0.0167976779104825,0.0351056158204371,0,0,0,0,0,0.0104397359691471,0,0,0.00671369285201777,-0.0483786120618347,0,0,0.0502046260312566,0,0,0,0,0,0.0103002999188128,-0.0128623008900879,0,0,0,0,0,0,0,0,0,-0.0142836163609051,0.0379111765015141,0,0,0,0,0,0
X601088.SH,0,0,0,0,-0.0345853968834576,0.0582526057477619,0,0,0,0,0,0,0,0,0,0.0705817147246229,0.0693748742374302,0.178724255059259,0,0,0,0.0340678988695897,0,0.0273460398012575,0,0.102152021629588,0,0.0323453542646167,0,0,0,0,0,4.33680868994202e-19,0,0,0,-0.0677344588721654,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.103270382982446,0,0,0.102865949204743,0,0,0.0578167214005264,0,-0.00797855788002077,0,0,0,0.150252143584128,0,0,0,0,0.0234823743035516,0,0,0,0,0,-0.0846910224443644,0,0,-3.46944695195361e-18,0,0,0.013759607433369,0,0,0,0.043543719787677,0,0,0,0,0,0,0.0399039513290456,0,0,0,0.00308060694046915,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0.214007949619037,0,0,-0.246126653843564,0,0.215883866107961,0,0,0,0,0,0,0,0,0,0,0,0,0.0943950943652413,0,0,0,0,0,-1.38777878078145e-17,0.122225671264042,0,0,0,0.0710829785284434,0,0.0181608788762151,0.0396019724645545,0,0.0426055152820346,0.193992802100285,0,0.284731892362281,0,0.061044514219357,0.079484106500931,0,0.0672217878870337,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,-0.0627144476290405,0,0,0,0.0782607397117462,0.0545952155439704,0,0,0,0,0,0,0.132677989051898,0,0,0,0.188889528751652,0,0.0568837556105347,0,0,0,0,0,0,0,0,0,0.00573277214658198,-0.0801663534401544,0,0,-0.0572758183444951,0,0,0,0,0,0,0,0,0,-0.0013175777570362,0.0149967483134498,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0568916253591894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0866818218191356,-0.0398660540901705,0.0444663262929744,0,0,0.00131553719269951,0,0,0,-0.0830831409532724,0.342407534829673,0,0,0,0,0,0.0266454625102512,0,0,0,0,0.0653059978821024,0,0,0,0,0,0,-0.184436577152139,0,0
X600111.SH,0,0,0,0,0,0,-0.0920827969083445,0,0,0.0190292220189766,0,0,0,0.0159957153997583,0,0,0,-0.0136453749385976,0.109671946226047,0,0,0,0,0,0,0,0,0,0,0,0,0.182860212725288,0,0.160150146697584,0.0248747389906408,0,0,0,0,0,0,0,0,0.699573271613595,0,0,0,0,0.242128001577328,0,0,0,0.0941483249160342,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.0866875299383847,0,0,0,0.363628965020732,0,0,0.0415262926291722,-0.122638566544091,0.293542546388287,0,0.373867185626369,0,-0.121219995212187,0,0,0,0,0,0,0,0,0,0,0,0.157121237343339,0,0,0,0.0245257313429086,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,-0.0569161527491329,0,0,0,0,0,0,0
