,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600660.SH,X002460.SZ,X000708.SZ,X002271.SZ,X600011.SH,X000786.SZ,X600886.SH,X600176.SH,X601600.SH,X600426.SH,X600362.SH,X601898.SH,X600010.SH,X600801.SH,X600352.SH,X600188.SH,X600489.SH,X000301.SZ,X600111.SH,X601991.SH,X600795.SH,X600803.SH,X300037.SZ,X600688.SH,X002466.SZ,X600299.SH,X002075.SZ,X000932.SZ,X600027.SH,X600486.SH,X601992.SH,X600219.SH,X002080.SZ,X002353.SZ,X601168.SH,X600529.SH,X000898.SZ,X002409.SZ,X600315.SH,X000723.SZ,X000027.SZ,X000883.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,-0.0129699517407477,0,0,0,0,0,0.065695590673637,0,0.0721078987469888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0337273856998203,0,0,0,0,0,0,0.0792309426356839,0,0,0.0147556812543034,0,0,0,0,0,0,0,-1.73472347597681e-18,0,-0.00343995227158446,0,0,0,0,-0.00506019941950214,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238207572899447,0,0,0,0,0,0,0.0180164696192287,0.0441168664954928,0,0,0,0,0,0.00824576598155594,0,0,0,0,0,0,0.046659636415414,0.0341943934562439,0,0.0353699080017193,0,0,0,-0.0157221865661061,0,0,0,0,0,-0.00247822925131996,0,0,0,0,-0.014115760918801,0,0
X601088.SH,0,0,0,0,0,0,0,0,0.0959791196320497,-0.000370620116438024,0,0,0.0193262791350518,0,0,0,3.46944695195361e-18,0,0,0,0,0.0177404721279347,0.302864697919778,0,0.0105567441916672,0,0.0519134788646301,0,0,0,0,0.00129586699770999,-0.0639826641909458,0,0,0,0,0,0,0,0,0,-0.00519080806226961,0,0,0,0,0,0,0,0.0107696767937679,0,0,0,0,0,-0.00995330400314246,0,0
X600585.SH,0,0,0,0,0.00202262746171536,0,0,0,0.0530675544937992,0,0,-0.0539002205329901,0,0,0,0,0.022248249228523,0,0,0,0,0,0,0.082712599642064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0303915056222394,0,0,0,0,0.109307049841387,0,0,0,0,0,0.00989973966809339,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0.0185154429619357,0,0,0,0,0,0,0,0,0.329797420861317,0,0,0,0,0,0,0.267327250378612,0,0,0,0,0,0.15833592080999,0,0,0,0,0,0,0,0,0,0.00713309266961145,0.322102283030933,0,-0.307115664838959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0328120218412743,0.141668866650801,0,0,0,0,0,0,0.0110144605091515,0.0609915578974011,0,0,0,0,0,0.0115614583452499,0,0,0,0,0,0,0,0,0,0.0343460669261514,0,0,0.00786209717276111,0.0493807995268815,0.0591971152113685,0,0,0,0,0.0614676169567542,0.0383161650332847,0,0,0,0.0306844873146693,0,0
X600547.SH,0,0,0,0,0,0,0,0,0.126289220123662,0,0,0,0,0,0,0,0.0284462579107559,0,0,0,0,0,0,0.609582014440635,0,0,0,0,0,0.0252944770128308,0,0,0,0,0,0,0,0,0.0749749354855978,0,0,0,0,0,0,0.0443778975490714,0,0,0,0,0,-0.00181207273559267,-0.0232393986261574,0,0,0,0.0106423222762198,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,-0.0489346550329823,0,0,0,0,-0.100945140596874,0,0,0,-0.033584613370979,0,0.157390921312411,0,0.152153502573018,0,0,0,0,0.0174660402752734,0.313602383111488,0,-0.0597362166834735,0,0.00296117879885713,0,-0.0114929043874999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0271735134377917,0.067048980395965,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0.229766784613122,0,0.0698541720838652,0,0,0.129822668776565,0,0,0,0,0,0,0,0,0,0,0,0,0.0722046270654321,0,0.0981355888936774,0,0,0,0.276017927776317,0,0.250896441752436,0,0,0,0,-0.0251028146679789,0,0,0,0,0.124122559259064,0,0,-0.0370071529527734,0,0,0,0,0,0,0,-0.0341371951425316,0,0,0,-0.0350160953449234,0,0
X000708.SZ,0,0,0,0,0,0,0,0.122106328322488,0,0,0,0,0.0555246140682027,0,0.0179448906156108,0,0,0,0,0,0.142951987368123,0,0,0,0,0.0250249241263914,0,0,0.0764389752717055,0,0,0.0112330325949321,0,-0.100453524576108,0.0166135601490468,0,0,0,0,0,0.0499825495501688,0,0,0,0,0.0200007492155667,0,0,0,0,0,0,-0.0251287765487901,0,0,0,0.0411423402404352,0,0
